"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0685367601707778,0.0376411506786881,-0.0326853709861665,-0.113914505742934,-0.0240189496656086,-0.0316206674268744,0.0427092293525748,0,-0.0250345262353789,0.0250345262353789
"SNAIL",0.089226152954788,-0.0451920328963106,-0.0779264037793945,-0.0990376060713599,-0.128823457403078,-0.113111860047518,0.104850436932509,0,-0.0941368114578494,0.0941368114578494
"OVOL2",-0.0381333030263924,-0.0581490702162995,-0.0457111297063087,-0.010150862288654,0.0530165866682423,-0.0434363546722806,0.06260576464949,0,0.0493879614114855,-0.0493879614114855
"NRF2",0.0941368114578494,0.0630625176892687,-0.07011933418543,-0.099375607037077,-0.12137270647661,-0.104850436932509,0.115689672820038,0,-0.0876032590756934,0.0876032590756934
"miR34",-0.0941368114578494,-0.0630625176892687,0.07011933418543,0.099375607037077,0.12137270647661,0.104850436932509,-0.115689672820038,0,0.0876032590756934,-0.0876032590756934
"miR200",-0.0202852391999181,0.0409585604124494,0.0410560041603036,0.204818054616245,0.013205103591034,0.0259633039921586,-0.110940494490821,0,0.0290997725208932,-0.0290997725208932
"KEAP1",-0.0876032590756934,-0.0525114711279701,0.0805209819712178,-0.00128373362226369,0.131103555337894,0.115689672820038,-0.101757381153372,0,0.096352299751058,-0.096352299751058
"Iext",-0.0941368114578494,-0.0630625176892687,0.07011933418543,0.099375607037077,0.12137270647661,0.104850436932509,-0.115689672820038,0,0.0876032590756934,-0.0876032590756934
"GRHL2",-0.0250345262353789,-0.0261945531122167,0.0429431655603331,0.114049043509607,0.0341271124544966,0.0427092293525748,-0.027925431711146,0,0.0336145866583396,-0.0336145866583396
"Ecad",-0.0362193857958227,-0.0863645007674858,0.0481061243204672,0.0329887362463033,0.133971130963926,0.104852286445344,-0.0902455448723104,0,0.0448345740536402,-0.0448345740536402
