"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0261140204138567,0.107783133241144,-0.0123431724420317,-0.0880400307822231,-0.0252115329868002,-0.00105098610197519,-0.0554114348307649,0,-0.0100168095470005,-0.0100168095470005
"SNAIL",-0.0882168456111597,-0.063332894219837,0.101283881842352,-0.0172110132310761,0.00393390550713606,0.123649596885707,0.0942253501747154,0,0.1238326563488,0.1238326563488
"OVOL2",-0.0131964138459404,-0.0713282032743892,-0.0151310178702096,0.0147494059449465,0.0834510139784034,-0.0286921099837356,-0.0873651917765946,0,0.081991444901841,0.081991444901841
"NRF2",0.1238326563488,-0.0208211907244272,-0.0623502546489976,-0.0197276637365724,0.0294384369933516,-0.0942253501747154,-0.12498302349517,0,-0.0860593718802037,-0.0860593718802037
"miR34",0.1238326563488,-0.0208211907244272,-0.0623502546489976,-0.0197276637365724,0.0294384369933516,-0.0942253501747154,-0.12498302349517,0,-0.0860593718802037,-0.0860593718802037
"miR200",-0.0281914682561059,-0.00624422083486323,0.0846186550903658,-0.0705002963125179,0.068287079755454,0.0596175131720098,0.109043342965938,0,0.0874091900097439,0.0874091900097439
"KEAP1",-0.0860593718802037,0.0393175597974729,0.103647885956928,-0.118880394871486,0.00655683067893475,0.12498302349517,0.0934726068285038,0,0.12619751462771,0.12619751462771
"Iext",0.1238326563488,-0.0208211907244272,-0.0623502546489976,-0.0197276637365724,0.0294384369933516,-0.0942253501747154,-0.12498302349517,0,-0.0860593718802037,-0.0860593718802037
"GRHL2",-0.0100168095470005,-0.0836957064723289,0.0825010884900813,0.019829383078975,0.0836272204819367,0.0554114348307649,-0.0023051948051948,0,0.0780329223365272,0.0780329223365272
"Ecad",0.00170612057735296,-0.115481870220676,0.0570847003906518,0.117382711710524,0.14154718185436,0.040283949867192,0.00112055471354369,0,0.0438267447704454,0.0438267447704454
