"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00498507048744513,-0.233349622982769,-0.0544648158325343,0.0651500806571601,0.106066827584934,-0.12111084461635,0.124814548320054,0,-0.0744549878950932,-0.0744549878950932
"SNAIL",-0.130468214283471,0.493275817232472,0.104683802944275,-0.135105482149377,-0.35040249569907,-0.149897072813759,0.151523894146338,0,0.14124334027789,0.14124334027789
"OVOL2",-0.112073450648232,0.141628809665046,-0.0130290868002323,0.00398728251510293,-0.135914919471932,0.130539168987027,-0.128589308262793,0,0.123198916486741,0.123198916486741
"NRF2",0.14124334027789,-0.59049607968485,-0.0883321881269483,0.145342082825379,0.33573504884906,0.151523894146338,-0.148239927629918,0,-0.125813035715777,-0.125813035715777
"miR34",0.14124334027789,-0.59049607968485,-0.0883321881269483,0.145342082825379,0.33573504884906,0.151523894146338,-0.148239927629918,0,-0.125813035715777,-0.125813035715777
"miR200",-0.0657719586359934,0.0397331552060001,0.0773758682642305,0.0657147271112814,-0.073423364830921,0.137178080912302,-0.232852141003541,0,0.0894349487184849,0.0894349487184849
"KEAP1",-0.125813035715777,0.578407228766439,0.106560818405012,-0.228125965609262,-0.345229281324659,-0.148239927629918,0.150193052629918,0,0.140931991970573,0.140931991970573
"Iext",0.14124334027789,-0.59049607968485,-0.0883321881269483,0.145342082825379,0.33573504884906,0.151523894146338,-0.148239927629918,0,-0.125813035715777,-0.125813035715777
"GRHL2",-0.0744549878950932,0.225688514375288,0.0813780294915976,-0.0437585757561415,-0.124734635537622,0.124814548320054,-0.120627229912944,0,0.0981005065255061,0.0981005065255061
"Ecad",-0.0849067743020183,0.397267772230459,0.0857721927973647,-0.161416196849663,-0.252929463614481,0.0763687370736529,-0.0726459808803403,0,0.106779780045477,0.106779780045477
