"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0184504502670556,0.107070530087481,-0.0347511989616052,-0.048401275900052,-0.0522589029104305,-0.147055172488868,0.160409927548341,0,-0.0434615778627128,-0.0434615778627128
"SNAIL",-0.0293760951768109,-0.0551770628655159,0.0777275939432458,0.022508579546963,-0.0214781099225456,-0.023203423509352,0.0402355355478299,0,0.0769457565537946,0.0769457565537946
"OVOL2",-0.098415276949726,-0.0838820993626298,-0.011109006066379,-0.0184912968225847,0.124795442781829,0.146767215990874,-0.138368465252291,0,0.121128320427987,0.121128320427987
"NRF2",0.0769457565537946,-0.0200310646919837,-0.0206876685384819,-0.0686698542934623,0.0692253305193858,0.0402355355478299,-0.0209824769515646,0,-0.0233504071287977,-0.0233504071287977
"miR34",0.0769457565537946,-0.0200310646919837,-0.0206876685384819,-0.0686698542934623,0.0692253305193858,0.0402355355478299,-0.0209824769515646,0,-0.0233504071287977,-0.0233504071287977
"miR200",-0.0562447405049459,-0.00940775846567934,0.0797496410629236,-0.0746033613502428,0.0701812977149905,0.147957014041298,-0.235765728843878,0,0.0901033001490279,0.0901033001490279
"KEAP1",0.0233504071287977,-0.0480105606338889,-0.0847453410410566,0.0835645779409699,0.0155429880171675,0.0209824769515646,-0.0432481019515646,0,-0.0835959942354746,-0.0835959942354746
"Iext",0.0769457565537946,-0.0200310646919837,-0.0206876685384819,-0.0686698542934623,0.0692253305193858,0.0402355355478299,-0.0209824769515646,0,-0.0233504071287977,-0.0233504071287977
"GRHL2",-0.0434615778627128,-0.0870840496909056,0.080317402227903,0.0117877836840228,0.0902715089333081,0.160409927548341,-0.144942486085343,0,0.0861201881346162,0.0861201881346162
"Ecad",-0.0376289720814644,-0.120006958887556,0.0583306271717697,0.102198162013125,0.152493989313317,0.166854560947164,-0.159233063722309,0,0.0588957238364102,0.0588957238364102
