"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0142520213328273,-0.114453857729093,-0.190879980025525,0.093934667544002,0.0772391425798281,-0.00255851581768186,0.0151465985731923,0,-0.0699515214257476,-0.0699515214257476
"SNAIL",-0.0433065489799236,-0.0290020508910915,0.0974452417299345,-0.0397439214732755,-0.126707315492186,-0.050964036620997,0.0738809980016732,0,0.0717167284959384,0.0717167284959384
"OVOL2",-0.11166036624859,0.124296843530992,0.282265476548234,-0.128037087226186,-0.131850536489438,-0.161380278353148,0.169356981315924,0,0.121772167490826,0.121772167490826
"NRF2",0.0717167284959384,-0.083683147359226,-0.080517209179286,0.0799177505413586,0.0961826421939611,0.0738809980016732,-0.0451838526915208,0,-0.0364709304421029,-0.0364709304421029
"miR34",0.0717167284959384,-0.083683147359226,-0.080517209179286,0.0799177505413586,0.0961826421939611,0.0738809980016732,-0.0451838526915208,0,-0.0364709304421029,-0.0364709304421029
"miR200",-0.0656552547673851,0.0195604671169588,0.193874095332431,0.0347865360064972,-0.0689532405631278,0.021694305737701,-0.104248969887457,0,0.0875757293248047,0.0875757293248047
"KEAP1",-0.0364709304421029,0.0691167227543563,0.1009085583039,-0.130174160797769,-0.132769450830459,-0.0451838526915208,0.0804703110248541,0,0.0795254200813969,0.0795254200813969
"Iext",-0.0717167284959384,0.083683147359226,0.080517209179286,-0.0799177505413586,-0.0961826421939611,-0.0738809980016732,0.0451838526915208,0,0.0364709304421029,0.0364709304421029
"GRHL2",-0.0699515214257476,0.105530919468615,0.199599105413567,-0.0706980732714669,-0.0943973403854463,0.0151465985731923,-2.09790209790256e-05,0,0.08918616392323,0.08918616392323
"Ecad",-0.0630242766453089,0.140446281229863,0.198499813557222,-0.16258792847485,-0.178923964917401,0.0225094138342341,-0.00319169351475389,0,0.087210619976515,0.087210619976515
