"","GRHL2","Ecad","miR34","OVOL2","SNAIL","miR200","KEAP1","NRF2","ZEB"
"miR200",0.509013390168557,0.509013390168557,0.402936669647448,0.260095742393211,0.132470191977639,0.208289821285126,-0.301478432265148,-0.151758761567325,-0.519181153631344
"GRHL2",0.507264324463404,0.507264324463404,0.404011470384845,0.257232144018083,0.222990101014526,0.204277701618156,-0.197013986013986,-0.253290720699103,-0.517274394956858
"Ecad",0.403570903562399,0.403570903562399,0.236974139572372,0.207569364608868,0.179600021129872,0.141606158353088,-0.136881642311394,-0.307049922981391,-0.410112065017409
"NRF2",0.245929082533067,0.245929082533067,0.194042896517137,0.159293093921575,0.0409741154682226,0.140646039808672,-0.139551384303199,-0.0734260786766355,-0.252412085186928
"OVOL2",0.145867064265374,0.145867064265374,0.121390556460245,-0.00435036357184425,0.116678964246473,-0.0176986446065635,0.0223158472739055,-0.0926265696612914,-0.145713026998294
"KEAP1",-0.239252183070289,-0.239252183070289,-0.189872532719444,-0.157130375075025,-0.0378557899663004,-0.139551384303199,0.134603467636532,-0.0335336282830715,0.245929082533067
"miR34",-0.245929082533067,-0.245929082533067,-0.194042896517137,-0.159293093921575,-0.0409741154682226,-0.140646039808672,0.139551384303199,0.0734260786766355,0.252412085186928
"SNAIL",-0.252412085186928,-0.252412085186928,-0.198333904904108,-0.162929611680328,-0.14327410135788,-0.143164076306055,0.140646039808672,0.0757920854366548,0.256256476873379
"ZEB",-0.517274394956858,-0.517274394956858,-0.410322263319247,-0.260525435960315,-0.227654364196139,-0.20599707700572,0.204277701618156,0.263688568094836,0.426927416916653
