"","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB"
"GRHL2",0.673213588295107,0.673213588295107,0.611810184873558,0.5625976382189,0.34251619857364,-0.196038537764182,-0.239666816184348,-0.528911088911089,-0.711118925656637
"miR200",0.667399290472773,0.667399290472773,0.598673688105763,0.556224581067208,0.34229921562026,-0.179393558972617,-0.136216579764089,-0.623205861545421,-0.704520432376564
"Ecad",0.518392849189258,0.518392849189258,0.373125115287543,0.3798534187505,0.267009570610963,-0.0350189644965764,-0.297047651124179,-0.357259672980905,-0.543711930235844
"OVOL2",0.373849121376561,0.373849121376561,0.351037698417673,0.339507759880145,0.106420566102004,-0.161108693945299,-0.0843317669029907,-0.322735581269526,-0.392785767339294
"NRF2",0.345516347555231,0.345516347555231,0.321559309275229,0.313604696096075,0.212628470223213,-0.126207512828502,-0.0732206022072392,-0.295381901504961,-0.36615327413175
"miR34",0.345516347555231,0.345516347555231,0.321559309275229,0.313604696096075,0.212628470223213,-0.126207512828502,-0.0732206022072392,-0.295381901504961,-0.36615327413175
"KEAP1",-0.322876286158454,-0.322876286158454,-0.302186342697293,-0.295381901504961,-0.202432795660906,0.119842711461564,-0.0350577860711491,0.275720443171628,0.345516347555231
"SNAIL",-0.36615327413175,-0.36615327413175,-0.338937893242461,-0.329009986801974,-0.223114186930851,0.0317528775808651,0.0801737649305612,0.313604696096075,0.383675869825032
"ZEB",-0.711118925656637,-0.711118925656637,-0.643317460571948,-0.591161818837875,-0.361047714297759,0.207823125416278,0.252947615723076,0.5625976382189,0.643793243974159
