"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.209258772960305,0.0867897373485454,-0.0895345270415343,0.104217298037184,-0.228696416894445,-0.0784094995577198,0.106991144372976,0,-0.286908376421012,-0.286908376421012
"SNAIL",0.228010095215186,-0.0120713673974498,-0.145458334316879,0.0329472852981093,-0.242613974082355,-0.17896158266939,0.157919829878981,0,-0.236980634771625,-0.236980634771625
"OVOL2",-0.0532524688980951,-0.0240634892613827,-0.0291900877656073,-0.0316451546596855,0.0787442876677231,-0.0259572651376881,0.070199364762755,0,0.0764514397385754,0.0764514397385754
"NRF2",-0.236980634771625,-0.107888910656175,0.125024729980835,-0.0518592023965549,0.220764263099696,0.157919829878981,-0.176593863028152,0,0.215700357955016,0.215700357955016
"miR34",-0.236980634771625,-0.107888910656175,0.125024729980835,-0.0518592023965549,0.220764263099696,0.157919829878981,-0.176593863028152,0,0.215700357955016,0.215700357955016
"miR200",-0.333322789474568,-0.0508023568928849,0.127611880464779,0.0161230223339518,0.276461636321423,0.118842202033484,-0.184496652295264,0,0.338650838792049,0.338650838792049
"KEAP1",0.215700357955016,0.0848923949767323,-0.144037792390124,-0.0753516819571866,-0.23469422418919,-0.176593863028152,0.149242198773449,0,-0.227775387263339,-0.227775387263339
"Iext",0.236980634771625,0.107888910656175,-0.125024729980835,0.0518592023965549,-0.220764263099696,-0.157919829878981,0.176593863028152,0,-0.215700357955016,-0.215700357955016
"GRHL2",-0.286908376421012,-0.0396786262374343,0.110782576963531,-0.065229414929557,0.254268284426025,0.106991144372976,-0.0643067429219482,0,0.298821733821734,0.298821733821734
"Ecad",-0.202301373349264,0.0658901688239226,0.066191054524424,-0.143908440799801,0.0775702367899532,0.0643511664032395,-0.0423042580876744,0,0.206885900569894,0.206885900569894
