"","ZEB","SNAIL","OVOL2","NRF2","miR34","miR200","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.640542894264621,0.19209877419379,-0.73915770075884,0.354414065208508,-0.63826422005168,-0.250334048211619,0.240947949784425,0,-0.708731045263095,-0.708731045263095
"SNAIL",0.38265247379135,0.0256367422874065,-0.39614158239036,0.121992281488501,-0.337274213324263,-0.193705076583564,0.188145591507882,0,-0.365413105221231,-0.365413105221231
"OVOL2",-0.383058416586414,-0.121445636072834,0.511719381839406,-0.244638862259051,0.337122923701003,-0.0628539816932579,0.0684165713784102,0,0.365354068760327,0.365354068760327
"NRF2",-0.365413105221231,-0.121502411823176,0.374398766420199,-0.110693392063103,0.320246711861419,0.188145591507882,-0.182543530979872,0,0.345130026742778,0.345130026742778
"miR34",-0.365413105221231,-0.121502411823176,0.374398766420199,-0.110693392063103,0.320246711861419,0.188145591507882,-0.182543530979872,0,0.345130026742778,0.345130026742778
"miR200",-0.702302479465607,-0.166270810782621,0.693164280789806,-0.225711929431716,0.59503666610389,0.245186148346619,-0.33374993629691,0,0.665811609134715,0.665811609134715
"KEAP1",0.345130026742778,0.11547934475782,-0.349681979602485,-0.0040318826621722,-0.301465286247696,-0.182543530979872,0.174861239313205,0,-0.322643457287674,-0.322643457287674
"Iext",0.365413105221231,0.121502411823176,-0.374398766420199,0.110693392063103,-0.320246711861419,-0.188145591507882,0.182543530979872,0,-0.345130026742778,-0.345130026742778
"GRHL2",-0.708731045263095,-0.181756277573691,0.699098313527095,-0.332176894345544,0.607893042711395,0.240947949784425,-0.229172184957899,0,0.67149036046954,0.67149036046954
"Ecad",-0.541899431035054,-0.0249378327736537,0.547450866389971,-0.363695456773698,0.370187463556989,0.161376921619173,-0.153647126032332,0,0.517074925610676,0.517074925610676
