"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"MIR340",0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.559334517175109,0.559334517175109,0.342565534344754,-0.337871540994748,-0.342565534344754,-0.546627191273861,-0.709222592144168,-0.603733712390429,-0.603733712390429,-0.661264114635518
"MIR1199",0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.559334517175109,0.559334517175109,0.342565534344754,-0.337871540994748,-0.342565534344754,-0.546627191273861,-0.709222592144168,-0.603733712390429,-0.603733712390429,-0.661264114635518
"GRHL2",0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.661264114635518,0.559334517175109,0.559334517175109,0.342565534344754,-0.337871540994748,-0.342565534344754,-0.546627191273861,-0.709222592144168,-0.603733712390429,-0.603733712390429,-0.661264114635518
"ESRP1",0.603733712390429,0.603733712390429,0.603733712390429,0.603733712390429,0.603733712390429,0.514202787507297,0.514202787507297,0.31471253627899,-0.314818105880244,-0.31471253627899,-0.493647058823529,-0.661264114635518,-0.542539682539683,-0.642539682539683,-0.603733712390429
"MIR200",0.55780222964902,0.55780222964902,0.55780222964902,0.55780222964902,0.55780222964902,0.564514237041447,0.564514237041447,0.329315382440408,-0.307587746859475,-0.329315382440408,-0.662497321928698,-0.594862680063875,-0.512387622290426,-0.512387622290426,-0.55780222964902
"MIR129",0.544524174117968,0.544524174117968,0.544524174117968,0.544524174117968,0.544524174117968,0.376085573112222,0.376085573112222,0.431555473359271,-0.209557283685829,-0.398213385756251,-0.400685350303347,-0.58012839147401,-0.504556800545374,-0.504556800545374,-0.544524174117968
"MIR34",0.344929179580676,0.344929179580676,0.344929179580676,0.344929179580676,0.344929179580676,0.315335827466755,0.315335827466755,0.253447384864693,-0.171950798250046,-0.253447384864693,-0.340086147383723,-0.365930614758479,-0.322369326910326,-0.322369326910326,-0.344929179580676
"MIR190",0.322369326910326,0.322369326910326,0.322369326910326,0.322369326910326,0.322369326910326,0.296294769324016,0.296294769324016,0.240578752156919,-0.164317210463786,-0.240578752156919,-0.417261681943644,-0.344929179580676,-0.294177837548624,-0.294177837548624,-0.322369326910326
"TGFB",-0.344929179580676,-0.344929179580676,-0.344929179580676,-0.344929179580676,-0.344929179580676,-0.315335827466755,-0.315335827466755,-0.253447384864693,0.171950798250046,0.253447384864693,0.340086147383723,0.365930614758479,0.322369326910326,0.322369326910326,0.344929179580676
"SNAIL1",-0.365930614758479,-0.365930614758479,-0.365930614758479,-0.365930614758479,-0.365930614758479,-0.330981435800884,-0.330981435800884,-0.262903061381023,0.0812134328813629,0.262903061381023,0.360444706252884,0.383591989834534,0.344929179580676,0.344929179580676,0.365930614758479
"TWIST1",-0.58012839147401,-0.58012839147401,-0.58012839147401,-0.58012839147401,-0.58012839147401,-0.405142053686822,-0.405142053686822,-0.450255097217412,0.222210811249382,0.316934846943465,0.433836700015206,0.610868739986574,0.544524174117968,0.544524174117968,0.58012839147401
"ZEB1",-0.709222592144168,-0.709222592144168,-0.709222592144168,-0.709222592144168,-0.709222592144168,-0.597212992973255,-0.597212992973255,-0.367273770423447,0.357390210256826,0.367273770423447,0.596467333369775,0.65311032120935,0.661264114635518,0.661264114635518,0.709222592144168
"HAS2",-0.603733712390429,-0.603733712390429,-0.603733712390429,-0.603733712390429,-0.603733712390429,-0.514202787507297,-0.514202787507297,-0.31471253627899,0.314818105880244,0.31471253627899,0.493647058823529,0.661264114635518,0.642539682539683,0.542539682539683,0.603733712390429
"HA",-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.559334517175109,-0.559334517175109,-0.342565534344754,0.337871540994748,0.342565534344754,0.546627191273861,0.709222592144168,0.603733712390429,0.603733712390429,0.661264114635518
"CD44s",-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.661264114635518,-0.559334517175109,-0.559334517175109,-0.342565534344754,0.337871540994748,0.342565534344754,0.546627191273861,0.709222592144168,0.603733712390429,0.603733712390429,0.661264114635518
