"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0317593703440754,-0.0781653464865985,0.000253537054001097,0.0560155760835322,-0.0703492134181693,0.0719207619712604,-0.0781653464865985,0.0703492134181693,-0.0703492134181693,-0.0703492134181693,-0.0709345353452292,0.0703492134181693,0,-0.0703492134181693,-0.0754174781920631,0.0719207619712604,-0.0709345353452292,-0.0709345353452292
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.00915512259810021,0.046335666516609,-0.0665767116086116,-0.00316687225580193,-0.00805455333813816,0.056486586823793,0.046335666516609,0.00805455333813816,-0.00805455333813816,-0.00805455333813816,-0.00417700231773,0.00805455333813816,0,-0.00805455333813816,-0.00259827632047597,0.056486586823793,-0.00417700231773,-0.00417700231773
"SNAIL1",-0.00749625403153279,-0.0454360798402171,0.0675313655465591,-0.0981482516693372,0.00915512259810021,-0.056997163045529,-0.0454360798402171,-0.00915512259810021,0.00915512259810021,0.00915512259810021,0.00805455333813816,-0.00915512259810021,0,0.00915512259810021,0.00507546015359201,-0.056997163045529,0.00805455333813816,0.00805455333813816
"MIR340",0.0703492134181693,-0.0779349317400548,0.00103948250014072,0.0545203607725274,-0.0709345353452292,0.0729000246440714,-0.0779349317400548,0.0709345353452292,-0.0709345353452292,-0.0709345353452292,-0.0655227706393468,0.0709345353452292,0,-0.0709345353452292,-0.0719140509262596,0.0729000246440714,-0.0655227706393468,-0.0655227706393468
"MIR34",-0.00915512259810021,-0.046335666516609,0.0665767116086116,0.00316687225580193,0.00805455333813816,-0.056486586823793,-0.046335666516609,-0.00805455333813816,0.00805455333813816,0.00805455333813816,0.00417700231773,-0.00805455333813816,0,0.00805455333813816,0.00259827632047597,-0.056486586823793,0.00417700231773,0.00417700231773
"MIR200",-0.0652441716441154,-0.0036635255935785,-0.0097243239097597,0.0271578890787465,0.0644631657084703,-0.162417382656336,-0.0036635255935785,-0.0644631657084703,0.0644631657084703,0.0644631657084703,0.0614229027668105,-0.0644631657084703,0,0.0644631657084703,0.0774171827686669,-0.162417382656336,0.0614229027668105,0.0614229027668105
"MIR190",-0.00805455333813816,-0.0472483131919675,-0.0332109741663354,0.00370814424497649,0.00417700231773,-0.0524448658329195,-0.0472483131919675,-0.00417700231773,0.00417700231773,0.00417700231773,0.00662931839402428,-0.00417700231773,0,0.00417700231773,0.00416349371178032,-0.0524448658329195,0.00662931839402428,0.00662931839402428
"MIR1199",0.0703492134181693,-0.0779349317400548,0.00103948250014072,0.0545203607725274,-0.0709345353452292,0.0729000246440714,-0.0779349317400548,0.0709345353452292,-0.0709345353452292,-0.0709345353452292,-0.0655227706393468,0.0709345353452292,0,-0.0709345353452292,-0.0719140509262596,0.0729000246440714,-0.0655227706393468,-0.0655227706393468
"HAS2",-0.0709345353452292,0.0757262493333526,-0.00206512352578174,-0.0528417036981869,0.0655227706393468,-0.0681018525191666,0.0757262493333526,-0.0655227706393468,0.0655227706393468,0.0655227706393468,0.164532671629446,-0.0655227706393468,0,0.0655227706393468,0.0712851201086495,-0.0681018525191666,0.0645326716294458,0.0645326716294458
"HA",-0.0703492134181693,0.0779349317400548,-0.00103948250014072,-0.0545203607725274,0.0709345353452292,-0.0729000246440714,0.0779349317400548,-0.0709345353452292,0.0709345353452292,0.0709345353452292,0.0655227706393468,-0.0709345353452292,0,0.0709345353452292,0.0719140509262596,-0.0729000246440714,0.0655227706393468,0.0655227706393468
"GRHL2",-0.150324983650082,0.173431615787233,-0.00811388307543289,-0.0789588848321247,0.149250415105634,-0.146468973838752,0.173431615787233,-0.149250415105634,0.149250415105634,0.149250415105634,0.145000631931306,-0.149250415105634,0,0.149250415105634,0.157212864645395,-0.146468973838752,0.145000631931306,0.0450006319313063
"EXTGFB",0.00915512259810021,0.046335666516609,-0.0665767116086116,-0.00316687225580193,-0.00805455333813816,0.056486586823793,0.046335666516609,0.00805455333813816,-0.00805455333813816,-0.00805455333813816,-0.00417700231773,0.00805455333813816,0,-0.00805455333813816,-0.00259827632047597,0.056486586823793,-0.00417700231773,-0.00417700231773
"ESRP1",-0.0709345353452292,0.0757262493333526,-0.00206512352578174,-0.0528417036981869,0.0655227706393468,-0.0681018525191666,0.0757262493333526,-0.0655227706393468,0.0655227706393468,0.0655227706393468,0.0645326716294458,-0.0655227706393468,0,0.0655227706393468,0.0712851201086495,-0.0681018525191666,0.164532671629446,0.0645326716294458
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0703492134181693,0.0779349317400548,-0.00103948250014072,-0.0545203607725274,0.0709345353452292,-0.0729000246440714,0.0779349317400548,-0.0709345353452292,0.0709345353452292,0.0709345353452292,0.0655227706393468,-0.0709345353452292,0,0.0709345353452292,0.0719140509262596,-0.0729000246440714,0.0655227706393468,0.0655227706393468
"CD24",0.0703492134181693,-0.0779349317400548,0.00103948250014072,0.0545203607725274,-0.0709345353452292,0.0729000246440714,-0.0779349317400548,0.0709345353452292,-0.0709345353452292,-0.0709345353452292,-0.0655227706393468,0.0709345353452292,0,-0.0709345353452292,-0.0719140509262596,0.0729000246440714,-0.0655227706393468,-0.0655227706393468
