"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0334045951071573,-0.0751424249558469,-0.000400663260503572,0.054439039644108,-0.0671100985670914,-0.0693674504652778,0.0751424249558469,-0.0671100985670914,-0.0671100985670914,-0.0671100985670914,0.0663446775855516,0.0671100985670914,0,-0.0671100985670914,-0.00274347802869468,-0.0693674504652778,0.0663446775855516,0.0663446775855516
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.068086120309462,-0.0174213729283622,-0.0653764711996675,-0.0016483835703085,0.0669096497212267,0.0796402431016719,0.0174213729283622,0.0669096497212267,0.0669096497212267,0.0669096497212267,-0.0675218946191858,-0.0669096497212267,0,0.0669096497212267,-0.0480092956290979,0.0796402431016719,-0.0675218946191858,-0.0675218946191858
"SNAIL1",-0.0684122226772487,-0.0171053019339542,-0.0656946891789833,-0.101951873706879,0.068086120309462,0.0808315876190558,0.0171053019339542,0.068086120309462,0.068086120309462,0.068086120309462,-0.0669096497212267,-0.068086120309462,0,0.068086120309462,-0.048530808015017,0.0808315876190558,-0.0669096497212267,-0.0669096497212267
"MIR340",0.0671100985670914,-0.0745087844028515,-0.000909216196240973,0.0536615276823855,-0.0663446775855516,-0.0690218283454621,0.0745087844028515,-0.0663446775855516,-0.0663446775855516,-0.0663446775855516,0.0644623246443751,0.0663446775855516,0,-0.0663446775855516,-0.00358125411399551,-0.0690218283454621,0.0644623246443751,0.0644623246443751
"MIR34",0.068086120309462,0.0174213729283622,0.0653764711996675,0.0016483835703085,-0.0669096497212267,-0.0796402431016719,-0.0174213729283622,-0.0669096497212267,-0.0669096497212267,-0.0669096497212267,0.0675218946191858,0.0669096497212267,0,-0.0669096497212267,0.0480092956290979,-0.0796402431016719,0.0675218946191858,0.0675218946191858
"MIR200",-0.0610047930960033,0.15919747932768,-0.00673318048941958,-0.0706828983074207,0.0602862676352098,-0.0174079725566921,-0.15919747932768,0.0602862676352098,0.0602862676352098,0.0602862676352098,-0.057739020305711,-0.0602862676352098,0,0.0602862676352098,0.0893090818743895,-0.0174079725566921,-0.057739020305711,-0.057739020305711
"MIR190",0.0669096497212267,0.0165087262530036,-0.0337742719001202,0.00286624554595126,-0.0675218946191858,-0.0795098650051921,-0.0165087262530036,-0.0675218946191858,-0.0675218946191858,-0.0675218946191858,0.0716090880796763,0.0675218946191858,0,-0.0675218946191858,0.049400599976924,-0.0795098650051921,0.0716090880796763,0.0716090880796763
"MIR1199",-0.0671100985670914,0.0745087844028515,0.000909216196240973,-0.0536615276823855,0.0663446775855516,0.0690218283454621,-0.0745087844028515,0.0663446775855516,0.0663446775855516,0.0663446775855516,-0.0644623246443751,-0.0663446775855516,0,0.0663446775855516,0.00358125411399551,0.0690218283454621,-0.0644623246443751,-0.0644623246443751
"HAS2",0.0663446775855516,-0.0741279770913511,-0.00142203670906149,0.0532618474265901,-0.0644623246443751,-0.0669654688633601,0.0741279770913511,-0.0644623246443751,-0.0644623246443751,-0.0644623246443751,-0.0338875103391232,0.0644623246443751,0,-0.0644623246443751,-0.0044198285374756,-0.0669654688633601,0.0661124896608768,0.0661124896608768
"HA",-0.0671100985670914,0.0745087844028515,0.000909216196240973,-0.0536615276823855,0.0663446775855516,0.0690218283454621,-0.0745087844028515,0.0663446775855516,0.0663446775855516,0.0663446775855516,-0.0644623246443751,-0.0663446775855516,0,0.0663446775855516,0.00358125411399551,0.0690218283454621,-0.0644623246443751,-0.0644623246443751
"GRHL2",0.0163830770469655,-0.0128511618824737,0.00198432351962778,-0.0528944862326475,-0.0164156397301306,-0.0215017853475416,0.0128511618824737,-0.0164156397301306,-0.0164156397301306,-0.0164156397301306,0.0182369753762711,0.0164156397301306,0,-0.0164156397301306,0.00471637318504789,-0.0215017853475416,0.0182369753762711,0.118236975376271
"EXTGFB",0.068086120309462,0.0174213729283622,0.0653764711996675,0.0016483835703085,-0.0669096497212267,-0.0796402431016719,-0.0174213729283622,-0.0669096497212267,-0.0669096497212267,-0.0669096497212267,0.0675218946191858,0.0669096497212267,0,-0.0669096497212267,0.0480092956290979,-0.0796402431016719,0.0675218946191858,0.0675218946191858
"ESRP1",-0.0663446775855516,0.0741279770913511,0.00142203670906149,-0.0532618474265901,0.0644623246443751,0.0669654688633601,-0.0741279770913511,0.0644623246443751,0.0644623246443751,0.0644623246443751,-0.0661124896608768,-0.0644623246443751,0,0.0644623246443751,0.0044198285374756,0.0669654688633601,-0.166112489660877,-0.0661124896608768
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0671100985670914,-0.0745087844028515,-0.000909216196240973,0.0536615276823855,-0.0663446775855516,-0.0690218283454621,0.0745087844028515,-0.0663446775855516,-0.0663446775855516,-0.0663446775855516,0.0644623246443751,0.0663446775855516,0,-0.0663446775855516,-0.00358125411399551,-0.0690218283454621,0.0644623246443751,0.0644623246443751
"CD24",0.0671100985670914,-0.0745087844028515,-0.000909216196240973,0.0536615276823855,-0.0663446775855516,-0.0690218283454621,0.0745087844028515,-0.0663446775855516,-0.0663446775855516,-0.0663446775855516,0.0644623246443751,0.0663446775855516,0,-0.0663446775855516,-0.00358125411399551,-0.0690218283454621,0.0644623246443751,0.0644623246443751
