"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0973392808140705,-0.0316727609991128,-0.00140861283359553,0.0625105244362504,-0.00253602662180753,-0.0381160843616219,-0.0381160843616219,-0.00253602662180753,-0.00253602662180753,0.00253602662180753,-0.0067233296384667,-0.00253602662180753,0,-0.00253602662180753,0.0322158512517959,-0.0381160843616219,0.0067233296384667,-0.0067233296384667
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.00983045012561293,-0.0940206229460885,0.0917632011487282,-0.0714647173746038,0.00660464367400002,0.0858075920523183,0.0858075920523183,0.00660464367400002,0.00660464367400002,-0.00660464367400002,0.013339337551551,0.00660464367400002,0,0.00660464367400002,0.00840899263071822,0.0858075920523183,-0.013339337551551,0.013339337551551
"SNAIL1",-0.00967448812362796,0.0943853202473284,-0.0935929545297942,-0.0246910742288357,-0.00983045012561293,-0.0820390532728386,-0.0820390532728386,-0.00983045012561293,-0.00983045012561293,0.00983045012561293,-0.00660464367400002,-0.00983045012561293,0,-0.00983045012561293,-0.0041065154468851,-0.0820390532728386,0.00660464367400002,-0.00660464367400002
"MIR340",0.00253602662180753,0.0273524845014169,0.000992524067992196,-0.0616732038620878,0.0067233296384667,0.0370792180021749,0.0370792180021749,0.0067233296384667,0.0067233296384667,-0.0067233296384667,0.00225274140317258,0.0067233296384667,0,0.0067233296384667,-0.0351099868191988,0.0370792180021749,-0.00225274140317258,0.00225274140317258
"MIR34",0.00983045012561293,-0.0940206229460885,0.0917632011487282,-0.0714647173746038,0.00660464367400002,0.0858075920523183,0.0858075920523183,0.00660464367400002,0.00660464367400002,-0.00660464367400002,0.013339337551551,0.00660464367400002,0,0.00660464367400002,0.00840899263071822,0.0858075920523183,-0.013339337551551,0.013339337551551
"MIR200",-0.0400132274583558,-0.04822652121769,0.204292417357363,-0.105743679540211,-0.0350460297076529,0.162119598627158,0.162119598627158,-0.0350460297076529,-0.0350460297076529,0.0350460297076529,-0.0389079853362478,-0.0350460297076529,0,-0.0350460297076529,-0.0594359454843953,0.162119598627158,0.0389079853362478,-0.0389079853362478
"MIR190",0.00660464367400002,-0.0953244039108864,0.194947914524524,-0.0762008472798812,0.013339337551551,0.0785064186494499,0.0785064186494499,0.013339337551551,0.013339337551551,-0.013339337551551,0.0108870214752568,0.013339337551551,0,0.013339337551551,0.00684377523941387,0.0785064186494499,-0.0108870214752568,0.0108870214752568
"MIR1199",0.00253602662180753,0.0273524845014169,0.000992524067992196,-0.0616732038620878,0.0067233296384667,0.0370792180021749,0.0370792180021749,0.0067233296384667,0.0067233296384667,-0.0067233296384667,0.00225274140317258,0.0067233296384667,0,0.0067233296384667,-0.0351099868191988,0.0370792180021749,-0.00225274140317258,0.00225274140317258
"HAS2",-0.0067233296384667,-0.0309320732295205,-0.000992524067992196,0.0662295587781549,-0.00225274140317258,-0.0392879004088771,-0.0392879004088771,-0.00225274140317258,-0.00225274140317258,0.00225274140317258,-0.0834408602150538,-0.00225274140317258,0,-0.00225274140317258,0.04705967235379,-0.0392879004088771,-0.0165591397849462,0.0165591397849462
"HA",0.00253602662180753,0.0273524845014169,0.000992524067992196,-0.0616732038620878,0.0067233296384667,0.0370792180021749,0.0370792180021749,0.0067233296384667,0.0067233296384667,-0.0067233296384667,0.00225274140317258,0.0067233296384667,0,0.0067233296384667,-0.0351099868191988,0.0370792180021749,-0.00225274140317258,0.00225274140317258
"GRHL2",-0.10710556506267,0.113498748582642,0.00878511419896248,-0.0865660917972898,-0.10531461748859,0.14670968404282,0.14670968404282,-0.10531461748859,-0.10531461748859,0.10531461748859,-0.113553993030654,-0.10531461748859,0,-0.10531461748859,-0.135411478882563,0.14670968404282,0.113553993030654,-0.0135539930306541
"EXTGFB",-0.00983045012561293,0.0940206229460885,-0.0917632011487282,0.0714647173746038,-0.00660464367400002,-0.0858075920523183,-0.0858075920523183,-0.00660464367400002,-0.00660464367400002,0.00660464367400002,-0.013339337551551,-0.00660464367400002,0,-0.00660464367400002,-0.00840899263071822,-0.0858075920523183,0.013339337551551,-0.013339337551551
"ESRP1",0.0067233296384667,0.0309320732295205,0.000992524067992196,-0.0662295587781549,0.00225274140317258,0.0392879004088771,0.0392879004088771,0.00225274140317258,0.00225274140317258,-0.00225274140317258,-0.0165591397849462,0.00225274140317258,0,0.00225274140317258,-0.04705967235379,0.0392879004088771,-0.0834408602150538,-0.0165591397849462
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.00253602662180753,-0.0273524845014169,-0.000992524067992196,0.0616732038620878,-0.0067233296384667,-0.0370792180021749,-0.0370792180021749,-0.0067233296384667,-0.0067233296384667,0.0067233296384667,-0.00225274140317258,-0.0067233296384667,0,-0.0067233296384667,0.0351099868191988,-0.0370792180021749,0.00225274140317258,-0.00225274140317258
"CD24",0.00253602662180753,0.0273524845014169,0.000992524067992196,-0.0616732038620878,0.0067233296384667,0.0370792180021749,0.0370792180021749,0.0067233296384667,0.0067233296384667,-0.0067233296384667,0.00225274140317258,0.0067233296384667,0,0.0067233296384667,-0.0351099868191988,0.0370792180021749,-0.00225274140317258,0.00225274140317258
