"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0419100902685789,0.139172815324728,0.117429864914224,-0.033017639051653,-0.142258753725328,-0.106463992349872,-0.106463992349872,-0.142258753725328,-0.142258753725328,-0.142258753725328,0.141763481325508,-0.142258753725328,0,-0.142258753725328,-0.137617515785558,-0.139172815324728,0.141763481325508,-0.141763481325508
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.114859624667892,0.0245814985540328,-0.165710918643463,0.0543386240265449,0.114366266034116,0.141348912175396,0.141348912175396,0.114366266034116,0.114366266034116,0.114366266034116,-0.115386674197381,0.114366266034116,0,0.114366266034116,-0.021322046142038,-0.0245814985540328,-0.115386674197381,0.115386674197381
"SNAIL1",-0.114561879027739,0.022660759434169,-0.166506463591752,-0.0428793830548917,0.114859624667892,0.140060315044348,0.140060315044348,0.114859624667892,0.114859624667892,0.114859624667892,-0.114366266034116,0.114859624667892,0,0.114859624667892,-0.0245814985540328,-0.022660759434169,-0.114366266034116,0.114366266034116
"MIR340",0.142258753725328,0.137617515785558,0.116736383638218,-0.0307449117789257,-0.141763481325508,-0.107385651336047,-0.107385651336047,-0.141763481325508,-0.141763481325508,-0.141763481325508,0.142234069560802,-0.141763481325508,0,-0.141763481325508,-0.13967387526766,-0.137617515785558,0.142234069560802,-0.142234069560802
"MIR34",-0.114859624667892,0.0245814985540328,-0.165710918643463,0.0543386240265449,0.114366266034116,0.141348912175396,0.141348912175396,0.114366266034116,0.114366266034116,0.114366266034116,-0.115386674197381,0.114366266034116,0,0.114366266034116,-0.021322046142038,-0.0245814985540328,-0.115386674197381,0.115386674197381
"MIR200",-0.103778322187972,-0.202578307427636,-0.0913513351405972,-0.065277881609702,0.103122277202031,-0.00875634928708701,-0.00875634928708701,0.103122277202031,0.103122277202031,0.103122277202031,-0.103861800620272,0.103122277202031,0,0.103122277202031,0.205544409122551,0.202578307427636,-0.103861800620272,0.103861800620272
"MIR190",0.114366266034116,-0.021322046142038,0.0671971182188344,-0.058804117937235,-0.115386674197381,-0.139393240728199,-0.139393240728199,-0.115386674197381,-0.115386674197381,-0.115386674197381,0.114024276377218,-0.115386674197381,0,-0.115386674197381,0.0263655244029076,0.021322046142038,0.114024276377218,-0.114024276377218
"MIR1199",0.142258753725328,0.137617515785558,0.116736383638218,-0.0307449117789257,-0.141763481325508,-0.107385651336047,-0.107385651336047,-0.141763481325508,-0.141763481325508,-0.141763481325508,0.142234069560802,-0.141763481325508,0,-0.141763481325508,-0.13967387526766,-0.137617515785558,0.142234069560802,-0.142234069560802
"HAS2",-0.141763481325508,-0.13967387526766,-0.11853125543309,0.0341821619787658,0.142234069560802,0.105938583552346,0.105938583552346,0.142234069560802,0.142234069560802,0.142234069560802,-0.242564102564103,0.142234069560802,0,0.142234069560802,0.13736779560309,0.13967387526766,-0.142564102564103,0.142564102564103
"HA",0.142258753725328,0.137617515785558,0.116736383638218,-0.0307449117789257,-0.141763481325508,-0.107385651336047,-0.107385651336047,-0.141763481325508,-0.141763481325508,-0.141763481325508,0.142234069560802,-0.141763481325508,0,-0.141763481325508,-0.13967387526766,-0.137617515785558,0.142234069560802,-0.142234069560802
"GRHL2",-0.223478677078644,-0.211283646465042,-0.220224138751598,0.0524406131773787,0.223250738296488,0.219792020633335,0.219792020633335,0.223250738296488,0.223250738296488,0.223250738296488,-0.223684389640807,0.223250738296488,0,0.223250738296488,0.212177501213646,0.211283646465042,-0.223684389640807,0.323684389640807
"EXTGFB",0.114859624667892,-0.0245814985540328,0.165710918643463,-0.0543386240265449,-0.114366266034116,-0.141348912175396,-0.141348912175396,-0.114366266034116,-0.114366266034116,-0.114366266034116,0.115386674197381,-0.114366266034116,0,-0.114366266034116,0.021322046142038,0.0245814985540328,0.115386674197381,-0.115386674197381
"ESRP1",0.141763481325508,0.13967387526766,0.11853125543309,-0.0341821619787658,-0.142234069560802,-0.105938583552346,-0.105938583552346,-0.142234069560802,-0.142234069560802,-0.142234069560802,0.142564102564103,-0.142234069560802,0,-0.142234069560802,-0.13736779560309,-0.13967387526766,0.0425641025641026,-0.142564102564103
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.142258753725328,-0.137617515785558,-0.116736383638218,0.0307449117789257,0.141763481325508,0.107385651336047,0.107385651336047,0.141763481325508,0.141763481325508,0.141763481325508,-0.142234069560802,0.141763481325508,0,0.141763481325508,0.13967387526766,0.137617515785558,-0.142234069560802,0.142234069560802
"CD24",-0.142258753725328,-0.137617515785558,-0.116736383638218,0.0307449117789257,0.141763481325508,0.107385651336047,0.107385651336047,0.141763481325508,0.141763481325508,0.141763481325508,-0.142234069560802,0.141763481325508,0,0.141763481325508,0.13967387526766,0.137617515785558,-0.142234069560802,0.142234069560802
