"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00141523098182662,-0.109275816442086,-0.00394851616588483,0.0827064382412017,-0.101730688395076,-0.109275816442086,-0.109275816442086,-0.101730688395076,0.101730688395076,0.101730688395076,0.101235415995256,-0.101730688395076,0,-0.101730688395076,0,0.109275816442086,0.101235415995256,0.101235415995256
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.107197583358835,-0.142326799817131,-0.0908211155361555,0.0670595487955958,-0.106172915427146,-0.142326799817131,-0.142326799817131,-0.106172915427146,0.106172915427146,0.106172915427146,0.10780556848837,-0.106172915427146,0,-0.106172915427146,0,0.142326799817131,0.10780556848837,0.10780556848837
"SNAIL1",0.106531200259444,-0.140795071151924,-0.0928895324017084,-0.0289950794289869,-0.107197583358835,-0.140795071151924,-0.140795071151924,-0.107197583358835,0.107197583358835,0.107197583358835,0.106172915427146,-0.107197583358835,0,-0.107197583358835,0,0.140795071151924,0.106172915427146,0.106172915427146
"MIR340",-0.101730688395076,0.110024664368353,0.00297764237947707,-0.0807925626431156,0.101235415995256,0.110024664368353,0.110024664368353,0.101235415995256,-0.101235415995256,-0.101235415995256,-0.101941298348197,0.101235415995256,0,0.101235415995256,0,-0.110024664368353,-0.101941298348197,-0.101941298348197
"MIR34",-0.107197583358835,0.142326799817131,0.0908211155361555,-0.0670595487955958,0.106172915427146,0.142326799817131,0.142326799817131,0.106172915427146,-0.106172915427146,-0.106172915427146,-0.10780556848837,0.106172915427146,0,0.106172915427146,0,-0.142326799817131,-0.10780556848837,-0.10780556848837
"MIR200",-0.0801397427322492,-0.00716857691220578,0.00108445470850709,0.039829271813903,0.0792962563217525,-0.00716857691220578,-0.00716857691220578,0.0792962563217525,-0.0792962563217525,-0.0792962563217525,-0.0805287953521551,0.0792962563217525,0,0.0792962563217525,0,0.00716857691220578,-0.0805287953521551,-0.0805287953521551
"MIR190",-0.106172915427146,0.139979994080495,-0.00599417108804833,-0.0731488586738096,0.10780556848837,0.139979994080495,0.139979994080495,0.10780556848837,-0.10780556848837,-0.10780556848837,-0.105353252412076,0.10780556848837,0,0.10780556848837,0,-0.139979994080495,-0.105353252412076,-0.105353252412076
"MIR1199",-0.101730688395076,0.110024664368353,0.00297764237947707,-0.0807925626431156,0.101235415995256,0.110024664368353,0.110024664368353,0.101235415995256,-0.101235415995256,-0.101235415995256,-0.101941298348197,0.101235415995256,0,0.101235415995256,0,-0.110024664368353,-0.101941298348197,-0.101941298348197
"HAS2",0.101235415995256,-0.108882242433852,-0.00451610391793861,0.0837501965360013,-0.101941298348197,-0.108882242433852,-0.108882242433852,-0.101941298348197,0.101941298348197,0.101941298348197,0.200951199338296,-0.101941298348197,0,-0.101941298348197,0,0.108882242433852,0.100951199338296,0.100951199338296
"HA",0.101730688395076,-0.110024664368353,-0.00297764237947707,0.0807925626431156,-0.101235415995256,-0.110024664368353,-0.110024664368353,-0.101235415995256,0.101235415995256,0.101235415995256,0.101941298348197,-0.101235415995256,0,-0.101235415995256,0,0.110024664368353,0.101941298348197,0.101941298348197
"GRHL2",0.201218232968427,-0.222291027650414,-0.0117407901417596,0.104658864238253,-0.201055419552601,-0.222291027650414,-0.222291027650414,-0.201055419552601,0.201055419552601,0.201055419552601,0.201315610359193,-0.201055419552601,0,-0.201055419552601,0,0.222291027650414,0.201315610359193,0.101315610359193
"EXTGFB",0.107197583358835,-0.142326799817131,-0.0908211155361555,0.0670595487955958,-0.106172915427146,-0.142326799817131,-0.142326799817131,-0.106172915427146,0.106172915427146,0.106172915427146,0.10780556848837,-0.106172915427146,0,-0.106172915427146,0,0.142326799817131,0.10780556848837,0.10780556848837
"ESRP1",0.101235415995256,-0.108882242433852,-0.00451610391793861,0.0837501965360013,-0.101941298348197,-0.108882242433852,-0.108882242433852,-0.101941298348197,0.101941298348197,0.101941298348197,0.100951199338296,-0.101941298348197,0,-0.101941298348197,0,0.108882242433852,0.000951199338296112,0.100951199338296
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.101730688395076,0.110024664368353,0.00297764237947707,-0.0807925626431156,0.101235415995256,0.110024664368353,0.110024664368353,0.101235415995256,-0.101235415995256,-0.101235415995256,-0.101941298348197,0.101235415995256,0,0.101235415995256,0,-0.110024664368353,-0.101941298348197,-0.101941298348197
"CD24",-0.101730688395076,0.110024664368353,0.00297764237947707,-0.0807925626431156,0.101235415995256,0.110024664368353,0.110024664368353,0.101235415995256,-0.101235415995256,-0.101235415995256,-0.101941298348197,0.101235415995256,0,0.101235415995256,0,-0.110024664368353,-0.101941298348197,-0.101941298348197
