"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0645987656673665,-0.162880896192849,-0.00633191370626203,0.0923008301888618,-0.164382926384617,0.136999321705961,-0.136999321705961,-0.164382926384617,0.164382926384617,-0.164382926384617,0.164788149257197,-0.164382926384617,0,-0.164382926384617,0,-0.162880896192849,-0.164788149257197,0.164788149257197
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.0325912553256827,0.0803093442959742,0.0733019282722496,-0.0279199575368843,0.0317183900505403,0.0436995590562167,-0.0436995590562167,0.0317183900505403,-0.0317183900505403,0.0317183900505403,-0.0321265533158465,0.0317183900505403,0,0.0317183900505403,0,0.0803093442959742,0.0321265533158465,-0.0321265533158465
"SNAIL1",0.0320099424091932,-0.0805281626767181,-0.0742565822101971,-0.0727881861151136,-0.0325912553256827,-0.0427999723798248,0.0427999723798248,-0.0325912553256827,0.0325912553256827,-0.0325912553256827,0.0317183900505403,-0.0325912553256827,0,-0.0325912553256827,0,-0.0805281626767181,-0.0317183900505403,0.0317183900505403
"MIR340",-0.164382926384617,0.163284121999301,0.00637814579132907,-0.0917625526769001,0.164788149257197,-0.137114529079233,0.137114529079233,0.164788149257197,-0.164788149257197,0.164788149257197,-0.163846972786609,0.164788149257197,0,0.164788149257197,0,0.163284121999301,0.163846972786609,-0.163846972786609
"MIR34",0.0325912553256827,-0.0803093442959742,-0.0733019282722496,0.0279199575368843,-0.0317183900505403,-0.0436995590562167,0.0436995590562167,-0.0317183900505403,0.0317183900505403,-0.0317183900505403,0.0321265533158465,-0.0317183900505403,0,-0.0317183900505403,0,-0.0803093442959742,-0.0321265533158465,0.0321265533158465
"MIR200",-0.15614920953084,0.0560758992326573,-0.188022637150355,0.0170359933390893,0.156305410717969,-0.212190089616377,0.212190089616377,0.156305410717969,-0.156305410717969,0.156305410717969,-0.155237210224954,0.156305410717969,0,0.156305410717969,0,0.0560758992326573,0.155237210224954,-0.155237210224954
"MIR190",-0.0317183900505403,0.0790055633311762,0.174788127847621,-0.0288671835179398,0.0321265533158465,0.0418742657054996,-0.0418742657054996,0.0321265533158465,-0.0321265533158465,0.0321265533158465,-0.03348895113601,0.0321265533158465,0,0.0321265533158465,0,0.0790055633311762,0.03348895113601,-0.03348895113601
"MIR1199",-0.164382926384617,0.163284121999301,0.00637814579132907,-0.0917625526769001,0.164788149257197,-0.137114529079233,0.137114529079233,0.164788149257197,-0.164788149257197,0.164788149257197,-0.163846972786609,0.164788149257197,0,0.164788149257197,0,0.163284121999301,0.163846972786609,-0.163846972786609
"HAS2",-0.164788149257197,0.1627509917632,0.00586532527850856,-0.0921622329326954,0.163846972786609,-0.136429075918532,0.136429075918532,0.163846972786609,-0.163846972786609,0.163846972786609,-0.264177005789909,0.163846972786609,0,0.163846972786609,0,0.1627509917632,0.164177005789909,-0.164177005789909
"HA",0.164382926384617,-0.163284121999301,-0.00637814579132907,0.0917625526769001,-0.164788149257197,0.137114529079233,-0.137114529079233,-0.164788149257197,0.164788149257197,-0.164788149257197,0.163846972786609,-0.164788149257197,0,-0.164788149257197,0,-0.163284121999301,-0.163846972786609,0.163846972786609
"GRHL2",-0.0317763457051671,0.0381803461621056,0.00507868793195581,-0.0709647050416584,0.0323299113189737,-0.0186190618696777,0.0186190618696777,0.0323299113189737,-0.0323299113189737,0.0323299113189737,-0.0315493388991992,0.0323299113189737,0,0.0323299113189737,0,0.0381803461621056,0.0315493388991992,-0.131549338899199
"EXTGFB",0.0325912553256827,-0.0803093442959742,-0.0733019282722496,0.0279199575368843,-0.0317183900505403,-0.0436995590562167,0.0436995590562167,-0.0317183900505403,0.0317183900505403,-0.0317183900505403,0.0321265533158465,-0.0317183900505403,0,-0.0317183900505403,0,-0.0803093442959742,-0.0321265533158465,0.0321265533158465
"ESRP1",0.164788149257197,-0.1627509917632,-0.00586532527850856,0.0921622329326954,-0.163846972786609,0.136429075918532,-0.136429075918532,-0.163846972786609,0.163846972786609,-0.163846972786609,0.164177005789909,-0.163846972786609,0,-0.163846972786609,0,-0.1627509917632,-0.064177005789909,0.164177005789909
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.164382926384617,-0.163284121999301,-0.00637814579132907,0.0917625526769001,-0.164788149257197,0.137114529079233,-0.137114529079233,-0.164788149257197,0.164788149257197,-0.164788149257197,0.163846972786609,-0.164788149257197,0,-0.164788149257197,0,-0.163284121999301,-0.163846972786609,0.163846972786609
"CD24",-0.164382926384617,0.163284121999301,0.00637814579132907,-0.0917625526769001,0.164788149257197,-0.137114529079233,0.137114529079233,0.164788149257197,-0.164788149257197,0.164788149257197,-0.163846972786609,0.164788149257197,0,0.164788149257197,0,0.163284121999301,0.163846972786609,-0.163846972786609
