"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0412359568502684,0.0732998780549419,-0.00138547466079184,0.0645695668839363,0.0582825555189828,-0.0732998780549419,-0.0819472471936961,-0.0582825555189828,0.0582825555189828,-0.0582825555189828,-0.0588678774460426,-0.0582825555189828,0,-0.0582825555189828,0,-0.0732998780549419,0.0588678774460426,0.0588678774460426
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0121250023551069,-0.0573927190091351,-0.066504566803563,0.00111138637975713,-0.0106449264537786,0.0573927190091351,-0.044663777158776,0.0106449264537786,-0.0106449264537786,0.0106449264537786,0.0126857427803092,0.0106449264537786,0,0.0106449264537786,0,0.0573927190091351,-0.0126857427803092,-0.0126857427803092
"SNAIL1",-0.0114019058004493,-0.0578060426172071,-0.0673001117518525,-0.098079306589388,-0.0121250023551069,0.0578060426172071,-0.0431806748004001,0.0121250023551069,-0.0121250023551069,0.0121250023551069,0.0106449264537786,0.0121250023551069,0,0.0121250023551069,0,0.0578060426172071,-0.0106449264537786,-0.0106449264537786
"MIR340",-0.0582825555189828,-0.073242274368306,0.00115431423545666,-0.063851863534654,-0.0588678774460426,0.073242274368306,0.0827536988065993,0.0588678774460426,-0.0588678774460426,0.0588678774460426,0.0576914068578074,0.0588678774460426,0,0.0588678774460426,0,0.073242274368306,-0.0576914068578074,-0.0576914068578074
"MIR34",0.0121250023551069,0.0573927190091351,0.066504566803563,-0.00111138637975713,0.0106449264537786,-0.0573927190091351,0.044663777158776,-0.0106449264537786,0.0106449264537786,-0.0106449264537786,-0.0126857427803092,-0.0106449264537786,0,-0.0106449264537786,0,-0.0573927190091351,0.0126857427803092,0.0126857427803092
"MIR200",-0.0618877000644511,-0.166033602153484,0.00968843603293479,0.0217673267616535,-0.0629186278995027,0.166033602153484,0.0033707670653141,0.0629186278995027,-0.0629186278995027,0.0629186278995027,0.061357411794326,0.0629186278995027,0,0.0629186278995027,0,0.166033602153484,-0.061357411794326,-0.061357411794326
"MIR190",0.0106449264537786,0.0573927190091351,-0.0324338620711717,-0.00259988434998717,0.0126857427803092,-0.0573927190091351,0.0420562152291802,-0.0126857427803092,0.0126857427803092,-0.0126857427803092,-0.0102334267040149,-0.0126857427803092,0,-0.0126857427803092,0,-0.0573927190091351,0.0102334267040149,0.0102334267040149
"MIR1199",-0.0582825555189828,-0.073242274368306,0.00115431423545666,-0.063851863534654,-0.0588678774460426,0.073242274368306,0.0827536988065993,0.0588678774460426,-0.0588678774460426,0.0588678774460426,0.0576914068578074,0.0588678774460426,0,0.0588678774460426,0,0.073242274368306,-0.0576914068578074,-0.0576914068578074
"HAS2",0.0588678774460426,0.0728614670568056,-0.00166713474827717,0.0650509043020401,0.0576914068578074,-0.0728614670568056,-0.0816112768720982,-0.0576914068578074,0.0576914068578074,-0.0576914068578074,0.0393382961124897,-0.0576914068578074,0,-0.0576914068578074,0,-0.0728614670568056,0.0606617038875103,0.0606617038875103
"HA",0.0582825555189828,0.073242274368306,-0.00115431423545666,0.063851863534654,0.0588678774460426,-0.073242274368306,-0.0827536988065993,-0.0588678774460426,0.0588678774460426,-0.0588678774460426,-0.0576914068578074,-0.0588678774460426,0,-0.0588678774460426,0,-0.073242274368306,0.0576914068578074,0.0576914068578074
"GRHL2",0.0124961575249722,0.0133712229481496,0.00234267703052366,-0.0573354294458933,0.0117472158121751,-0.0133712229481496,-0.00149113174411687,-0.0117472158121751,0.0117472158121751,-0.0117472158121751,-0.0133950909205879,-0.0117472158121751,0,-0.0117472158121751,0,-0.0133712229481496,0.0133950909205879,-0.0866049090794121
"EXTGFB",-0.0121250023551069,-0.0573927190091351,-0.066504566803563,0.00111138637975713,-0.0106449264537786,0.0573927190091351,-0.044663777158776,0.0106449264537786,-0.0106449264537786,0.0106449264537786,0.0126857427803092,0.0106449264537786,0,0.0106449264537786,0,0.0573927190091351,-0.0126857427803092,-0.0126857427803092
"ESRP1",-0.0588678774460426,-0.0728614670568056,0.00166713474827717,-0.0650509043020401,-0.0576914068578074,0.0728614670568056,0.0816112768720982,0.0576914068578074,-0.0576914068578074,0.0576914068578074,0.0606617038875103,0.0576914068578074,0,0.0576914068578074,0,0.0728614670568056,-0.16066170388751,-0.0606617038875103
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0582825555189828,0.073242274368306,-0.00115431423545666,0.063851863534654,0.0588678774460426,-0.073242274368306,-0.0827536988065993,-0.0588678774460426,0.0588678774460426,-0.0588678774460426,-0.0576914068578074,-0.0588678774460426,0,-0.0588678774460426,0,-0.073242274368306,0.0576914068578074,0.0576914068578074
"CD24",-0.0582825555189828,-0.073242274368306,0.00115431423545666,-0.063851863534654,-0.0588678774460426,0.073242274368306,0.0827536988065993,0.0588678774460426,-0.0588678774460426,0.0588678774460426,0.0576914068578074,0.0588678774460426,0,0.0588678774460426,0,0.073242274368306,-0.0576914068578074,-0.0576914068578074
