"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.043009121456984,-0.104518467189178,0.0936244547870243,-0.034636993583521,-0.0493036794727852,-0.104518467189178,0.104518467189178,-0.0493036794727852,-0.0493036794727852,-0.0493036794727852,0.0596143503417631,-0.0493036794727852,0,-0.0493036794727852,0.107341047834339,-0.104518467189178,0.0596143503417631,-0.0596143503417631
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.106299830412374,-0.110256907004015,0.143003370725914,0.0173735535767058,-0.10375713591522,-0.110256907004015,0.110256907004015,-0.10375713591522,-0.10375713591522,-0.10375713591522,0.107022442037669,-0.10375713591522,0,-0.10375713591522,0.111169553679374,-0.110256907004015,0.107022442037669,-0.107022442037669
"SNAIL1",0.104442464752371,-0.111059241066743,0.141173617344848,-0.0808560872932993,-0.106299830412374,-0.111059241066743,0.111059241066743,-0.106299830412374,-0.106299830412374,-0.106299830412374,0.10375713591522,-0.106299830412374,0,-0.106299830412374,0.110256907004015,-0.111059241066743,0.10375713591522,-0.10375713591522
"MIR340",0.0493036794727852,-0.107341047834339,0.0859036965808292,-0.0268020653538559,-0.0596143503417631,-0.107341047834339,0.107341047834339,-0.0596143503417631,-0.0596143503417631,-0.0596143503417631,0.0459672915182337,-0.0596143503417631,0,-0.0596143503417631,0.103456813257035,-0.107341047834339,0.0459672915182337,-0.0459672915182337
"MIR34",0.106299830412374,-0.110256907004015,0.143003370725914,0.0173735535767058,-0.10375713591522,-0.110256907004015,0.110256907004015,-0.10375713591522,-0.10375713591522,-0.10375713591522,0.107022442037669,-0.10375713591522,0,-0.10375713591522,0.111169553679374,-0.110256907004015,0.107022442037669,-0.107022442037669
"MIR200",0.0953119221920192,-0.209799987524082,0.305103928993603,0.0522696729910436,-0.103465624160154,-0.209799987524082,0.209799987524082,-0.103465624160154,-0.103465624160154,-0.103465624160154,0.0925371114239175,-0.103465624160154,0,-0.103465624160154,0.206833885829167,-0.209799987524082,0.0925371114239175,-0.0925371114239175
"MIR190",-0.10375713591522,0.111169553679374,-0.24066791425033,-0.0196739595306976,0.107022442037669,0.111169553679374,-0.111169553679374,0.107022442037669,0.107022442037669,0.107022442037669,-0.102390289449113,0.107022442037669,0,0.107022442037669,-0.110299988461982,0.111169553679374,-0.102390289449113,0.102390289449113
"MIR1199",-0.0493036794727852,0.107341047834339,-0.0859036965808292,0.0268020653538559,0.0596143503417631,0.107341047834339,-0.107341047834339,0.0596143503417631,0.0596143503417631,0.0596143503417631,-0.0459672915182337,0.0596143503417631,0,0.0596143503417631,-0.103456813257035,0.107341047834339,-0.0459672915182337,0.0459672915182337
"HAS2",0.0596143503417631,-0.103456813257035,0.0961601068372394,-0.0372736880556945,-0.0459672915182337,-0.103456813257035,0.103456813257035,-0.0459672915182337,-0.0459672915182337,-0.0459672915182337,-0.0358808933002481,-0.0459672915182337,0,-0.0459672915182337,0.108697903403786,-0.103456813257035,0.0641191066997519,-0.0641191066997519
"HA",-0.0493036794727852,0.107341047834339,-0.0859036965808292,0.0268020653538559,0.0596143503417631,0.107341047834339,-0.107341047834339,0.0596143503417631,0.0596143503417631,0.0596143503417631,-0.0459672915182337,0.0596143503417631,0,0.0596143503417631,-0.103456813257035,0.107341047834339,-0.0459672915182337,0.0459672915182337
"GRHL2",0.00838737440046862,0.00853757050425288,0.000469273511576489,0.0370642220376733,0.00284675129148839,0.00853757050425288,-0.00853757050425288,0.00284675129148839,0.00284675129148839,0.00284675129148839,0.0119841246842271,0.00284675129148839,0,0.00284675129148839,-0.00429176044838696,0.00853757050425288,0.0119841246842271,0.0880158753157729
"EXTGFB",0.106299830412374,-0.110256907004015,0.143003370725914,0.0173735535767058,-0.10375713591522,-0.110256907004015,0.110256907004015,-0.10375713591522,-0.10375713591522,-0.10375713591522,0.107022442037669,-0.10375713591522,0,-0.10375713591522,0.111169553679374,-0.110256907004015,0.107022442037669,-0.107022442037669
"ESRP1",0.0596143503417631,-0.103456813257035,0.0961601068372394,-0.0372736880556945,-0.0459672915182337,-0.103456813257035,0.103456813257035,-0.0459672915182337,-0.0459672915182337,-0.0459672915182337,0.0641191066997519,-0.0459672915182337,0,-0.0459672915182337,0.108697903403786,-0.103456813257035,-0.0358808933002481,-0.0641191066997519
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0493036794727852,0.107341047834339,-0.0859036965808292,0.0268020653538559,0.0596143503417631,0.107341047834339,-0.107341047834339,0.0596143503417631,0.0596143503417631,0.0596143503417631,-0.0459672915182337,0.0596143503417631,0,0.0596143503417631,-0.103456813257035,0.107341047834339,-0.0459672915182337,0.0459672915182337
"CD24",0.0493036794727852,-0.107341047834339,0.0859036965808292,-0.0268020653538559,-0.0596143503417631,-0.107341047834339,0.107341047834339,-0.0596143503417631,-0.0596143503417631,-0.0596143503417631,0.0459672915182337,-0.0596143503417631,0,-0.0596143503417631,0.103456813257035,-0.107341047834339,0.0459672915182337,-0.0459672915182337
