"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0428864227793063,-0.124052563885325,-0.132308465782241,-0.0444842202735718,-0.142703789540057,-0.124124122223508,0.124124122223508,0.142703789540057,-0.142703789540057,-0.142703789540057,0.142838863830917,-0.142703789540057,0,0.142703789540057,0.123937356512054,0.124052563885325,-0.142838863830917,-0.142838863830917
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.235418360286992,-0.282464833124493,-0.0191041415085473,-0.224998493637784,-0.235532212279402,0.0397065405478457,-0.0397065405478457,0.235532212279402,-0.235532212279402,-0.235532212279402,0.235124049014096,-0.235532212279402,0,0.235532212279402,0.282595211220973,0.282464833124493,-0.235124049014096,-0.235124049014096
"SNAIL1",-0.235063901191571,0.282002883209589,0.01966102297235,0.125049075327213,0.235418360286992,-0.0393904695534377,0.0393904695534377,-0.235418360286992,0.235418360286992,0.235418360286992,-0.235532212279402,0.235418360286992,0,-0.235418360286992,-0.282464833124493,-0.282002883209589,0.235532212279402,0.235532212279402
"MIR340",-0.142703789540057,0.123937356512054,0.133556732079051,0.0450224977855335,0.142838863830917,0.124412140656687,-0.124412140656687,-0.142838863830917,0.142838863830917,0.142838863830917,-0.144250628536799,0.142838863830917,0,-0.142838863830917,-0.124622809672754,-0.123937356512054,0.144250628536799,0.144250628536799
"MIR34",-0.235418360286992,0.282464833124493,0.0191041415085473,0.224998493637784,0.235532212279402,-0.0397065405478457,0.0397065405478457,-0.235532212279402,0.235532212279402,0.235532212279402,-0.235124049014096,0.235532212279402,0,-0.235532212279402,-0.282595211220973,-0.282464833124493,0.235124049014096,0.235124049014096
"MIR200",-0.191871306617047,0.273016092675362,-0.0414151304169779,0.176645729025145,0.191840066379622,0.0353458397362561,-0.0353458397362561,-0.191840066379622,0.191840066379622,0.191840066379622,-0.193072605410024,0.191840066379622,0,-0.191840066379622,-0.273545753692311,-0.273016092675362,0.193072605410024,0.193072605410024
"MIR190",-0.235532212279402,0.282595211220973,-0.0800466015912404,0.226081037616133,0.235124049014096,-0.0403584310302447,0.0403584310302447,-0.235124049014096,0.235124049014096,0.235124049014096,-0.235941487706194,0.235124049014096,0,-0.235124049014096,-0.282769124264451,-0.282595211220973,0.235941487706194,0.235941487706194
"MIR1199",-0.142703789540057,0.123937356512054,0.133556732079051,0.0450224977855335,0.142838863830917,0.124412140656687,-0.124412140656687,-0.142838863830917,0.142838863830917,0.142838863830917,-0.144250628536799,0.142838863830917,0,-0.142838863830917,-0.124622809672754,-0.123937356512054,0.144250628536799,0.144250628536799
"HAS2",0.142838863830917,-0.124622809672754,-0.132274680797,-0.04446294542742,-0.144250628536799,-0.125554562591189,0.125554562591189,0.144250628536799,-0.144250628536799,-0.144250628536799,0.0439205955334988,-0.144250628536799,0,0.144250628536799,0.126090314913844,0.124622809672754,-0.143920595533499,-0.143920595533499
"HA",-0.142703789540057,0.123937356512054,0.133556732079051,0.0450224977855335,0.142838863830917,0.124412140656687,-0.124412140656687,-0.142838863830917,0.142838863830917,0.142838863830917,-0.144250628536799,0.142838863830917,0,-0.142838863830917,-0.124622809672754,-0.123937356512054,0.144250628536799,0.144250628536799
"GRHL2",0.0135807841823168,-0.0120109214067887,-0.0107434713594511,-0.0489674453618239,-0.0132877200338309,-0.00554671511880908,0.00554671511880908,0.0132877200338309,-0.0132877200338309,-0.0132877200338309,0.0144152135290608,-0.0132877200338309,0,0.0132877200338309,0.0121226532503641,0.0120109214067887,-0.0144152135290608,0.0855847864709392
"EXTGFB",0.235418360286992,-0.282464833124493,-0.0191041415085473,-0.224998493637784,-0.235532212279402,0.0397065405478457,-0.0397065405478457,0.235532212279402,-0.235532212279402,-0.235532212279402,0.235124049014096,-0.235532212279402,0,0.235532212279402,0.282595211220973,0.282464833124493,-0.235124049014096,-0.235124049014096
"ESRP1",0.142838863830917,-0.124622809672754,-0.132274680797,-0.04446294542742,-0.144250628536799,-0.125554562591189,0.125554562591189,0.144250628536799,-0.144250628536799,-0.144250628536799,0.143920595533499,-0.144250628536799,0,0.144250628536799,0.126090314913844,0.124622809672754,-0.243920595533499,-0.143920595533499
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.142703789540057,0.123937356512054,0.133556732079051,0.0450224977855335,0.142838863830917,0.124412140656687,-0.124412140656687,-0.142838863830917,0.142838863830917,0.142838863830917,-0.144250628536799,0.142838863830917,0,-0.142838863830917,-0.124622809672754,-0.123937356512054,0.144250628536799,0.144250628536799
"CD24",-0.142703789540057,0.123937356512054,0.133556732079051,0.0450224977855335,0.142838863830917,0.124412140656687,-0.124412140656687,-0.142838863830917,0.142838863830917,0.142838863830917,-0.144250628536799,0.142838863830917,0,-0.142838863830917,-0.124622809672754,-0.123937356512054,0.144250628536799,0.144250628536799
