"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0528338453449912,-0.0716343082828793,-0.0615905170389149,0.0578923327437285,0.0475148181117579,-0.0716343082828793,0.0665759608853756,0.0475148181117579,0.0475148181117579,-0.0475148181117579,0.0481001400388178,-0.0475148181117579,0,0.0475148181117579,0,-0.0716343082828793,0.0481001400388178,0.0481001400388178
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.125188019676731,-0.367469304892868,0.143865396067572,0.572245741541815,0.124239253073315,-0.367469304892868,-0.238183364708226,0.124239253073315,0.124239253073315,-0.124239253073315,0.122402518379438,-0.124239253073315,0,0.124239253073315,0,-0.367469304892868,0.122402518379438,0.122402518379438
"SNAIL1",0.125740975865587,-0.371724106740668,0.145774703943467,0.479276596372366,0.125188019676731,-0.371724106740668,-0.241222508885226,0.125188019676731,0.125188019676731,-0.125188019676731,0.124239253073315,-0.125188019676731,0,0.125188019676731,0,-0.371724106740668,0.124239253073315,0.124239253073315
"MIR340",-0.0475148181117579,0.071979930402695,0.061636749123982,-0.0581913758059294,-0.0481001400388178,0.071979930402695,-0.0669791866918272,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0481001400388178,0.0481001400388178,0,-0.0481001400388178,0,0.071979930402695,-0.0481001400388178,-0.0481001400388178
"MIR34",-0.125188019676731,0.367469304892868,-0.143865396067572,-0.572245741541815,-0.124239253073315,0.367469304892868,0.238183364708226,-0.124239253073315,-0.124239253073315,0.124239253073315,-0.122402518379438,0.124239253073315,0,-0.124239253073315,0,0.367469304892868,-0.122402518379438,-0.122402518379438
"MIR200",0.0377728774608782,0.0972486288946232,-0.289579865047332,-0.256119871901489,0.0387413248210782,0.0972486288946232,0.221328388934765,0.0387413248210782,0.0387413248210782,-0.0387413248210782,0.0394808482393198,-0.0387413248210782,0,0.0387413248210782,0,0.0972486288946232,0.0394808482393198,0.0394808482393198
"MIR190",-0.124239253073315,0.360820021972399,-0.241105311141882,-0.562096891744792,-0.122402518379438,0.360820021972399,0.233880887524393,-0.122402518379438,-0.122402518379438,0.122402518379438,-0.119950202303143,0.122402518379438,0,-0.122402518379438,0,0.360820021972399,-0.119950202303143,-0.119950202303143
"MIR1199",-0.0475148181117579,0.071979930402695,0.061636749123982,-0.0581913758059294,-0.0481001400388178,0.071979930402695,-0.0669791866918272,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0481001400388178,0.0481001400388178,0,-0.0481001400388178,0,0.071979930402695,-0.0481001400388178,-0.0481001400388178
"HAS2",0.0481001400388178,-0.0719037689403949,-0.0600982875855204,0.0581114397547704,0.0481001400388178,-0.0719037689403949,0.0670553481541273,0.0481001400388178,0.0481001400388178,-0.0481001400388178,-0.0542100909842845,-0.0481001400388178,0,0.0481001400388178,0,-0.0719037689403949,0.0457899090157155,0.0457899090157155
"HA",-0.0475148181117579,0.071979930402695,0.061636749123982,-0.0581913758059294,-0.0481001400388178,0.071979930402695,-0.0669791866918272,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0481001400388178,0.0481001400388178,0,-0.0481001400388178,0,0.071979930402695,-0.0481001400388178,-0.0481001400388178
"GRHL2",0.018402614090523,-0.00732060229375972,-0.0159870621937455,-0.055099171291804,0.0179792992093768,-0.00732060229375972,0.0168978328933636,0.0179792992093768,0.0179792992093768,-0.0179792992093768,0.0173721873273299,-0.0179792992093768,0,0.0179792992093768,0,-0.00732060229375972,0.0173721873273299,-0.0826278126726701
"EXTGFB",-0.125188019676731,0.367469304892868,-0.143865396067572,-0.572245741541815,-0.124239253073315,0.367469304892868,0.238183364708226,-0.124239253073315,-0.124239253073315,0.124239253073315,-0.122402518379438,0.124239253073315,0,-0.124239253073315,0,0.367469304892868,-0.122402518379438,-0.122402518379438
"ESRP1",-0.0481001400388178,0.0719037689403949,0.0600982875855204,-0.0581114397547704,-0.0481001400388178,0.0719037689403949,-0.0670553481541273,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0457899090157155,0.0481001400388178,0,-0.0481001400388178,0,0.0719037689403949,0.0542100909842845,-0.0457899090157155
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0475148181117579,0.071979930402695,0.061636749123982,-0.0581913758059294,-0.0481001400388178,0.071979930402695,-0.0669791866918272,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0481001400388178,0.0481001400388178,0,-0.0481001400388178,0,0.071979930402695,-0.0481001400388178,-0.0481001400388178
"CD24",-0.0475148181117579,0.071979930402695,0.061636749123982,-0.0581913758059294,-0.0481001400388178,0.071979930402695,-0.0669791866918272,-0.0481001400388178,-0.0481001400388178,0.0481001400388178,-0.0481001400388178,0.0481001400388178,0,-0.0481001400388178,0,0.071979930402695,-0.0481001400388178,-0.0481001400388178
