"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0638446618284735,0.160725929486762,-0.00498053642688036,-0.0871623692329805,0.164093707154723,-0.138665734410922,0.160725929486762,0.164093707154723,0.164093707154723,-0.164093707154723,0.163508385227663,-0.164093707154723,0,-0.164093707154723,0.149321407985708,-0.138665734410922,0.163508385227663,0.163508385227663
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0273392015190927,0.0704459468917489,-0.0698493013912795,-0.0112594424825005,0.0277566588245955,0.0381355972885024,0.0704459468917489,0.0277566588245955,0.0277566588245955,-0.0277566588245955,0.0275525771919425,-0.0277566588245955,0,-0.0277566588245955,0.0160247967051434,0.0381355972885024,0.0275525771919425,0.0275525771919425
"SNAIL1",-0.0276936606145131,-0.0704702600451649,0.0693719744223057,-0.0889428842752132,-0.0273392015190927,-0.0386947998170703,-0.0704702600451649,-0.0273392015190927,-0.0273392015190927,0.0273392015190927,-0.0277566588245955,0.0273392015190927,0,0.0273392015190927,-0.0161551748016232,-0.0386947998170703,-0.0277566588245955,-0.0277566588245955
"MIR340",0.164093707154723,0.160265099993674,-0.00493430434181333,-0.0874016036827413,0.163508385227663,-0.138377715977742,0.160265099993674,0.163508385227663,0.163508385227663,-0.163508385227663,0.164214267580604,-0.163508385227663,0,-0.163508385227663,0.149778376759509,-0.138377715977742,0.164214267580604,0.164214267580604
"MIR34",-0.0273392015190927,-0.0704459468917489,0.0698493013912795,0.0112594424825005,-0.0277566588245955,-0.0381355972885024,-0.0704459468917489,-0.0277566588245955,-0.0277566588245955,0.0277566588245955,-0.0275525771919425,0.0277566588245955,0,0.0277566588245955,-0.0160247967051434,-0.0381355972885024,-0.0275525771919425,-0.0275525771919425
"MIR200",-0.143001265902898,-0.231656414415238,-0.00328843786066785,0.097076110737124,-0.142532662341511,0.0396561687055978,-0.231656414415238,-0.142532662341511,-0.142532662341511,0.142532662341511,-0.142779170147591,0.142532662341511,0,0.142532662341511,-0.135815189865503,0.0396561687055978,-0.142779170147591,-0.142779170147591
"MIR190",0.0277566588245955,0.0710978373741478,0.0312122697339859,-0.0104475344987386,0.0275525771919425,0.0390482439638609,0.0710978373741478,0.0275525771919425,0.0275525771919425,-0.0275525771919425,0.0267351384998444,-0.0275525771919425,0,-0.0275525771919425,0.0155030575747087,0.0390482439638609,0.0267351384998444,0.0267351384998444
"MIR1199",0.164093707154723,0.160265099993674,-0.00493430434181333,-0.0874016036827413,0.163508385227663,-0.138377715977742,0.160265099993674,0.163508385227663,0.163508385227663,-0.163508385227663,0.164214267580604,-0.163508385227663,0,-0.163508385227663,0.149778376759509,-0.138377715977742,0.164214267580604,0.164214267580604
"HAS2",0.163508385227663,0.160645907305175,-0.00519071459822358,-0.0871617955292641,0.164214267580604,-0.138910846213843,0.160645907305175,0.164214267580604,0.164214267580604,-0.164214267580604,0.0625641025641026,-0.164214267580604,0,-0.164214267580604,0.148730158730159,-0.138910846213843,0.162564102564103,0.162564102564103
"HA",-0.164093707154723,-0.160265099993674,0.00493430434181333,0.0874016036827413,-0.163508385227663,0.138377715977742,-0.160265099993674,-0.163508385227663,-0.163508385227663,0.163508385227663,-0.164214267580604,0.163508385227663,0,0.163508385227663,-0.149778376759509,0.138377715977742,-0.164214267580604,-0.164214267580604
"GRHL2",-0.0318605393565689,-0.0366109480835738,0.00428154881811145,0.0689977927963258,-0.0312418483764322,0.018763461630918,-0.0366109480835738,-0.0312418483764322,-0.0312418483764322,0.0312418483764322,-0.0321958813339343,0.0312418483764322,0,0.0312418483764322,-0.0283017299969107,0.018763461630918,-0.0321958813339343,-0.132195881333934
"EXTGFB",0.0273392015190927,0.0704459468917489,-0.0698493013912795,-0.0112594424825005,0.0277566588245955,0.0381355972885024,0.0704459468917489,0.0277566588245955,0.0277566588245955,-0.0277566588245955,0.0275525771919425,-0.0277566588245955,0,-0.0277566588245955,0.0160247967051434,0.0381355972885024,0.0275525771919425,0.0275525771919425
"ESRP1",-0.163508385227663,-0.160645907305175,0.00519071459822358,0.0871617955292641,-0.164214267580604,0.138910846213843,-0.160645907305175,-0.164214267580604,-0.164214267580604,0.164214267580604,-0.162564102564103,0.164214267580604,0,0.164214267580604,-0.148730158730159,0.138910846213843,-0.262564102564103,-0.162564102564103
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.164093707154723,0.160265099993674,-0.00493430434181333,-0.0874016036827413,0.163508385227663,-0.138377715977742,0.160265099993674,0.163508385227663,0.163508385227663,-0.163508385227663,0.164214267580604,-0.163508385227663,0,-0.163508385227663,0.149778376759509,-0.138377715977742,0.164214267580604,0.164214267580604
"CD24",-0.164093707154723,-0.160265099993674,0.00493430434181333,0.0874016036827413,-0.163508385227663,0.138377715977742,-0.160265099993674,-0.163508385227663,-0.163508385227663,0.163508385227663,-0.164214267580604,0.163508385227663,0,0.163508385227663,-0.149778376759509,0.138377715977742,-0.164214267580604,-0.164214267580604
