"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0941662948166106,0.0280181865641694,-0.0155974349067409,-0.0228822309216603,0.00351379606183722,-0.0385415740373591,0.0280181865641694,0.00351379606183722,-0.00351379606183722,0.00351379606183722,-0.00590010853369675,0.00351379606183722,0,0.00351379606183722,-0.00148865226194046,0.0385415740373591,-0.00590010853369675,-0.00590010853369675
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.137562932783985,0.0538543555775079,-0.0251687596970369,-0.130540567296631,0.147695760108464,0.193028861585234,0.0538543555775079,0.147695760108464,-0.147695760108464,0.147695760108464,-0.146063107047239,0.147695760108464,0,0.147695760108464,0.127222573379285,-0.193028861585234,-0.146063107047239,-0.146063107047239
"SNAIL1",0.131452057978938,-0.0575256417433236,0.0215888074297338,0.0322097630477693,-0.137562932783985,-0.183716923826906,-0.0575256417433236,-0.137562932783985,0.137562932783985,-0.137562932783985,0.147695760108464,-0.137562932783985,0,-0.137562932783985,-0.123441608581371,0.183716923826906,0.147695760108464,0.147695760108464
"MIR340",-0.00351379606183722,0.0302647303429712,-0.0273866165988353,-0.0279061543666364,0.00590010853369675,-0.0332420348668522,0.0302647303429712,0.00590010853369675,-0.00590010853369675,0.00590010853369675,0.00892342087806796,0.00590010853369675,0,0.00590010853369675,-0.00126016787504024,0.0332420348668522,0.00892342087806796,0.00892342087806796
"MIR34",0.137562932783985,-0.0538543555775079,0.0251687596970369,0.130540567296631,-0.147695760108464,-0.193028861585234,-0.0538543555775079,-0.147695760108464,0.147695760108464,-0.147695760108464,0.146063107047239,-0.147695760108464,0,-0.147695760108464,-0.127222573379285,0.193028861585234,0.146063107047239,0.146063107047239
"MIR200",0.0115430267660233,-0.139822264835755,0.0322193852707041,0.132941601539478,-0.012698915550778,-0.0751237812674458,-0.139822264835755,-0.012698915550778,0.012698915550778,-0.012698915550778,-0.00381710745661719,-0.012698915550778,0,-0.012698915550778,-0.107102260339736,0.0751237812674458,-0.00381710745661719,-0.00381710745661719
"MIR190",-0.147695760108464,0.0586783451472602,0.0599692445492476,-0.138389011139662,0.146063107047239,0.195766801611309,0.0586783451472602,0.146063107047239,-0.146063107047239,0.146063107047239,-0.125627139744787,0.146063107047239,0,0.146063107047239,0.125483442944502,-0.195766801611309,-0.125627139744787,-0.125627139744787
"MIR1199",0.00351379606183722,-0.0302647303429712,0.0273866165988353,0.0279061543666364,-0.00590010853369675,0.0332420348668522,-0.0302647303429712,-0.00590010853369675,0.00590010853369675,-0.00590010853369675,-0.00892342087806796,-0.00590010853369675,0,-0.00590010853369675,0.00126016787504024,-0.0332420348668522,-0.00892342087806796,-0.00892342087806796
"HAS2",-0.00590010853369675,0.0400895589796811,-0.0384122576244763,-0.0383777770684749,-0.00892342087806796,-0.0426098947297615,0.0400895589796811,-0.00892342087806796,0.00892342087806796,-0.00892342087806796,-0.0716046319272126,-0.00892342087806796,0,-0.00892342087806796,-0.00796876326288091,0.0426098947297615,0.0283953680727874,0.0283953680727874
"HA",0.00351379606183722,-0.0302647303429712,0.0273866165988353,0.0279061543666364,-0.00590010853369675,0.0332420348668522,-0.0302647303429712,-0.00590010853369675,0.00590010853369675,-0.00590010853369675,-0.00892342087806796,-0.00590010853369675,0,-0.00590010853369675,0.00126016787504024,-0.0332420348668522,-0.00892342087806796,-0.00892342087806796
"GRHL2",0.0371472587684615,0.0320937518876538,-0.0318471032713914,0.0373219634364024,-0.0429759790550131,-0.0370298384525887,0.0320937518876538,-0.0429759790550131,0.0429759790550131,-0.0429759790550131,0.0371650510411363,-0.0429759790550131,0,-0.0429759790550131,-0.00442335054503729,0.0370298384525887,0.0371650510411363,-0.0628349489588637
"EXTGFB",-0.137562932783985,0.0538543555775079,-0.0251687596970369,-0.130540567296631,0.147695760108464,0.193028861585234,0.0538543555775079,0.147695760108464,-0.147695760108464,0.147695760108464,-0.146063107047239,0.147695760108464,0,0.147695760108464,0.127222573379285,-0.193028861585234,-0.146063107047239,-0.146063107047239
"ESRP1",-0.00590010853369675,0.0400895589796811,-0.0384122576244763,-0.0383777770684749,-0.00892342087806796,-0.0426098947297615,0.0400895589796811,-0.00892342087806796,0.00892342087806796,-0.00892342087806796,0.0283953680727874,-0.00892342087806796,0,-0.00892342087806796,-0.00796876326288091,0.0426098947297615,-0.0716046319272126,0.0283953680727874
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.00351379606183722,-0.0302647303429712,0.0273866165988353,0.0279061543666364,-0.00590010853369675,0.0332420348668522,-0.0302647303429712,-0.00590010853369675,0.00590010853369675,-0.00590010853369675,-0.00892342087806796,-0.00590010853369675,0,-0.00590010853369675,0.00126016787504024,-0.0332420348668522,-0.00892342087806796,-0.00892342087806796
"CD24",0.00351379606183722,-0.0302647303429712,0.0273866165988353,0.0279061543666364,-0.00590010853369675,0.0332420348668522,-0.0302647303429712,-0.00590010853369675,0.00590010853369675,-0.00590010853369675,-0.00892342087806796,-0.00590010853369675,0,-0.00590010853369675,0.00126016787504024,-0.0332420348668522,-0.00892342087806796,-0.00892342087806796
