"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.000206917384955206,-0.118051853268692,-0.0778356547587221,0.113360596168459,0.0984150318097982,-0.118051853268692,-0.0607510074742259,-0.0984150318097982,-0.0984150318097982,-0.0984150318097982,0.101431690972338,0.0984150318097982,0,-0.0984150318097982,-0.0913311538737633,-0.0607510074742259,0.101431690972338,-0.101431690972338
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.0169249430945408,0.0962419913772334,-0.0756505712481289,-0.058640616979047,-0.0156725711780322,0.0962419913772334,-0.0777680166448317,0.0156725711780322,0.0156725711780322,0.0156725711780322,-0.0179174691372159,-0.0156725711780322,0,0.0156725711780322,0.0106711464274785,-0.0777680166448317,-0.0179174691372159,0.0179174691372159
"SNAIL1",0.0149257937963698,-0.0935432313480576,0.0801851774533795,-0.0340250380538311,0.0169249430945408,-0.0935432313480576,0.0734645884902,-0.0169249430945408,-0.0169249430945408,-0.0169249430945408,0.0156725711780322,0.0169249430945408,0,-0.0169249430945408,-0.00923698736620083,0.0734645884902,0.0156725711780322,-0.0156725711780322
"MIR340",-0.0984150318097982,0.119319134374683,0.0781592793541914,-0.113001744493818,-0.101431690972338,0.119319134374683,0.0633431733728434,0.101431690972338,0.101431690972338,0.101431690972338,-0.102608161560573,-0.101431690972338,0,0.101431690972338,0.0920927684967641,0.0633431733728434,-0.102608161560573,0.102608161560573
"MIR34",-0.0169249430945408,0.0962419913772334,-0.0756505712481289,-0.058640616979047,-0.0156725711780322,0.0962419913772334,-0.0777680166448317,0.0156725711780322,0.0156725711780322,0.0156725711780322,-0.0179174691372159,-0.0156725711780322,0,0.0156725711780322,0.0106711464274785,-0.0777680166448317,-0.0179174691372159,0.0179174691372159
"MIR200",-0.0839077923982815,0.209172100659301,0.0741145343924432,-0.134081799959513,-0.0866881735291781,0.209172100659301,-0.0270239026146528,0.0866881735291781,0.0866881735291781,0.0866881735291781,-0.0851269574240014,-0.0866881735291781,0,0.0866881735291781,0.0900677430901207,-0.0270239026146528,-0.0851269574240014,0.0851269574240014
"MIR190",-0.0156725711780322,0.0931129170617184,0.0139460317242703,-0.0683835127841891,-0.0179174691372159,0.0931129170617184,-0.0717706242067613,0.0179174691372159,0.0179174691372159,0.0179174691372159,-0.0100155617802677,-0.0179174691372159,0,0.0179174691372159,0.00562766816660897,-0.0717706242067613,-0.0100155617802677,0.0100155617802677
"MIR1199",0.0984150318097982,-0.119319134374683,-0.0781592793541914,0.113001744493818,0.101431690972338,-0.119319134374683,-0.0633431733728434,-0.101431690972338,-0.101431690972338,-0.101431690972338,0.102608161560573,0.101431690972338,0,-0.101431690972338,-0.0920927684967641,-0.0633431733728434,0.102608161560573,-0.102608161560573
"HAS2",-0.101431690972338,0.121070848007585,0.070723381918294,-0.111163215317159,-0.102608161560573,0.121070848007585,0.0631146889859432,0.102608161560573,0.102608161560573,0.102608161560573,-0.193697270471464,-0.102608161560573,0,0.102608161560573,0.0864323911382735,0.0631146889859432,-0.093697270471464,0.093697270471464
"HA",0.0984150318097982,-0.119319134374683,-0.0781592793541914,0.113001744493818,0.101431690972338,-0.119319134374683,-0.0633431733728434,-0.101431690972338,-0.101431690972338,-0.101431690972338,0.102608161560573,0.101431690972338,0,-0.101431690972338,-0.0920927684967641,-0.0633431733728434,0.102608161560573,-0.102608161560573
"GRHL2",0.00843822003595435,0.00313169899809194,-0.0146393706721194,-0.0816144080265228,0.00658214709554406,0.00313169899809194,-0.0244046182889826,-0.00658214709554406,-0.00658214709554406,-0.00658214709554406,0.00337312714758222,0.00658214709554406,0,-0.00658214709554406,-0.00856942053930006,-0.0244046182889826,0.00337312714758222,-0.103373127147582
"EXTGFB",-0.0169249430945408,0.0962419913772334,-0.0756505712481289,-0.058640616979047,-0.0156725711780322,0.0962419913772334,-0.0777680166448317,0.0156725711780322,0.0156725711780322,0.0156725711780322,-0.0179174691372159,-0.0156725711780322,0,0.0156725711780322,0.0106711464274785,-0.0777680166448317,-0.0179174691372159,0.0179174691372159
"ESRP1",0.101431690972338,-0.121070848007585,-0.070723381918294,0.111163215317159,0.102608161560573,-0.121070848007585,-0.0631146889859432,-0.102608161560573,-0.102608161560573,-0.102608161560573,0.093697270471464,0.102608161560573,0,-0.102608161560573,-0.0864323911382735,-0.0631146889859432,-0.00630272952853598,-0.093697270471464
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0984150318097982,0.119319134374683,0.0781592793541914,-0.113001744493818,-0.101431690972338,0.119319134374683,0.0633431733728434,0.101431690972338,0.101431690972338,0.101431690972338,-0.102608161560573,-0.101431690972338,0,0.101431690972338,0.0920927684967641,0.0633431733728434,-0.102608161560573,0.102608161560573
"CD24",-0.0984150318097982,0.119319134374683,0.0781592793541914,-0.113001744493818,-0.101431690972338,0.119319134374683,0.0633431733728434,0.101431690972338,0.101431690972338,0.101431690972338,-0.102608161560573,-0.101431690972338,0,0.101431690972338,0.0920927684967641,0.0633431733728434,-0.102608161560573,0.102608161560573
