"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.165433694210182,-0.228512612625807,0.0092678393834784,-0.106230352354527,0.263557552752437,0.192735831576934,-0.192735831576934,-0.263557552752437,-0.263557552752437,0.263557552752437,-0.260450844062658,-0.263557552752437,0,-0.263557552752437,0,-0.228512612625807,0.260450844062658,-0.260450844062658
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.15086244398827,-0.146599948839248,0.0767305555189284,-0.0422811789429469,0.149306466758668,0.0129614008143796,-0.0129614008143796,-0.149306466758668,-0.149306466758668,0.149306466758668,-0.148286058595403,-0.149306466758668,0,-0.149306466758668,0,-0.146599948839248,0.148286058595403,-0.148286058595403
"SNAIL1",-0.151954178002165,0.14822893011812,-0.0772874369827311,-0.0588316182244785,-0.15086244398827,-0.0133260981156196,0.0133260981156196,0.15086244398827,0.15086244398827,-0.15086244398827,0.149306466758668,0.15086244398827,0,0.15086244398827,0,0.14822893011812,-0.149306466758668,0.149306466758668
"MIR340",0.263557552752437,-0.226496483593548,0.00885175061787507,-0.105034180105723,0.260450844062658,0.190777306231312,-0.190777306231312,-0.260450844062658,-0.260450844062658,0.260450844062658,-0.255509667592069,-0.260450844062658,0,-0.260450844062658,0,-0.226496483593548,0.255509667592069,-0.255509667592069
"MIR34",0.15086244398827,-0.146599948839248,0.0767305555189284,-0.0422811789429469,0.149306466758668,0.0129614008143796,-0.0129614008143796,-0.149306466758668,-0.149306466758668,0.149306466758668,-0.148286058595403,-0.149306466758668,0,-0.149306466758668,0,-0.146599948839248,0.148286058595403,-0.148286058595403
"MIR200",0.252973564706232,-0.301678655460593,0.201978491234318,-0.120786487760007,0.250505585949593,0.0940245360616205,-0.0940245360616205,-0.250505585949593,-0.250505585949593,0.250505585949593,-0.245657599096676,-0.250505585949593,0,-0.250505585949593,0,-0.301678655460593,0.245657599096676,-0.245657599096676
"MIR190",-0.149306466758668,0.145035411681491,-0.1782167550943,0.0405220449781296,-0.148286058595403,-0.0132221570073392,0.0132221570073392,0.148286058595403,0.148286058595403,-0.148286058595403,0.143653906006847,0.148286058595403,0,0.148286058595403,0,0.145035411681491,-0.143653906006847,0.143653906006847
"MIR1199",-0.263557552752437,0.226496483593548,-0.00885175061787507,0.105034180105723,-0.260450844062658,-0.190777306231312,0.190777306231312,0.260450844062658,0.260450844062658,-0.260450844062658,0.255509667592069,0.260450844062658,0,0.260450844062658,0,0.226496483593548,-0.255509667592069,0.255509667592069
"HAS2",0.260450844062658,-0.222612249016245,0.00782610959223405,-0.104954244054564,0.255509667592069,0.18826397797541,-0.18826397797541,-0.255509667592069,-0.255509667592069,0.255509667592069,-0.349239040529363,-0.255509667592069,0,-0.255509667592069,0,-0.222612249016245,0.249239040529363,-0.249239040529363
"HA",-0.263557552752437,0.226496483593548,-0.00885175061787507,0.105034180105723,-0.260450844062658,-0.190777306231312,0.190777306231312,0.260450844062658,0.260450844062658,-0.260450844062658,0.255509667592069,0.260450844062658,0,0.260450844062658,0,0.226496483593548,-0.255509667592069,0.255509667592069
"GRHL2",-0.373160844847985,0.348998488101833,-0.0163564369815205,0.128946111259535,-0.36954638701666,-0.289685118520617,0.289685118520617,0.36954638701666,0.36954638701666,-0.36954638701666,0.364255840615966,0.36954638701666,0,0.36954638701666,0,0.348998488101833,-0.364255840615966,0.464255840615966
"EXTGFB",0.15086244398827,-0.146599948839248,0.0767305555189284,-0.0422811789429469,0.149306466758668,0.0129614008143796,-0.0129614008143796,-0.149306466758668,-0.149306466758668,0.149306466758668,-0.148286058595403,-0.149306466758668,0,-0.149306466758668,0,-0.146599948839248,0.148286058595403,-0.148286058595403
"ESRP1",0.260450844062658,-0.222612249016245,0.00782610959223405,-0.104954244054564,0.255509667592069,0.18826397797541,-0.18826397797541,-0.255509667592069,-0.255509667592069,0.255509667592069,-0.249239040529363,-0.255509667592069,0,-0.255509667592069,0,-0.222612249016245,0.149239040529363,-0.249239040529363
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.263557552752437,0.226496483593548,-0.00885175061787507,0.105034180105723,-0.260450844062658,-0.190777306231312,0.190777306231312,0.260450844062658,0.260450844062658,-0.260450844062658,0.255509667592069,0.260450844062658,0,0.260450844062658,0,0.226496483593548,-0.255509667592069,0.255509667592069
"CD24",-0.263557552752437,0.226496483593548,-0.00885175061787507,0.105034180105723,-0.260450844062658,-0.190777306231312,0.190777306231312,0.260450844062658,0.260450844062658,-0.260450844062658,0.255509667592069,0.260450844062658,0,0.260450844062658,0,0.226496483593548,-0.255509667592069,0.255509667592069
