"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0167392891663588,-0.112277205447545,-0.00552262391930032,0.0890744022997284,-0.113269257620618,-0.112277205447545,0.133864451289185,-0.113269257620618,-0.113269257620618,-0.113269257620618,0.118267006382437,-0.113269257620618,0,0.113269257620618,-0.0118592911235849,0.133864451289185,-0.118267006382437,0.118267006382437
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0296867172640349,-0.0713359950894782,0.0702044327423866,-0.0131931008054777,-0.0257777988579628,-0.0713359950894782,-0.0415167236278217,-0.0257777988579628,-0.0257777988579628,-0.0257777988579628,0.0316961662049016,-0.0257777988579628,0,0.0257777988579628,0.0555137126832914,-0.0415167236278217,-0.0316961662049016,0.0316961662049016
"SNAIL1",-0.027063719957924,0.0732567342093421,-0.0707613142061893,-0.0853906118905263,0.0296867172640349,0.0732567342093421,0.03842895314399,0.0296867172640349,0.0296867172640349,0.0296867172640349,-0.0257777988579628,0.0296867172640349,0,-0.0296867172640349,-0.05642635935865,0.03842895314399,0.0257777988579628,-0.0257777988579628
"MIR340",-0.113269257620618,0.114408541853075,0.00455175013289256,-0.0871007180892021,0.118267006382437,0.114408541853075,-0.138127124100245,0.118267006382437,0.118267006382437,0.118267006382437,-0.111208182853025,0.118267006382437,0,-0.118267006382437,0.0102599004152833,-0.138127124100245,0.111208182853025,-0.111208182853025
"MIR34",0.0296867172640349,-0.0713359950894782,0.0702044327423866,-0.0131931008054777,-0.0257777988579628,-0.0713359950894782,-0.0415167236278217,-0.0257777988579628,-0.0257777988579628,-0.0257777988579628,0.0316961662049016,-0.0257777988579628,0,0.0257777988579628,0.0555137126832914,-0.0415167236278217,-0.0316961662049016,0.0316961662049016
"MIR200",0.125699103744278,-0.0227707152381493,-0.197399085340844,0.0982684228635795,-0.127354836327846,-0.0227707152381493,0.21669804467416,-0.127354836327846,-0.127354836327846,-0.127354836327846,0.124971927535734,-0.127354836327846,0,0.127354836327846,-0.0964869698027511,0.21669804467416,-0.124971927535734,0.124971927535734
"MIR190",-0.0257777988579628,0.0742043132120336,-0.171478318092705,0.0148169167730014,0.0316961662049016,0.0742043132120336,0.0368231121545492,0.0316961662049016,0.0316961662049016,0.0316961662049016,-0.023249299719888,0.0316961662049016,0,-0.0316961662049016,-0.0576006692050306,0.0368231121545492,0.023249299719888,-0.023249299719888
"MIR1199",-0.113269257620618,0.114408541853075,0.00455175013289256,-0.0871007180892021,0.118267006382437,0.114408541853075,-0.138127124100245,0.118267006382437,0.118267006382437,0.118267006382437,-0.111208182853025,0.118267006382437,0,-0.118267006382437,0.0102599004152833,-0.138127124100245,0.111208182853025,-0.111208182853025
"HAS2",0.118267006382437,-0.111438244823372,-0.00583380141494384,0.0900583519820878,-0.111208182853025,-0.111438244823372,0.131958045653939,-0.111208182853025,-0.111208182853025,-0.111208182853025,0.021439205955335,-0.111208182853025,0,0.111208182853025,-0.0123563364739835,0.131958045653939,-0.121439205955335,0.121439205955335
"HA",-0.113269257620618,0.114408541853075,0.00455175013289256,-0.0871007180892021,0.118267006382437,0.114408541853075,-0.138127124100245,0.118267006382437,0.118267006382437,0.118267006382437,-0.111208182853025,0.118267006382437,0,-0.118267006382437,0.0102599004152833,-0.138127124100245,0.111208182853025,-0.111208182853025
"GRHL2",0.0153228475070005,-0.0117626089106873,-0.00384922003517911,0.0679722550533707,-0.0208910663282314,-0.0117626089106873,0.0313265387906836,-0.0208910663282314,-0.0208910663282314,-0.0208910663282314,0.0129986118616225,-0.0208910663282314,0,0.0208910663282314,-0.0080501213645792,0.0313265387906836,-0.0129986118616225,-0.0870013881383775
"EXTGFB",0.0296867172640349,-0.0713359950894782,0.0702044327423866,-0.0131931008054777,-0.0257777988579628,-0.0713359950894782,-0.0415167236278217,-0.0257777988579628,-0.0257777988579628,-0.0257777988579628,0.0316961662049016,-0.0257777988579628,0,0.0257777988579628,0.0555137126832914,-0.0415167236278217,-0.0316961662049016,0.0316961662049016
"ESRP1",-0.118267006382437,0.111438244823372,0.00583380141494384,-0.0900583519820878,0.111208182853025,0.111438244823372,-0.131958045653939,0.111208182853025,0.111208182853025,0.111208182853025,-0.121439205955335,0.111208182853025,0,-0.111208182853025,0.0123563364739835,-0.131958045653939,0.021439205955335,-0.121439205955335
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.113269257620618,-0.114408541853075,-0.00455175013289256,0.0871007180892021,-0.118267006382437,-0.114408541853075,0.138127124100245,-0.118267006382437,-0.118267006382437,-0.118267006382437,0.111208182853025,-0.118267006382437,0,0.118267006382437,-0.0102599004152833,0.138127124100245,-0.111208182853025,0.111208182853025
"CD24",0.113269257620618,-0.114408541853075,-0.00455175013289256,0.0871007180892021,-0.118267006382437,-0.114408541853075,0.138127124100245,-0.118267006382437,-0.118267006382437,-0.118267006382437,0.111208182853025,-0.118267006382437,0,0.118267006382437,-0.0102599004152833,0.138127124100245,-0.111208182853025,0.111208182853025
