"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0551372245238002,0.141813260033108,0.00500655262786594,-0.0777097146963176,-0.154987797328051,-0.121688444043669,-0.141813260033108,-0.154987797328051,-0.154987797328051,0.154987797328051,-0.155212921146151,-0.154987797328051,0,0.154987797328051,-0.142389296899467,0.141813260033108,-0.155212921146151,-0.155212921146151
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.106100581042824,-0.000630026432531962,0.0684187105560202,-0.00615807699663922,0.106138531706961,0.107140917824885,0.000630026432531962,0.106138531706961,0.106138531706961,-0.106138531706961,0.10675077660492,0.106138531706961,0,-0.106138531706961,0.0015426731078905,-0.000630026432531962,0.10675077660492,0.10675077660492
"SNAIL1",0.106369969955344,0.00114060265426792,-0.068736928535336,-0.0933361061090765,-0.106100581042824,-0.106581715296317,-0.00114060265426792,-0.106100581042824,-0.106100581042824,0.106100581042824,-0.106138531706961,-0.106100581042824,0,0.106100581042824,-0.000630026432531962,0.00114060265426792,-0.106138531706961,-0.106138531706961
"MIR340",-0.154987797328051,-0.142389296899467,-0.00459046386226261,0.0772910544092362,0.155212921146151,0.121400425610489,0.142389296899467,0.155212921146151,0.155212921146151,-0.155212921146151,0.154507038793209,0.155212921146151,0,-0.155212921146151,0.141246874964966,-0.142389296899467,0.154507038793209,0.154507038793209
"MIR34",0.106100581042824,0.000630026432531962,-0.0684187105560202,0.00615807699663922,-0.106138531706961,-0.107140917824885,-0.000630026432531962,-0.106138531706961,-0.106138531706961,0.106138531706961,-0.10675077660492,-0.106138531706961,0,0.106138531706961,-0.0015426731078905,0.000630026432531962,-0.10675077660492,-0.10675077660492
"MIR200",0.159569601977159,0.0583484750120861,-0.187845489231843,0.0165091947190872,-0.159913244588843,-0.214307523008208,-0.0583484750120861,-0.159913244588843,-0.159913244588843,0.159913244588843,-0.158516367021053,-0.159913244588843,0,0.159913244588843,-0.0569713563680183,0.0583484750120861,-0.158516367021053,-0.158516367021053
"MIR190",-0.106138531706961,-0.0015426731078905,0.16841871055602,-0.00764657496686926,0.10675077660492,0.107010539728405,0.0015426731078905,0.10675077660492,0.10675077660492,-0.10675077660492,0.10375350140056,0.10675077660492,0,-0.10675077660492,-0.000370370370370368,-0.0015426731078905,0.10375350140056,0.10375350140056
"MIR1199",0.154987797328051,0.142389296899467,0.00459046386226261,-0.0772910544092362,-0.155212921146151,-0.121400425610489,-0.142389296899467,-0.155212921146151,-0.155212921146151,0.155212921146151,-0.154507038793209,-0.155212921146151,0,0.155212921146151,-0.141246874964966,0.142389296899467,-0.154507038793209,-0.154507038793209
"HAS2",0.155212921146151,0.141246874964966,0.00433405360585236,-0.0784900951766223,-0.154507038793209,-0.121628909997389,-0.141246874964966,-0.154507038793209,-0.154507038793209,0.154507038793209,-0.254177005789909,-0.154507038793209,0,0.154507038793209,-0.140617944147356,0.141246874964966,-0.154177005789909,-0.154177005789909
"HA",-0.154987797328051,-0.142389296899467,-0.00459046386226261,0.0772910544092362,0.155212921146151,0.121400425610489,0.142389296899467,0.155212921146151,0.155212921146151,-0.155212921146151,0.154507038793209,0.155212921146151,0,-0.155212921146151,0.141246874964966,-0.142389296899467,0.154507038793209,0.154507038793209
"GRHL2",-0.238210990062741,-0.246823901610494,-0.0115657546876923,0.102370629077855,0.238178427379576,0.204221542712072,0.246823901610494,0.238178427379576,0.238178427379576,-0.238178427379576,0.237571315497529,0.238178427379576,0,-0.238178427379576,0.245818315018315,-0.246823901610494,0.237571315497529,0.337571315497529
"EXTGFB",-0.106100581042824,-0.000630026432531962,0.0684187105560202,-0.00615807699663922,0.106138531706961,0.107140917824885,0.000630026432531962,0.106138531706961,0.106138531706961,-0.106138531706961,0.10675077660492,0.106138531706961,0,-0.106138531706961,0.0015426731078905,-0.000630026432531962,0.10675077660492,0.10675077660492
"ESRP1",0.155212921146151,0.141246874964966,0.00433405360585236,-0.0784900951766223,-0.154507038793209,-0.121628909997389,-0.141246874964966,-0.154507038793209,-0.154507038793209,0.154507038793209,-0.154177005789909,-0.154507038793209,0,0.154507038793209,-0.140617944147356,0.141246874964966,-0.254177005789909,-0.154177005789909
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.154987797328051,-0.142389296899467,-0.00459046386226261,0.0772910544092362,0.155212921146151,0.121400425610489,0.142389296899467,0.155212921146151,0.155212921146151,-0.155212921146151,0.154507038793209,0.155212921146151,0,-0.155212921146151,0.141246874964966,-0.142389296899467,0.154507038793209,0.154507038793209
"CD24",-0.154987797328051,-0.142389296899467,-0.00459046386226261,0.0772910544092362,0.155212921146151,0.121400425610489,0.142389296899467,0.155212921146151,0.155212921146151,-0.155212921146151,0.154507038793209,0.155212921146151,0,-0.155212921146151,0.141246874964966,-0.142389296899467,0.154507038793209,0.154507038793209
