"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.093196542497882,-0.151782706725999,0.00955867288835496,0.116125046528447,-0.187003615385147,-0.181409974290796,-0.181409974290796,0.187003615385147,-0.187003615385147,0.187003615385147,-0.192811809892126,0.187003615385147,0,0.187003615385147,0,-0.151782706725999,-0.192811809892126,-0.192811809892126
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0506477856834725,-0.10162592893519,-0.0804899004258772,-0.0278703424917305,-0.0323176149054838,0.0642558145517119,0.0642558145517119,0.0323176149054838,-0.0323176149054838,0.0323176149054838,-0.0547665944973206,0.0323176149054838,0,0.0323176149054838,0,-0.10162592893519,-0.0547665944973206,-0.0547665944973206
"SNAIL1",-0.0361149627712365,0.101893373622766,0.0891613403622336,-0.0465353226574855,0.0506477856834725,-0.0410367530394338,-0.0410367530394338,-0.0506477856834725,0.0506477856834725,-0.0506477856834725,0.0323176149054838,-0.0506477856834725,0,-0.0506477856834725,0,0.101893373622766,0.0323176149054838,0.0323176149054838
"MIR340",0.187003615385147,-0.151321877232911,0.00609126650832722,0.106017391026055,-0.192811809892126,-0.189301679359921,-0.189301679359921,0.192811809892126,-0.192811809892126,0.192811809892126,-0.182458868715656,0.192811809892126,0,0.192811809892126,0,-0.151321877232911,-0.182458868715656,-0.182458868715656
"MIR34",0.0506477856834725,-0.10162592893519,-0.0804899004258772,-0.0278703424917305,-0.0323176149054838,0.0642558145517119,0.0642558145517119,0.0323176149054838,-0.0323176149054838,0.0323176149054838,-0.0547665944973206,0.0323176149054838,0,0.0323176149054838,0,-0.10162592893519,-0.0547665944973206,-0.0547665944973206
"MIR200",-0.159288766414258,0.23570171802753,-0.00376919387280473,0.0174452377822093,0.170191609275863,0.0744584548417624,0.0744584548417624,-0.170191609275863,0.170191609275863,-0.170191609275863,0.154332940418016,-0.170191609275863,0,-0.170191609275863,0,0.23570171802753,0.154332940418016,0.154332940418016
"MIR190",-0.0323176149054838,0.101756307031669,-0.00868207409641582,0.0598053898530296,0.0547665944973206,-0.0357030114226376,-0.0357030114226376,-0.0547665944973206,0.0547665944973206,-0.0547665944973206,0.0261562402738873,-0.0547665944973206,0,-0.0547665944973206,0,0.101756307031669,0.0261562402738873,0.0261562402738873
"MIR1199",-0.187003615385147,0.151321877232911,-0.00609126650832722,-0.106017391026055,0.192811809892126,0.189301679359921,0.189301679359921,-0.192811809892126,0.192811809892126,-0.192811809892126,0.182458868715656,-0.192811809892126,0,-0.192811809892126,0,0.151321877232911,0.182458868715656,0.182458868715656
"HAS2",0.192811809892126,-0.15033177822301,0.00993742035448107,0.117608118444121,-0.182458868715656,-0.176887361005008,-0.176887361005008,0.182458868715656,-0.182458868715656,0.182458868715656,-0.290049627791563,0.182458868715656,0,0.182458868715656,0,-0.15033177822301,-0.190049627791563,-0.190049627791563
"HA",-0.187003615385147,0.151321877232911,-0.00609126650832722,-0.106017391026055,0.192811809892126,0.189301679359921,0.189301679359921,-0.192811809892126,0.192811809892126,-0.192811809892126,0.182458868715656,-0.192811809892126,0,-0.192811809892126,0,0.151321877232911,0.182458868715656,0.182458868715656
"GRHL2",0.320809392909413,-0.256857148084018,0.0163343944277624,0.131161523571024,-0.322144462919182,-0.319516671141562,-0.319516671141562,0.322144462919182,-0.322144462919182,0.322144462919182,-0.316506995443033,0.322144462919182,0,0.322144462919182,0,-0.256857148084018,-0.316506995443033,-0.416506995443032
"EXTGFB",-0.0506477856834725,0.10162592893519,0.0804899004258772,0.0278703424917305,0.0323176149054838,-0.0642558145517119,-0.0642558145517119,-0.0323176149054838,0.0323176149054838,-0.0323176149054838,0.0547665944973206,-0.0323176149054838,0,-0.0323176149054838,0,0.10162592893519,0.0547665944973206,0.0547665944973206
"ESRP1",-0.192811809892126,0.15033177822301,-0.00993742035448107,-0.117608118444121,0.182458868715656,0.176887361005008,0.176887361005008,-0.182458868715656,0.182458868715656,-0.182458868715656,0.190049627791563,-0.182458868715656,0,-0.182458868715656,0,0.15033177822301,0.0900496277915633,0.190049627791563
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.187003615385147,-0.151321877232911,0.00609126650832722,0.106017391026055,-0.192811809892126,-0.189301679359921,-0.189301679359921,0.192811809892126,-0.192811809892126,0.192811809892126,-0.182458868715656,0.192811809892126,0,0.192811809892126,0,-0.151321877232911,-0.182458868715656,-0.182458868715656
"CD24",-0.187003615385147,0.151321877232911,-0.00609126650832722,-0.106017391026055,0.192811809892126,0.189301679359921,0.189301679359921,-0.192811809892126,0.192811809892126,-0.192811809892126,0.182458868715656,-0.192811809892126,0,-0.192811809892126,0,0.151321877232911,0.182458868715656,0.182458868715656
