"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0984155751373479,-0.188018885591885,0.193382338463858,0.0465746407429257,-0.195709282592105,-0.155834315439404,0.188018885591885,-0.195709282592105,-0.195709282592105,0.195709282592105,-0.196654802628124,-0.195709282592105,0,-0.195709282592105,-0.184908286513544,0.188018885591885,-0.196654802628124,0.196654802628124
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.169582168065922,-0.179827290439599,0.208223263058987,-0.0692617912412153,-0.166508164270855,-6.9388112317699e-05,0.179827290439599,-0.166508164270855,-0.166508164270855,0.166508164270855,-0.167120409168814,-0.166508164270855,0,-0.166508164270855,-0.176307081834645,0.179827290439599,-0.167120409168814,0.167120409168814
"SNAIL1",-0.169199352242868,0.179316714217864,-0.210132570934882,-0.0259329482630841,0.169582168065922,0.00451869518744534,-0.179316714217864,0.169582168065922,0.169582168065922,-0.169582168065922,0.166508164270855,0.169582168065922,0,0.169582168065922,0.179827290439599,-0.179316714217864,0.166508164270855,-0.166508164270855
"MIR340",-0.195709282592105,0.184908286513544,-0.191579287146244,-0.0399358847620645,0.196654802628124,0.1601545919371,-0.184908286513544,0.196654802628124,0.196654802628124,-0.196654802628124,0.190301861451654,0.196654802628124,0,0.196654802628124,0.186050708448045,-0.184908286513544,0.190301861451654,-0.190301861451654
"MIR34",0.169582168065922,-0.179827290439599,0.208223263058987,-0.0692617912412153,-0.166508164270855,-6.9388112317699e-05,0.179827290439599,-0.166508164270855,-0.166508164270855,0.166508164270855,-0.167120409168814,-0.166508164270855,0,-0.166508164270855,-0.176307081834645,0.179827290439599,-0.167120409168814,0.167120409168814
"MIR200",0.211449880136971,-0.283138013700742,0.396199450200974,-0.0661748087122878,-0.212293366547468,-0.0724188829815816,0.283138013700742,-0.212293366547468,-0.212293366547468,0.212293366547468,-0.205637655783294,-0.212293366547468,0,-0.212293366547468,-0.28419733573464,0.283138013700742,-0.205637655783294,0.205637655783294
"MIR190",-0.166508164270855,0.176307081834645,-0.305887806583403,0.076163009103191,0.167120409168814,0.00437186529615081,-0.176307081834645,0.167120409168814,0.167120409168814,-0.167120409168814,0.159763460939932,0.167120409168814,0,0.167120409168814,0.177176647052036,-0.176307081834645,0.159763460939932,-0.159763460939932
"MIR1199",-0.195709282592105,0.184908286513544,-0.191579287146244,-0.0399358847620645,0.196654802628124,0.1601545919371,-0.184908286513544,0.196654802628124,0.196654802628124,-0.196654802628124,0.190301861451654,0.196654802628124,0,0.196654802628124,0.186050708448045,-0.184908286513544,0.190301861451654,-0.190301861451654
"HAS2",0.196654802628124,-0.186050708448045,0.18773313330009,0.0502476353615849,-0.190301861451654,-0.15078673207419,0.186050708448045,-0.190301861451654,-0.190301861451654,0.190301861451654,-0.291952026468155,-0.190301861451654,0,-0.190301861451654,-0.178713182242594,0.186050708448045,-0.191952026468156,0.191952026468156
"HA",-0.195709282592105,0.184908286513544,-0.191579287146244,-0.0399358847620645,0.196654802628124,0.1601545919371,-0.184908286513544,0.196654802628124,0.196654802628124,-0.196654802628124,0.190301861451654,0.196654802628124,0,0.196654802628124,0.186050708448045,-0.184908286513544,0.190301861451654,-0.190301861451654
"GRHL2",0.0470805027018879,-0.0375127456600298,0.043670284941953,0.0433203543241839,-0.0495227039392699,-0.042919487835312,0.0375127456600298,-0.0495227039392699,-0.0495227039392699,0.0495227039392699,-0.0444056180763037,-0.0495227039392699,0,-0.0495227039392699,-0.0403060417494152,0.0375127456600298,-0.0444056180763037,-0.0555943819236963
"EXTGFB",0.169582168065922,-0.179827290439599,0.208223263058987,-0.0692617912412153,-0.166508164270855,-6.9388112317699e-05,0.179827290439599,-0.166508164270855,-0.166508164270855,0.166508164270855,-0.167120409168814,-0.166508164270855,0,-0.166508164270855,-0.176307081834645,0.179827290439599,-0.167120409168814,0.167120409168814
"ESRP1",0.196654802628124,-0.186050708448045,0.18773313330009,0.0502476353615849,-0.190301861451654,-0.15078673207419,0.186050708448045,-0.190301861451654,-0.190301861451654,0.190301861451654,-0.191952026468156,-0.190301861451654,0,-0.190301861451654,-0.178713182242594,0.186050708448045,-0.0919520264681555,0.191952026468156
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.195709282592105,-0.184908286513544,0.191579287146244,0.0399358847620645,-0.196654802628124,-0.1601545919371,0.184908286513544,-0.196654802628124,-0.196654802628124,0.196654802628124,-0.190301861451654,-0.196654802628124,0,-0.196654802628124,-0.186050708448045,0.184908286513544,-0.190301861451654,0.190301861451654
"CD24",0.195709282592105,-0.184908286513544,0.191579287146244,0.0399358847620645,-0.196654802628124,-0.1601545919371,0.184908286513544,-0.196654802628124,-0.196654802628124,0.196654802628124,-0.190301861451654,-0.196654802628124,0,-0.196654802628124,-0.186050708448045,0.184908286513544,-0.190301861451654,0.190301861451654
