"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.145685698797793,-0.184139513033972,0.226195532310545,0.0438314557160901,-0.244573296340546,0.184139513033972,-0.210607583702568,-0.244573296340546,-0.244573296340546,-0.244573296340546,-0.243267578195566,-0.244573296340546,0,-0.244573296340546,-0.0138964777306114,-0.210607583702568,0.243267578195566,0.243267578195566
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.177889950702577,0.189943844472099,-0.0252700812985838,-0.0859638720170618,0.177092986755707,-0.189943844472099,0.00262242340140489,0.177092986755707,0.177092986755707,0.177092986755707,0.173827680633258,0.177092986755707,0,0.177092986755707,-0.0948341134036651,0.00262242340140489,-0.173827680633258,-0.173827680633258
"SNAIL1",0.178754830895402,-0.190648925921163,0.0285318155865711,-0.0138843829146529,-0.177889950702577,0.190648925921163,-0.00293849439581286,-0.177889950702577,-0.177889950702577,-0.177889950702577,-0.177092986755707,-0.177889950702577,0,-0.177889950702577,0.093660710535347,-0.00293849439581286,0.177092986755707,0.177092986755707
"MIR340",-0.244573296340546,0.182641817181438,-0.224669873503333,-0.0458051399266164,0.243267578195566,-0.182641817181438,0.21043477264266,0.243267578195566,0.243267578195566,0.243267578195566,0.241620519372036,0.243267578195566,0,0.243267578195566,0.013515670419111,0.21043477264266,-0.241620519372036,-0.241620519372036
"MIR34",0.177889950702577,-0.189943844472099,0.0252700812985838,0.0859638720170618,-0.177092986755707,0.189943844472099,-0.00262242340140489,-0.177092986755707,-0.177092986755707,-0.177092986755707,-0.173827680633258,-0.177092986755707,0,-0.177092986755707,0.0948341134036651,-0.00262242340140489,0.173827680633258,0.173827680633258
"MIR200",0.246087242664484,-0.289702590443747,0.0153336895903146,0.1009212014983,-0.24418158818151,0.289702590443747,-0.097741641699395,-0.24418158818151,-0.24418158818151,-0.24418158818151,-0.242456033538946,-0.24418158818151,0,-0.24418158818151,0.0955037794569218,-0.097741641699395,0.242456033538946,0.242456033538946
"MIR190",0.177092986755707,-0.18903119779674,-0.0747299187014162,0.0854226000278872,-0.173827680633258,0.18903119779674,0.000637029010589896,-0.173827680633258,-0.173827680633258,-0.173827680633258,-0.17192032368503,-0.173827680633258,0,-0.173827680633258,0.0923993307949694,0.000637029010589896,0.17192032368503,0.17192032368503
"MIR1199",-0.244573296340546,0.182641817181438,-0.224669873503333,-0.0458051399266164,0.243267578195566,-0.182641817181438,0.21043477264266,0.243267578195566,0.243267578195566,0.243267578195566,0.241620519372036,0.243267578195566,0,0.243267578195566,0.013515670419111,0.21043477264266,-0.241620519372036,-0.241620519372036
"HAS2",-0.243267578195566,0.181956364020737,-0.218003206836666,-0.0439666107499577,0.241620519372036,-0.181956364020737,0.208987704858959,0.241620519372036,0.241620519372036,0.241620519372036,0.33468982630273,0.241620519372036,0,0.241620519372036,0.0114192343604108,0.208987704858959,-0.23468982630273,-0.23468982630273
"HA",-0.244573296340546,0.182641817181438,-0.224669873503333,-0.0458051399266164,0.243267578195566,-0.182641817181438,0.21043477264266,0.243267578195566,0.243267578195566,0.243267578195566,0.241620519372036,0.243267578195566,0,0.243267578195566,0.013515670419111,0.21043477264266,-0.241620519372036,-0.241620519372036
"GRHL2",-0.351881372369105,0.313890750626054,-0.318350644979208,-0.0650394804484514,0.350481176993006,-0.313890750626054,0.299447208442093,0.350481176993006,0.350481176993006,0.350481176993006,0.347445617582772,0.350481176993006,0,0.350481176993006,-0.00805975991879606,0.299447208442093,-0.347445617582772,-0.447445617582772
"EXTGFB",0.177889950702577,-0.189943844472099,0.0252700812985838,0.0859638720170618,-0.177092986755707,0.189943844472099,-0.00262242340140489,-0.177092986755707,-0.177092986755707,-0.177092986755707,-0.173827680633258,-0.177092986755707,0,-0.177092986755707,0.0948341134036651,-0.00262242340140489,0.173827680633258,0.173827680633258
"ESRP1",0.243267578195566,-0.181956364020737,0.218003206836666,0.0439666107499577,-0.241620519372036,0.181956364020737,-0.208987704858959,-0.241620519372036,-0.241620519372036,-0.241620519372036,-0.23468982630273,-0.241620519372036,0,-0.241620519372036,-0.0114192343604108,-0.208987704858959,0.13468982630273,0.23468982630273
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.244573296340546,0.182641817181438,-0.224669873503333,-0.0458051399266164,0.243267578195566,-0.182641817181438,0.21043477264266,0.243267578195566,0.243267578195566,0.243267578195566,0.241620519372036,0.243267578195566,0,0.243267578195566,0.013515670419111,0.21043477264266,-0.241620519372036,-0.241620519372036
"CD24",0.244573296340546,-0.182641817181438,0.224669873503333,0.0458051399266164,-0.243267578195566,0.182641817181438,-0.21043477264266,-0.243267578195566,-0.243267578195566,-0.243267578195566,-0.241620519372036,-0.243267578195566,0,-0.243267578195566,-0.013515670419111,-0.21043477264266,0.241620519372036,0.241620519372036
