"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0942804318736973,-0.0182186261935235,-0.0307173171663697,-0.024790522773504,-4.16804209328686e-05,0.0182186261935235,-0.0544643042332664,-4.16804209328686e-05,4.16804209328686e-05,4.16804209328686e-05,-0.00593992445515169,-4.16804209328686e-05,0,4.16804209328686e-05,-0.0162507192042032,0.0544643042332664,-0.00593992445515169,0.00593992445515169
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0766175707828667,-0.0527798611679722,0.147608529823904,-0.0756806067541813,-0.0782494493407414,0.0527798611679722,0.127988458463466,-0.0782494493407414,0.0782494493407414,0.0782494493407414,-0.083351490157068,-0.0782494493407414,0,0.0782494493407414,0.0885588664650022,-0.127988458463466,-0.083351490157068,0.083351490157068
"SNAIL1",0.0777660182520288,0.0531931847760442,-0.144744568010061,-0.0219420538426827,0.0766175707828667,-0.0531931847760442,-0.126310850877762,0.0766175707828667,-0.0766175707828667,-0.0766175707828667,0.0782494493407414,0.0766175707828667,0,-0.0766175707828667,-0.0903841598157193,0.126310850877762,0.0782494493407414,-0.0782494493407414
"MIR340",4.16804209328686e-05,0.0163177045345373,0.0353867577581404,0.0211421974146523,0.00593992445515169,-0.0163177045345373,0.0488191429429438,0.00593992445515169,-0.00593992445515169,-0.00593992445515169,5.75715139752186e-05,0.00593992445515169,0,-0.00593992445515169,0.0163268806665033,-0.0488191429429438,5.75715139752186e-05,-5.75715139752186e-05
"MIR34",-0.0766175707828667,-0.0527798611679722,0.147608529823904,-0.0756806067541813,-0.0782494493407414,0.0527798611679722,0.127988458463466,-0.0782494493407414,0.0782494493407414,0.0782494493407414,-0.083351490157068,-0.0782494493407414,0,0.0782494493407414,0.0885588664650022,-0.127988458463466,-0.083351490157068,0.083351490157068
"MIR200",-0.042731753029401,-0.042359829317312,0.269318126009145,-0.0766835654357638,-0.0402012937979108,0.042359829317312,0.175914057819414,-0.0402012937979108,0.0402012937979108,0.0402012937979108,-0.0437345723517317,-0.0402012937979108,0,0.0402012937979108,0.110461096110736,-0.175914057819414,-0.0437345723517317,0.0437345723517317
"MIR190",0.0782494493407414,0.0476951154052603,-0.248670100949169,0.0774397407189986,0.083351490157068,-0.0476951154052603,-0.129422617524744,0.083351490157068,-0.083351490157068,-0.083351490157068,0.0814441332088391,0.083351490157068,0,-0.083351490157068,-0.0927327795084804,0.129422617524744,0.0814441332088391,-0.0814441332088391
"MIR1199",-4.16804209328686e-05,-0.0163177045345373,-0.0353867577581404,-0.0211421974146523,-0.00593992445515169,0.0163177045345373,-0.0488191429429438,-0.00593992445515169,0.00593992445515169,0.00593992445515169,-5.75715139752186e-05,-0.00593992445515169,0,0.00593992445515169,-0.0163268806665033,0.0488191429429438,-5.75715139752186e-05,5.75715139752186e-05
"HAS2",-0.00593992445515169,-0.0200496161872411,-0.048976501347884,-0.026338040739992,-5.75715139752186e-05,0.0200496161872411,-0.0527033775202477,-5.75715139752186e-05,5.75715139752186e-05,5.75715139752186e-05,-0.0799255583126551,-5.75715139752186e-05,0,5.75715139752186e-05,-0.012972582972583,0.0527033775202477,0.0200744416873449,-0.0200744416873449
"HA",4.16804209328686e-05,0.0163177045345373,0.0353867577581404,0.0211421974146523,0.00593992445515169,-0.0163177045345373,0.0488191429429438,0.00593992445515169,-0.00593992445515169,-0.00593992445515169,5.75715139752186e-05,0.00593992445515169,0,-0.00593992445515169,0.0163268806665033,-0.0488191429429438,5.75715139752186e-05,-5.75715139752186e-05
"GRHL2",-0.108549188806791,0.13329555116531,0.126429675430375,0.0439348168446428,-0.105911611470419,-0.13329555116531,0.127713547442887,-0.105911611470419,0.105911611470419,0.105911611470419,-0.115538671314304,-0.105911611470419,0,0.105911611470419,-0.00362899068802683,-0.127713547442887,-0.115538671314304,0.0155386713143043
"EXTGFB",-0.0766175707828667,-0.0527798611679722,0.147608529823904,-0.0756806067541813,-0.0782494493407414,0.0527798611679722,0.127988458463466,-0.0782494493407414,0.0782494493407414,0.0782494493407414,-0.083351490157068,-0.0782494493407414,0,0.0782494493407414,0.0885588664650022,-0.127988458463466,-0.083351490157068,0.083351490157068
"ESRP1",-0.00593992445515169,-0.0200496161872411,-0.048976501347884,-0.026338040739992,-5.75715139752186e-05,0.0200496161872411,-0.0527033775202477,-5.75715139752186e-05,5.75715139752186e-05,5.75715139752186e-05,0.0200744416873449,-5.75715139752186e-05,0,5.75715139752186e-05,-0.012972582972583,0.0527033775202477,-0.0799255583126551,-0.0200744416873449
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",4.16804209328686e-05,0.0163177045345373,0.0353867577581404,0.0211421974146523,0.00593992445515169,-0.0163177045345373,0.0488191429429438,0.00593992445515169,-0.00593992445515169,-0.00593992445515169,5.75715139752186e-05,0.00593992445515169,0,-0.00593992445515169,0.0163268806665033,-0.0488191429429438,5.75715139752186e-05,-5.75715139752186e-05
"CD24",-4.16804209328686e-05,-0.0163177045345373,-0.0353867577581404,-0.0211421974146523,-0.00593992445515169,0.0163177045345373,-0.0488191429429438,-0.00593992445515169,0.00593992445515169,0.00593992445515169,-5.75715139752186e-05,-0.00593992445515169,0,0.00593992445515169,-0.0163268806665033,0.0488191429429438,-5.75715139752186e-05,5.75715139752186e-05
