"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0333017653554499,-0.0900824576840624,-0.0644781076388004,-0.0223662818507304,0.0701018541032916,-0.0900824576840624,-0.061382998763515,0.0701018541032916,-0.0701018541032916,-0.0701018541032916,-0.0746493552289107,-0.0701018541032916,0,-0.0701018541032916,0.0166826787690295,0.061382998763515,0.0746493552289107,0.0746493552289107
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0104619591627731,0.0602361401155791,-0.0651159219339389,-0.00418303391671492,-0.00958909388763074,0.0602361401155791,-0.0481032050541345,-0.00958909388763074,0.00958909388763074,0.00958909388763074,0.00326256327538584,0.00958909388763074,0,0.00958909388763074,-0.0514317325587812,0.0481032050541345,-0.00326256327538584,-0.00326256327538584
"SNAIL1",0.00681811966185146,-0.0587044114503713,0.0618541876459517,-0.0966768548035683,0.0104619591627731,-0.0587044114503713,0.0454530713317907,0.0104619591627731,-0.0104619591627731,-0.0104619591627731,-0.00958909388763074,-0.0104619591627731,0,-0.0104619591627731,0.0541696725848568,-0.0454530713317907,0.00958909388763074,0.00958909388763074
"MIR340",-0.0701018541032916,0.0953243931679333,0.0570347419430075,0.0229643679751323,-0.0746493552289107,0.0953243931679333,0.0619590356298744,-0.0746493552289107,0.0746493552289107,0.0746493552289107,0.0657081787583225,0.0746493552289107,0,0.0746493552289107,-0.0173681319297302,-0.0619590356298744,-0.0657081787583225,-0.0657081787583225
"MIR34",0.0104619591627731,-0.0602361401155791,0.0651159219339389,0.00418303391671492,0.00958909388763074,-0.0602361401155791,0.0481032050541345,0.00958909388763074,-0.00958909388763074,-0.00958909388763074,-0.00326256327538584,-0.00958909388763074,0,-0.00958909388763074,0.0514317325587812,-0.0481032050541345,0.00326256327538584,0.00326256327538584
"MIR200",-0.0659691848647521,0.176930376145022,0.072763547504157,-0.0471838895672603,-0.0671875541243584,0.176930376145022,-0.0138465645268795,-0.0671875541243584,0.0671875541243584,0.0671875541243584,0.0613535360471193,0.0671875541243584,0,0.0671875541243584,-0.0955473686410356,0.0138465645268795,-0.0613535360471193,-0.0613535360471193
"MIR190",0.00958909388763074,-0.05345647909863,-0.0365825918664857,0.0100017078003414,0.00326256327538584,-0.05345647909863,0.0494069860189324,0.00326256327538584,-0.00326256327538584,-0.00326256327538584,-0.00462496109554933,-0.00326256327538584,0,-0.00326256327538584,0.0503882542979116,-0.0494069860189324,0.00462496109554933,0.00462496109554933
"MIR1199",0.0701018541032916,-0.0953243931679333,-0.0570347419430075,-0.0229643679751323,0.0746493552289107,-0.0953243931679333,-0.0619590356298744,0.0746493552289107,-0.0746493552289107,-0.0746493552289107,-0.0657081787583225,-0.0746493552289107,0,-0.0746493552289107,0.0173681319297302,0.0619590356298744,0.0657081787583225,0.0657081787583225
"HAS2",-0.0746493552289107,0.0902215751938282,0.0562655111737767,0.0164895478312474,-0.0657081787583225,0.0902215751938282,0.0554853113343679,-0.0657081787583225,0.0657081787583225,0.0657081787583225,0.159437551695616,0.0657081787583225,0,0.0657081787583225,-0.0106595365418895,-0.0554853113343679,-0.0594375516956162,-0.0594375516956162
"HA",-0.0701018541032916,0.0953243931679333,0.0570347419430075,0.0229643679751323,-0.0746493552289107,0.0953243931679333,0.0619590356298744,-0.0746493552289107,0.0746493552289107,0.0746493552289107,0.0657081787583225,0.0746493552289107,0,0.0746493552289107,-0.0173681319297302,-0.0619590356298744,-0.0657081787583225,-0.0657081787583225
"GRHL2",-0.0153481088831953,0.010352563892996,0.0188131968287012,-0.0398986084782005,-0.00958451396297387,0.010352563892996,0.0140531329566532,-0.00958451396297387,0.00958451396297387,0.00958451396297387,0.0145281392882124,0.00958451396297387,0,0.00958451396297387,0.00414078732512467,-0.0140531329566532,-0.0145281392882124,-0.114528139288212
"EXTGFB",-0.0104619591627731,0.0602361401155791,-0.0651159219339389,-0.00418303391671492,-0.00958909388763074,0.0602361401155791,-0.0481032050541345,-0.00958909388763074,0.00958909388763074,0.00958909388763074,0.00326256327538584,0.00958909388763074,0,0.00958909388763074,-0.0514317325587812,0.0481032050541345,-0.00326256327538584,-0.00326256327538584
"ESRP1",0.0746493552289107,-0.0902215751938282,-0.0562655111737767,-0.0164895478312474,0.0657081787583225,-0.0902215751938282,-0.0554853113343679,0.0657081787583225,-0.0657081787583225,-0.0657081787583225,-0.0594375516956162,-0.0657081787583225,0,-0.0657081787583225,0.0106595365418895,0.0554853113343679,-0.0405624483043838,0.0594375516956162
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0701018541032916,0.0953243931679333,0.0570347419430075,0.0229643679751323,-0.0746493552289107,0.0953243931679333,0.0619590356298744,-0.0746493552289107,0.0746493552289107,0.0746493552289107,0.0657081787583225,0.0746493552289107,0,0.0746493552289107,-0.0173681319297302,-0.0619590356298744,-0.0657081787583225,-0.0657081787583225
"CD24",0.0701018541032916,-0.0953243931679333,-0.0570347419430075,-0.0229643679751323,0.0746493552289107,-0.0953243931679333,-0.0619590356298744,0.0746493552289107,-0.0746493552289107,-0.0746493552289107,-0.0657081787583225,-0.0746493552289107,0,-0.0746493552289107,0.0173681319297302,0.0619590356298744,0.0657081787583225,0.0657081787583225
