"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00840714330718816,-0.13751662286422,0.125635959435245,-0.119825893585912,-0.108290922154938,0.0746795388222033,-0.13751662286422,0.108290922154938,-0.108290922154938,-0.108290922154938,0.108425996445798,0.108290922154938,0,-0.108290922154938,-0.0311593254311466,-0.0746795388222033,-0.108425996445798,-0.108425996445798
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.097523906225348,-0.117214414494455,0.143474319296132,-0.0440690703585549,-0.0977895608743043,-0.0193173596962879,-0.117214414494455,0.0977895608743043,-0.0977895608743043,-0.0977895608743043,0.0973813976089982,0.0977895608743043,0,-0.0977895608743043,-0.0687873994812908,0.0193173596962879,-0.0973813976089982,-0.0973813976089982
"SNAIL1",-0.0975664413167984,0.117384606568367,-0.143474319296132,-0.0558803479520166,0.097523906225348,0.0198279359180239,0.117384606568367,-0.097523906225348,0.097523906225348,0.097523906225348,-0.0977895608743043,-0.097523906225348,0,0.097523906225348,0.0682658870953717,-0.0198279359180239,0.0977895608743043,0.0977895608743043
"MIR340",-0.108290922154938,0.137343811804312,-0.125589727350178,0.120065128035673,0.108425996445798,-0.075025160942019,0.137343811804312,-0.108425996445798,0.108425996445798,0.108425996445798,-0.108425996445798,-0.108425996445798,0,0.108425996445798,0.0310831639688465,0.075025160942019,0.108425996445798,0.108425996445798
"MIR34",0.097523906225348,-0.117214414494455,0.143474319296132,-0.0440690703585549,-0.0977895608743043,-0.0193173596962879,-0.117214414494455,0.0977895608743043,-0.0977895608743043,-0.0977895608743043,0.0973813976089982,0.0977895608743043,0,-0.0977895608743043,-0.0687873994812908,0.0193173596962879,-0.0973813976089982,-0.0973813976089982
"MIR200",-0.126307266283551,0.230738246454802,-0.329302887662177,0.129859717625978,0.126276026046125,-0.00604778501792085,0.230738246454802,-0.126276026046125,0.126276026046125,0.126276026046125,-0.126029518240045,-0.126276026046125,0,0.126276026046125,0.112398196820136,0.00604778501792085,0.126029518240045,0.126029518240045
"MIR190",0.0977895608743043,-0.117475170687415,0.243049690846026,-0.0431218443774995,-0.0973813976089982,-0.0200996282751667,-0.117475170687415,0.0973813976089982,-0.0973813976089982,-0.0973813976089982,0.0965639589169001,0.0973813976089982,0,-0.0973813976089982,-0.0691352255682474,0.0200996282751667,-0.0965639589169001,-0.0965639589169001
"MIR1199",0.108290922154938,-0.137343811804312,0.125589727350178,-0.120065128035673,-0.108425996445798,0.075025160942019,-0.137343811804312,0.108425996445798,-0.108425996445798,-0.108425996445798,0.108425996445798,0.108425996445798,0,-0.108425996445798,-0.0310831639688465,-0.075025160942019,-0.108425996445798,-0.108425996445798
"HAS2",0.108425996445798,-0.137267650342012,0.125333317093767,-0.119345703575241,-0.108425996445798,0.0751013224043191,-0.137267650342012,0.108425996445798,-0.108425996445798,-0.108425996445798,0.00743589743589744,0.108425996445798,0,-0.108425996445798,-0.0319217383923266,-0.0751013224043191,-0.107435897435897,-0.107435897435897
"HA",-0.108290922154938,0.137343811804312,-0.125589727350178,0.120065128035673,0.108425996445798,-0.075025160942019,0.137343811804312,-0.108425996445798,0.108425996445798,0.108425996445798,-0.108425996445798,-0.108425996445798,0,0.108425996445798,0.0310831639688465,0.075025160942019,0.108425996445798,0.108425996445798
"GRHL2",-0.210279830524564,0.242523915441988,-0.228713877601044,0.14634674937555,0.210377518574059,-0.171541268172943,0.242523915441988,-0.210377518574059,0.210377518574059,0.210377518574059,-0.210117327767467,-0.210377518574059,0,0.210377518574059,0.0356589213998853,0.171541268172943,0.210117327767467,0.110117327767467
"EXTGFB",0.097523906225348,-0.117214414494455,0.143474319296132,-0.0440690703585549,-0.0977895608743043,-0.0193173596962879,-0.117214414494455,0.0977895608743043,-0.0977895608743043,-0.0977895608743043,0.0973813976089982,0.0977895608743043,0,-0.0977895608743043,-0.0687873994812908,0.0193173596962879,-0.0973813976089982,-0.0973813976089982
"ESRP1",-0.108425996445798,0.137267650342012,-0.125333317093767,0.119345703575241,0.108425996445798,-0.0751013224043191,0.137267650342012,-0.108425996445798,0.108425996445798,0.108425996445798,-0.107435897435897,-0.108425996445798,0,0.108425996445798,0.0319217383923266,0.0751013224043191,0.207435897435897,0.107435897435897
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.108290922154938,0.137343811804312,-0.125589727350178,0.120065128035673,0.108425996445798,-0.075025160942019,0.137343811804312,-0.108425996445798,0.108425996445798,0.108425996445798,-0.108425996445798,-0.108425996445798,0,0.108425996445798,0.0310831639688465,0.075025160942019,0.108425996445798,0.108425996445798
"CD24",0.108290922154938,-0.137343811804312,0.125589727350178,-0.120065128035673,-0.108425996445798,0.075025160942019,-0.137343811804312,0.108425996445798,-0.108425996445798,-0.108425996445798,0.108425996445798,0.108425996445798,0,-0.108425996445798,-0.0310831639688465,-0.075025160942019,-0.108425996445798,-0.108425996445798
