"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.269402027379571,-0.205456966010042,-0.0376045485369556,-0.22868867628899,-0.363142688179836,-0.205456966010042,-0.205456966010042,0.363142688179836,-0.363142688179836,0.363142688179836,-0.354903156437378,0.363142688179836,0,0.363142688179836,-0.202346366931701,-0.205456966010042,0.354903156437378,-0.354903156437378
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.162879801320389,-0.0858607546808062,0.146560231066548,0.258697093700129,0.15972989619705,-0.0858607546808062,-0.0858607546808062,-0.15972989619705,0.15972989619705,-0.15972989619705,0.156260508441948,-0.15972989619705,0,-0.15972989619705,-0.0870341575491244,-0.0858607546808062,-0.156260508441948,0.156260508441948
"SNAIL1",-0.164992377529095,-0.0846694101634223,0.147196667025179,0.160214544382982,0.162879801320389,-0.0846694101634223,-0.0846694101634223,-0.162879801320389,0.162879801320389,-0.162879801320389,0.15972989619705,-0.162879801320389,0,-0.162879801320389,-0.0858607546808062,-0.0846694101634223,-0.15972989619705,0.15972989619705
"MIR340",-0.363142688179836,0.202346366931701,0.0357090330492071,0.223963795906215,0.354903156437378,0.202346366931701,0.202346366931701,-0.354903156437378,0.354903156437378,-0.354903156437378,0.342667862319731,-0.354903156437378,0,-0.354903156437378,0.197548194806796,0.202346366931701,-0.342667862319731,0.342667862319731
"MIR34",-0.162879801320389,-0.0858607546808062,0.146560231066548,0.258697093700129,0.15972989619705,-0.0858607546808062,-0.0858607546808062,-0.15972989619705,0.15972989619705,-0.15972989619705,0.156260508441948,-0.15972989619705,0,-0.15972989619705,-0.0870341575491244,-0.0858607546808062,-0.156260508441948,0.156260508441948
"MIR200",-0.248313425147445,0.264707147166132,-0.187049698249704,-0.0395541148733833,0.243658629771,0.264707147166132,0.264707147166132,-0.243658629771,0.243658629771,-0.243658629771,0.236838580469438,-0.243658629771,0,-0.243658629771,0.262058842081386,0.264707147166132,-0.236838580469438,0.236838580469438
"MIR190",0.15972989619705,0.0870341575491244,-0.245710974166335,-0.256396687746137,-0.156260508441948,0.0870341575491244,0.0870341575491244,0.156260508441948,-0.156260508441948,0.156260508441948,-0.150538437597261,0.156260508441948,0,0.156260508441948,0.0892950271143418,0.0870341575491244,0.150538437597261,-0.150538437597261
"MIR1199",-0.363142688179836,0.202346366931701,0.0357090330492071,0.223963795906215,0.354903156437378,0.202346366931701,0.202346366931701,-0.354903156437378,0.354903156437378,-0.354903156437378,0.342667862319731,-0.354903156437378,0,-0.354903156437378,0.197548194806796,0.202346366931701,-0.342667862319731,0.342667862319731
"HAS2",0.354903156437378,-0.197548194806796,-0.0331449304851045,-0.217968592069285,-0.342667862319731,-0.197548194806796,-0.197548194806796,0.342667862319731,-0.342667862319731,0.342667862319731,-0.427816377171216,0.342667862319731,0,0.342667862319731,-0.192307104660046,-0.197548194806796,0.327816377171216,-0.327816377171216
"HA",-0.363142688179836,0.202346366931701,0.0357090330492071,0.223963795906215,0.354903156437378,0.202346366931701,0.202346366931701,-0.354903156437378,0.354903156437378,-0.354903156437378,0.342667862319731,-0.354903156437378,0,-0.354903156437378,0.197548194806796,0.202346366931701,-0.342667862319731,0.342667862319731
"GRHL2",-0.111773110809142,0.04753076062615,0.0172073345963883,0.134960902404642,0.1092006588391,0.04753076062615,0.04753076062615,-0.1092006588391,0.1092006588391,-0.1092006588391,0.104083572976133,-0.1092006588391,0,-0.1092006588391,0.045407855598217,0.04753076062615,-0.104083572976133,0.00408357297613345
"EXTGFB",0.162879801320389,0.0858607546808062,-0.146560231066548,-0.258697093700129,-0.15972989619705,0.0858607546808062,0.0858607546808062,0.15972989619705,-0.15972989619705,0.15972989619705,-0.156260508441948,0.15972989619705,0,0.15972989619705,0.0870341575491244,0.0858607546808062,0.156260508441948,-0.156260508441948
"ESRP1",0.354903156437378,-0.197548194806796,-0.0331449304851045,-0.217968592069285,-0.342667862319731,-0.197548194806796,-0.197548194806796,0.342667862319731,-0.342667862319731,0.342667862319731,-0.327816377171216,0.342667862319731,0,0.342667862319731,-0.192307104660046,-0.197548194806796,0.427816377171216,-0.327816377171216
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.363142688179836,-0.202346366931701,-0.0357090330492071,-0.223963795906215,-0.354903156437378,-0.202346366931701,-0.202346366931701,0.354903156437378,-0.354903156437378,0.354903156437378,-0.342667862319731,0.354903156437378,0,0.354903156437378,-0.197548194806796,-0.202346366931701,0.342667862319731,-0.342667862319731
"CD24",-0.363142688179836,0.202346366931701,0.0357090330492071,0.223963795906215,0.354903156437378,0.202346366931701,0.202346366931701,-0.354903156437378,0.354903156437378,-0.354903156437378,0.342667862319731,-0.354903156437378,0,-0.354903156437378,0.197548194806796,0.202346366931701,-0.342667862319731,0.342667862319731
