"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0547337657147555,-0.0722142979330759,0.0554288003274572,0.0363773813803011,0.0449507768719953,-0.0722142979330759,-0.064536030877403,-0.0449507768719953,0.0449507768719953,0.0449507768719953,-0.0440953063632155,0.0449507768719953,0,-0.0449507768719953,0.067827929382198,-0.064536030877403,0.0440953063632155,-0.0440953063632155
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.171490859389081,-0.0465856798149904,-0.227266500779169,-0.146539113455469,-0.169858980831206,-0.0465856798149904,0.20864687446309,0.169858980831206,-0.169858980831206,-0.169858980831206,0.168022246137329,-0.169858980831206,0,0.169858980831206,-0.0798571944557316,0.20864687446309,-0.168022246137329,0.168022246137329
"SNAIL1",0.172355739581907,0.0466586192752384,0.22941447213955,0.0477024923123224,0.171490859389081,0.0466586192752384,-0.210810745117114,-0.171490859389081,0.171490859389081,0.171490859389081,-0.169858980831206,0.171490859389081,0,-0.171490859389081,0.0810305973240497,-0.210810745117114,0.169858980831206,-0.169858980831206
"MIR340",0.0449507768719953,-0.0717534684399884,0.0531634281591724,0.0362577641554207,0.0440953063632155,-0.0717534684399884,-0.0639023903244076,-0.0440953063632155,0.0440953063632155,0.0440953063632155,-0.041977659304392,0.0440953063632155,0,-0.0440953063632155,0.0664570230607966,-0.0639023903244076,0.041977659304392,-0.041977659304392
"MIR34",-0.171490859389081,-0.0465856798149904,-0.227266500779169,-0.146539113455469,-0.169858980831206,-0.0465856798149904,0.20864687446309,0.169858980831206,-0.169858980831206,-0.169858980831206,0.168022246137329,-0.169858980831206,0,0.169858980831206,-0.0798571944557316,0.20864687446309,-0.168022246137329,0.168022246137329
"MIR200",-0.0197814745608794,0.16179597675183,-0.0341265305986578,0.119178197088648,-0.0197502343234536,0.16179597675183,-0.0551113902434173,0.0197502343234536,-0.0197502343234536,-0.0197502343234536,0.0183533567556639,-0.0197502343234536,0,0.0197502343234536,-0.052441869525393,-0.0551113902434173,-0.0183533567556639,0.0183533567556639
"MIR190",0.169858980831206,0.0465856798149904,0.127266500779169,0.143426799517715,0.168022246137329,0.0465856798149904,-0.206300068726454,-0.168022246137329,0.168022246137329,0.168022246137329,-0.167749766573296,0.168022246137329,0,-0.168022246137329,0.0796832814122534,-0.206300068726454,0.167749766573296,-0.167749766573296
"MIR1199",-0.0449507768719953,0.0717534684399884,-0.0531634281591724,-0.0362577641554207,-0.0440953063632155,0.0717534684399884,0.0639023903244076,0.0440953063632155,-0.0440953063632155,-0.0440953063632155,0.041977659304392,-0.0440953063632155,0,0.0440953063632155,-0.0664570230607966,0.0639023903244076,-0.041977659304392,0.041977659304392
"HAS2",-0.0440953063632155,0.071372661128488,-0.0526506076463519,-0.0360179560019435,-0.041977659304392,0.071372661128488,0.0615413849931053,0.041977659304392,-0.041977659304392,-0.041977659304392,-0.0576923076923077,-0.041977659304392,0,0.041977659304392,-0.0666666666666667,0.0615413849931053,-0.0423076923076923,0.0423076923076923
"HA",0.0449507768719953,-0.0717534684399884,0.0531634281591724,0.0362577641554207,0.0440953063632155,-0.0717534684399884,-0.0639023903244076,-0.0440953063632155,0.0440953063632155,0.0440953063632155,-0.041977659304392,0.0440953063632155,0,-0.0440953063632155,0.0664570230607966,-0.0639023903244076,0.041977659304392,-0.041977659304392
"GRHL2",-0.162186471916732,0.167069423547219,-0.170193402276113,-0.060541536263326,-0.160981652639623,0.167069423547219,0.180773501618975,0.160981652639623,-0.160981652639623,-0.160981652639623,0.159507238068938,-0.160981652639623,0,0.160981652639623,-0.172971741912706,0.180773501618975,-0.159507238068938,0.0595072380689381
"EXTGFB",-0.171490859389081,-0.0465856798149904,-0.227266500779169,-0.146539113455469,-0.169858980831206,-0.0465856798149904,0.20864687446309,0.169858980831206,-0.169858980831206,-0.169858980831206,0.168022246137329,-0.169858980831206,0,0.169858980831206,-0.0798571944557316,0.20864687446309,-0.168022246137329,0.168022246137329
"ESRP1",0.0440953063632155,-0.071372661128488,0.0526506076463519,0.0360179560019435,0.041977659304392,-0.071372661128488,-0.0615413849931053,-0.041977659304392,0.041977659304392,0.041977659304392,-0.0423076923076923,0.041977659304392,0,-0.041977659304392,0.0666666666666667,-0.0615413849931053,-0.0576923076923077,-0.0423076923076923
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0449507768719953,0.0717534684399884,-0.0531634281591724,-0.0362577641554207,-0.0440953063632155,0.0717534684399884,0.0639023903244076,0.0440953063632155,-0.0440953063632155,-0.0440953063632155,0.041977659304392,-0.0440953063632155,0,0.0440953063632155,-0.0664570230607966,0.0639023903244076,-0.041977659304392,0.041977659304392
"CD24",0.0449507768719953,-0.0717534684399884,0.0531634281591724,0.0362577641554207,0.0440953063632155,-0.0717534684399884,-0.0639023903244076,-0.0440953063632155,0.0440953063632155,0.0440953063632155,-0.041977659304392,0.0440953063632155,0,-0.0440953063632155,0.0664570230607966,-0.0639023903244076,0.041977659304392,-0.041977659304392
