"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","SNAIL1","TGFB","ZEB1","MIR200","MIR34"
"MIR340",0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.15516710479981,0.15516710479981,0.15516710479981,0.0881855730026199,-0.00480816038930281,-0.155427083081983,-0.119730924282193,-0.143678789254442
"HA",0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.15516710479981,0.15516710479981,0.15516710479981,0.0881855730026199,-0.00480816038930281,-0.155427083081983,-0.119730924282193,-0.143678789254442
"CD44s",0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.154931810682163,0.15516710479981,0.15516710479981,0.15516710479981,0.0881855730026199,-0.00480816038930281,-0.155427083081983,-0.119730924282193,-0.143678789254442
"HAS2",0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.254177005789909,0.154177005789909,0.154177005789909,0.0903438463839149,-0.00583380141494384,-0.154931810682163,-0.121177992065894,-0.142536367319941
"ESRP1",0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.15516710479981,0.154177005789909,0.254177005789909,0.154177005789909,0.0903438463839149,-0.00583380141494384,-0.154931810682163,-0.121177992065894,-0.142536367319941
"TGFB",0.119377752917698,0.119377752917698,0.119377752917698,0.119377752917698,0.119377752917698,0.119377752917698,0.120398161080963,0.120398161080963,0.120398161080963,0.0690360984081841,-0.0911818672136812,-0.12025061819284,0.0282000782800972,-0.151297067854225
"SNAIL1",0.12025061819284,0.12025061819284,0.12025061819284,0.12025061819284,0.12025061819284,0.12025061819284,0.119377752917698,0.119377752917698,0.119377752917698,-0.0264115495432575,-0.093488947563721,-0.119782732186885,0.0252095604099294,-0.149424955041193
"MIR200",0.111278588081183,0.111278588081183,0.111278588081183,0.111278588081183,0.111278588081183,0.111278588081183,0.112182450036812,0.112182450036812,0.112182450036812,-0.035710196003709,-0.00214346869172936,-0.111934633067125,-0.192902394006366,-0.0118654421297186
"GRHL2",0.0187756195465709,0.0187756195465709,0.0187756195465709,0.0187756195465709,0.0187756195465709,0.0187756195465709,0.01920927089089,0.01920927089089,0.11920927089089,0.068691024482748,-0.00403253809200771,-0.0191989344277171,-0.00257458062343301,-0.0220705290805311
"ZEB1",-0.155427083081983,-0.155427083081983,-0.155427083081983,-0.155427083081983,-0.155427083081983,-0.155427083081983,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.0896807883136247,0.00559410583544243,0.0553108619297331,0.120825394328276,0.143217959761355
"MIR190",-0.120398161080963,-0.120398161080963,-0.120398161080963,-0.120398161080963,-0.120398161080963,-0.120398161080963,-0.117945845004669,-0.117945845004669,-0.117945845004669,-0.0758019982728661,-0.00542110518546953,0.119377752917698,-0.0237672229997843,0.14816799353871
"MIR34",-0.119377752917698,-0.119377752917698,-0.119377752917698,-0.119377752917698,-0.119377752917698,-0.119377752917698,-0.120398161080963,-0.120398161080963,-0.120398161080963,-0.0690360984081841,0.0911818672136812,0.12025061819284,-0.0282000782800972,0.151297067854225
"MIR1199",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.0881855730026199,0.00480816038930281,0.155427083081983,0.119730924282193,0.143678789254442
"CD24",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.15516710479981,-0.15516710479981,-0.0881855730026199,0.00480816038930281,0.155427083081983,0.119730924282193,0.143678789254442
