"","MIR34","MIR340","MIR190","HAS2","GRHL2","TGFB","ZEB1","SNAIL1","HA","CD44s","CD24","MIR1199","ESRP1","MIR200"
"GRHL2",0.183951436515292,0.179678780415916,0.179678780415916,0.179678780415916,0.179678780415916,0.1850056921317,-0.179906719198072,0.046006913465112,-0.180285892297963,-0.180285892297963,-0.280285892297963,-0.179678780415916,-0.179678780415916,-0.188818080104814
"TGFB",0.0907343080456623,0.0812107804066222,0.0812107804066222,0.0812107804066222,0.0812107804066222,-0.0132265451666124,-0.0813246323990321,-0.0042170838452707,-0.0824352702025406,-0.0824352702025406,-0.0824352702025406,-0.0812107804066222,-0.0812107804066222,0.012435525565212
"MIR190",0.0906039299491826,0.0824352702025406,0.0824352702025406,0.0824352702025406,0.0824352702025406,0.0861365121582283,-0.0812107804066222,-0.00408176584797706,-0.0827077497665733,-0.0827077497665733,-0.0827077497665733,-0.0824352702025406,-0.0824352702025406,0.0107406103109747
"MIR340",0.0957047499703075,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0603086579372753,-0.0616671266959531,0.0239367020677684,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.0614420028778531,-0.0614420028778531,-0.0632828087238478
"MIR1199",0.0957047499703075,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0603086579372753,-0.0616671266959531,0.0239367020677684,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.0614420028778531,-0.0614420028778531,-0.0632828087238478
"HA",0.0957047499703075,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0603086579372753,-0.0616671266959531,0.0239367020677684,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.0614420028778531,-0.0614420028778531,-0.0632828087238478
"CD44s",0.0957047499703075,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0603086579372753,-0.0616671266959531,0.0239367020677684,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.0614420028778531,-0.0614420028778531,-0.0632828087238478
"ESRP1",0.0959332343572077,0.061206708760206,0.061206708760206,0.061206708760206,0.061206708760206,0.0641548117834292,-0.0614420028778531,0.0251357428351545,-0.064177005789909,0.035822994210091,-0.064177005789909,-0.061206708760206,-0.061206708760206,-0.0627496784877473
"MIR200",-0.00164209659400764,0.0599762888797693,0.0599762888797693,0.0599762888797693,0.0599762888797693,0.0557893889515476,-0.060507372916008,0.055133909495578,-0.0597297810736888,-0.0597297810736888,-0.0597297810736888,-0.0599762888797693,-0.0599762888797693,-0.154256945308675
"ZEB1",-0.0962807868366669,-0.0616671266959531,-0.0616671266959531,-0.0616671266959531,-0.0616671266959531,-0.0607247467028786,-0.0380174158907977,-0.0251926829290124,0.0614420028778531,0.0614420028778531,0.0614420028778531,0.0616671266959531,0.0616671266959531,0.0629947902906681
"HAS2",-0.0959332343572077,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.061206708760206,-0.0641548117834292,0.0614420028778531,-0.0251357428351545,-0.035822994210091,0.064177005789909,0.064177005789909,0.061206708760206,0.061206708760206,0.0627496784877473
"CD24",-0.0957047499703075,-0.0614420028778531,-0.0614420028778531,-0.0614420028778531,-0.0614420028778531,-0.0603086579372753,0.0616671266959531,-0.0239367020677684,0.061206708760206,0.061206708760206,0.061206708760206,0.0614420028778531,0.0614420028778531,0.0632828087238478
"MIR34",-0.0907343080456623,-0.0812107804066222,-0.0812107804066222,-0.0812107804066222,-0.0812107804066222,0.0132265451666124,0.0813246323990321,0.0042170838452707,0.0824352702025406,0.0824352702025406,0.0824352702025406,0.0812107804066222,0.0812107804066222,-0.012435525565212
"SNAIL1",-0.0908558738127423,-0.0813246323990321,-0.0813246323990321,-0.0813246323990321,-0.0813246323990321,0.0147380805683626,0.081565664583918,-0.0957323344653009,0.0812107804066222,0.0812107804066222,0.0812107804066222,0.0813246323990321,0.0813246323990321,-0.012411212411796
