"","MIR34","MIR200","MIR340","MIR1199","HAS2","HA","CD44s","CD24","ZEB1","MIR190","GRHL2","ESRP1","TGFB","SNAIL1"
"MIR200",0.225160282205172,0.225160282205172,0.108245451184194,0.108245451184194,0.108245451184194,0.108820636065048,0.108820636065048,0.108820636065048,-0.108339171896471,-0.108245451184194,-0.108245451184194,-0.108245451184194,-0.319491896778309,-0.150477702370928
"MIR340",0.138377715977742,0.138377715977742,0.101470710112903,0.101470710112903,0.101470710112903,0.101941298348197,0.101941298348197,0.101941298348197,-0.101695833931003,-0.101470710112903,-0.101470710112903,-0.101470710112903,-0.123797923069722,-0.142129947745726
"CD44s",0.138377715977742,0.138377715977742,0.101470710112903,0.101470710112903,0.101470710112903,0.101941298348197,0.101941298348197,0.101941298348197,-0.101695833931003,-0.101470710112903,-0.101470710112903,-0.101470710112903,-0.123797923069722,-0.142129947745726
"CD24",0.138377715977742,0.138377715977742,0.101470710112903,0.101470710112903,0.101470710112903,0.101941298348197,0.101941298348197,0.101941298348197,-0.101695833931003,-0.101470710112903,-0.101470710112903,-0.101470710112903,-0.123797923069722,-0.142129947745726
"MIR190",-0.0687721341821301,-0.0687721341821301,0.0275525771919425,0.0275525771919425,0.0275525771919425,0.0267351384998444,0.0267351384998444,0.0267351384998444,-0.0277566588245955,-0.0275525771919425,-0.0275525771919425,-0.0275525771919425,0.17075044670807,0.0627144358634557
"SNAIL1",-0.0689070769384429,-0.0689070769384429,0.0273392015190927,0.0273392015190927,0.0273392015190927,0.0277566588245955,0.0277566588245955,0.0277566588245955,-0.0276936606145131,-0.0273392015190927,-0.0273392015190927,-0.0273392015190927,0.069715731558766,-0.0369617454996216
"TGFB",-0.0682506217962109,-0.0682506217962109,0.0277566588245955,0.0277566588245955,0.0277566588245955,0.0275525771919425,0.0275525771919425,0.0275525771919425,-0.0273392015190927,-0.0277566588245955,-0.0277566588245955,-0.0277566588245955,0.0701135040329108,0.0637969798418048
"GRHL2",0.018763461630918,0.018763461630918,0.000418272761998071,0.000418272761998071,0.000418272761998071,0.00102538464404491,0.00102538464404491,-0.0989746153559551,-0.000711336910483907,-0.000418272761998071,-0.000418272761998071,-0.000418272761998071,-0.011278571194307,-0.0951883630468806
"ZEB1",-0.138665734410922,-0.138665734410922,-0.101695833931003,-0.101695833931003,-0.101695833931003,-0.101470710112903,-0.101470710112903,-0.101470710112903,0.00161281882225315,0.101695833931003,0.101695833931003,0.101695833931003,0.123289370133984,0.142070139133286
"MIR34",0.0682506217962109,0.0682506217962109,-0.0277566588245955,-0.0277566588245955,-0.0277566588245955,-0.0275525771919425,-0.0275525771919425,-0.0275525771919425,0.0273392015190927,0.0277566588245955,0.0277566588245955,0.0277566588245955,-0.0701135040329108,-0.0637969798418048
"HAS2",-0.138910846213843,-0.138910846213843,-0.101941298348197,-0.101941298348197,-0.101941298348197,-0.000951199338296112,-0.100951199338296,-0.100951199338296,0.101470710112903,0.101941298348197,0.101941298348197,0.101941298348197,0.122515871787671,0.141730267489931
"ESRP1",-0.138910846213843,-0.138910846213843,-0.101941298348197,-0.101941298348197,-0.101941298348197,-0.100951199338296,-0.200951199338296,-0.100951199338296,0.101470710112903,0.101941298348197,0.101941298348197,0.101941298348197,0.122515871787671,0.141730267489931
"MIR1199",-0.138377715977742,-0.138377715977742,-0.101470710112903,-0.101470710112903,-0.101470710112903,-0.101941298348197,-0.101941298348197,-0.101941298348197,0.101695833931003,0.101470710112903,0.101470710112903,0.101470710112903,0.123797923069722,0.142129947745726
"HA",-0.138377715977742,-0.138377715977742,-0.101470710112903,-0.101470710112903,-0.101470710112903,-0.101941298348197,-0.101941298348197,-0.101941298348197,0.101695833931003,0.101470710112903,0.101470710112903,0.101470710112903,0.123797923069722,0.142129947745726
