"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0749224411155674,-0.108304311672027,0.0288660975026368,-0.179943699540403,0.174374541397819,-0.108304311672027,-0.108304311672027,-0.174374541397819,0.174374541397819,-0.174374541397819,0.174779764270399,0.174374541397819,0,-0.174374541397819,0,-0.108304311672027,0.174779764270399,0.174779764270399
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.121003099979163,0.106583899450646,0.144989470811284,-0.247650208693751,0.12058564267366,0.106583899450646,0.106583899450646,-0.12058564267366,0.12058564267366,-0.12058564267366,0.120789724306314,0.12058564267366,0,-0.12058564267366,0,0.106583899450646,0.120789724306314,0.120789724306314
"SNAIL1",-0.120903851432446,-0.106462333683566,-0.145148579800942,0.147751372072608,-0.121003099979163,-0.106462333683566,-0.106462333683566,0.121003099979163,-0.121003099979163,0.121003099979163,-0.12058564267366,-0.121003099979163,0,0.121003099979163,0,-0.106462333683566,-0.12058564267366,-0.12058564267366
"MIR340",0.174374541397819,-0.108765141165115,0.0284500087370335,-0.179405422028441,0.174779764270399,-0.108765141165115,-0.108765141165115,-0.174779764270399,0.174779764270399,-0.174779764270399,0.172897411329222,0.174779764270399,0,-0.174779764270399,0,-0.108765141165115,0.172897411329222,0.172897411329222
"MIR34",-0.121003099979163,-0.106583899450646,-0.144989470811284,0.247650208693751,-0.12058564267366,-0.106583899450646,-0.106583899450646,0.12058564267366,-0.12058564267366,0.12058564267366,-0.120789724306314,-0.12058564267366,0,0.12058564267366,0,-0.106583899450646,-0.120789724306314,-0.120789724306314
"MIR200",-0.132442427292423,0.20946001264304,0.191682186964688,-0.0669847536360803,-0.132661108954404,0.20946001264304,0.20946001264304,0.132661108954404,-0.132661108954404,0.132661108954404,-0.131757246998775,-0.132661108954404,0,0.132661108954404,0,0.20946001264304,-0.131757246998775,-0.131757246998775
"MIR190",-0.12058564267366,-0.106192765161206,-0.244564842361178,0.24724425470187,-0.120789724306314,-0.106192765161206,-0.106192765161206,0.120789724306314,-0.120789724306314,0.120789724306314,-0.11942732648615,-0.120789724306314,0,0.120789724306314,0,-0.106192765161206,-0.11942732648615,-0.11942732648615
"MIR1199",-0.174374541397819,0.108765141165115,-0.0284500087370335,0.179405422028441,-0.174779764270399,0.108765141165115,0.108765141165115,0.174779764270399,-0.174779764270399,0.174779764270399,-0.172897411329222,-0.174779764270399,0,0.174779764270399,0,0.108765141165115,-0.172897411329222,-0.172897411329222
"HAS2",0.174779764270399,-0.108232010929014,0.027937188224213,-0.178845869670328,0.172897411329222,-0.108232010929014,-0.108232010929014,-0.172897411329222,0.172897411329222,-0.172897411329222,0.0738875103391232,0.172897411329222,0,-0.172897411329222,0,-0.108232010929014,0.173887510339123,0.173887510339123
"HA",-0.174374541397819,0.108765141165115,-0.0284500087370335,0.179405422028441,-0.174779764270399,0.108765141165115,0.108765141165115,0.174779764270399,-0.174779764270399,0.174779764270399,-0.172897411329222,-0.174779764270399,0,0.174779764270399,0,0.108765141165115,-0.172897411329222,-0.172897411329222
"GRHL2",0.303572283421725,-0.221155832119688,0.0313823700504556,-0.204590477880002,0.303344344639569,-0.221155832119688,-0.221155832119688,-0.303344344639569,0.303344344639569,-0.303344344639569,0.302216851144339,0.303344344639569,0,-0.303344344639569,0,-0.221155832119688,0.302216851144339,0.402216851144339
"EXTGFB",0.121003099979163,0.106583899450646,0.144989470811284,-0.247650208693751,0.12058564267366,0.106583899450646,0.106583899450646,-0.12058564267366,0.12058564267366,-0.12058564267366,0.120789724306314,0.12058564267366,0,-0.12058564267366,0,0.106583899450646,0.120789724306314,0.120789724306314
"ESRP1",0.174779764270399,-0.108232010929014,0.027937188224213,-0.178845869670328,0.172897411329222,-0.108232010929014,-0.108232010929014,-0.172897411329222,0.172897411329222,-0.172897411329222,0.173887510339123,0.172897411329222,0,-0.172897411329222,0,-0.108232010929014,0.0738875103391232,0.173887510339123
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.174374541397819,0.108765141165115,-0.0284500087370335,0.179405422028441,-0.174779764270399,0.108765141165115,0.108765141165115,0.174779764270399,-0.174779764270399,0.174779764270399,-0.172897411329222,-0.174779764270399,0,0.174779764270399,0,0.108765141165115,-0.172897411329222,-0.172897411329222
"CD24",0.174374541397819,-0.108765141165115,0.0284500087370335,-0.179405422028441,0.174779764270399,-0.108765141165115,-0.108765141165115,-0.174779764270399,0.174779764270399,-0.174779764270399,0.172897411329222,0.174779764270399,0,-0.174779764270399,0,-0.108765141165115,0.172897411329222,0.172897411329222
