"","MIR34","ZEB1","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","TGFB","SNAIL1","CD24","MIR340","MIR190","MIR200"
"MIR200",0.167898047071481,-0.0549956788211153,0.0527776219638832,0.0527776219638832,0.0527776219638832,0.0527776219638832,0.05598222344293,0.05598222344293,0.0635039525420791,0.0779098290953932,-0.05598222344293,-0.0527776219638832,-0.0527776219638832,-0.167898047071481
"ZEB1",-0.052716546998945,-0.0515126524011904,-0.0507619615785539,-0.0507619615785539,-0.0507619615785539,-0.0507619615785539,-0.0480154509977344,-0.0480154509977344,-0.047311052725111,-0.0278668178216677,0.0480154509977344,0.0507619615785539,0.0507619615785539,0.052716546998945
"MIR340",0.0509308327132307,-0.0507619615785539,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.054368392174205,0.054368392174205,0.0513332441259432,0.0307376312187969,-0.054368392174205,-0.0480154509977344,-0.0480154509977344,-0.0509308327132307
"MIR1199",0.0509308327132307,-0.0507619615785539,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.054368392174205,0.054368392174205,0.0513332441259432,0.0307376312187969,-0.054368392174205,-0.0480154509977344,-0.0480154509977344,-0.0509308327132307
"CD24",0.0509308327132307,-0.0507619615785539,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.0480154509977344,0.054368392174205,0.054368392174205,0.0513332441259432,0.0307376312187969,-0.054368392174205,-0.0480154509977344,-0.0480154509977344,-0.0509308327132307
"MIR190",0.0927561916514917,-0.0169407793392864,0.0159203711760211,0.0159203711760211,0.0159203711760211,0.0159203711760211,0.0118331777155307,0.0118331777155307,-0.00559304780576082,0.0479020038971828,-0.0118331777155307,-0.0159203711760211,-0.0159203711760211,-0.0927561916514917
"SNAIL1",0.0903744535875224,-0.016669932234511,0.0140185782007665,0.0140185782007665,0.0140185782007665,0.0140185782007665,0.0169407793392864,0.0169407793392864,0.0989734815407269,-0.0487763739021783,-0.0169407793392864,-0.0140185782007665,-0.0140185782007665,-0.0903744535875224
"MIR34",0.0884537144676585,-0.0140185782007665,0.0169407793392864,0.0169407793392864,0.0169407793392864,0.0169407793392864,0.0159203711760211,0.0159203711760211,0.101201007395938,0.0584568076860867,-0.0159203711760211,-0.0169407793392864,-0.0169407793392864,-0.0884537144676585
"TGFB",-0.0884537144676585,0.0140185782007665,-0.0169407793392864,-0.0169407793392864,-0.0169407793392864,-0.0169407793392864,-0.0159203711760211,-0.0159203711760211,-0.101201007395938,-0.0584568076860867,0.0159203711760211,0.0169407793392864,0.0169407793392864,0.0884537144676585
"GRHL2",-0.015231046896161,0.0172059002036799,-0.0209506087676656,-0.0209506087676656,-0.0209506087676656,-0.0209506087676656,-0.0128846937633291,-0.0128846937633291,-0.0136060013113874,0.0416384118555977,-0.0871153062366709,0.0209506087676656,0.0209506087676656,0.015231046896161
"HAS2",-0.0534441609691332,0.0480154509977344,-0.054368392174205,-0.054368392174205,-0.054368392174205,-0.054368392174205,0.0585028949545078,-0.0414971050454921,-0.0433845261772253,-0.0306576951676378,0.0414971050454921,0.054368392174205,0.054368392174205,0.0534441609691332
"ESRP1",-0.0534441609691332,0.0480154509977344,-0.054368392174205,-0.054368392174205,-0.054368392174205,-0.054368392174205,-0.0414971050454921,0.0585028949545078,-0.0433845261772253,-0.0306576951676378,0.0414971050454921,0.054368392174205,0.054368392174205,0.0534441609691332
"HA",-0.0509308327132307,0.0507619615785539,-0.0480154509977344,-0.0480154509977344,-0.0480154509977344,-0.0480154509977344,-0.054368392174205,-0.054368392174205,-0.0513332441259432,-0.0307376312187969,0.054368392174205,0.0480154509977344,0.0480154509977344,0.0509308327132307
"CD44s",-0.0509308327132307,0.0507619615785539,-0.0480154509977344,-0.0480154509977344,-0.0480154509977344,-0.0480154509977344,-0.054368392174205,-0.054368392174205,-0.0513332441259432,-0.0307376312187969,0.054368392174205,0.0480154509977344,0.0480154509977344,0.0509308327132307
