"","ZEB1","MIR34","MIR200","MIR190","HAS2","GRHL2","HA","CD44s","TGFB","CD24","MIR340","MIR1199","ESRP1","SNAIL1"
"SNAIL1",-0.198850326214477,-0.10626728198517,-0.10626728198517,0.198977931488828,0.198977931488828,0.198977931488828,0.199395388794331,0.199395388794331,0.170128140094963,-0.199395388794331,-0.198977931488828,-0.198977931488828,-0.198977931488828,0.211695711175079
"ZEB1",-0.0799216811783223,-0.0756763170659482,-0.0756763170659482,-0.0197296553649286,-0.0197296553649286,-0.0197296553649286,-0.0191443334378687,-0.0191443334378687,0.0183147989915459,0.0191443334378687,0.0197296553649286,0.0197296553649286,0.0197296553649286,0.124731029260964
"MIR340",-0.0197296553649286,0.0753882986327685,0.0753882986327685,0.0191443334378687,0.0191443334378687,0.0191443334378687,0.0198502157908098,0.0198502157908098,-0.0181761027363448,-0.0198502157908098,-0.0191443334378687,-0.0191443334378687,-0.0191443334378687,-0.124970263710724
"MIR1199",-0.0197296553649286,0.0753882986327685,0.0753882986327685,0.0191443334378687,0.0191443334378687,0.0191443334378687,0.0198502157908098,0.0198502157908098,-0.0181761027363448,-0.0198502157908098,-0.0191443334378687,-0.0191443334378687,-0.0191443334378687,-0.124970263710724
"CD44s",-0.0197296553649286,0.0753882986327685,0.0753882986327685,0.0191443334378687,0.0191443334378687,0.0191443334378687,0.0198502157908098,0.0198502157908098,-0.0181761027363448,-0.0198502157908098,-0.0191443334378687,-0.0191443334378687,-0.0191443334378687,-0.124970263710724
"CD24",-0.0197296553649286,0.0753882986327685,0.0753882986327685,0.0191443334378687,0.0191443334378687,0.0191443334378687,0.0198502157908098,0.0198502157908098,-0.0181761027363448,-0.0198502157908098,-0.0191443334378687,-0.0191443334378687,-0.0191443334378687,-0.124970263710724
"MIR200",-0.0117488193862155,-0.185273531693234,-0.185273531693234,0.0121549424727509,0.0121549424727509,0.0121549424727509,0.0112510805171223,0.0112510805171223,0.033884302526617,-0.0112510805171223,-0.0121549424727509,-0.0121549424727509,-0.0121549424727509,0.259587091505703
"HAS2",0.0191443334378687,-0.0756167830196687,-0.0756167830196687,-0.0198502157908098,-0.0198502157908098,-0.0198502157908098,0.0771794871794872,-0.0228205128205128,0.0179196924799346,0.0228205128205128,0.0198502157908098,0.0198502157908098,0.0198502157908098,0.125210071864202
"ESRP1",0.0191443334378687,-0.0756167830196687,-0.0756167830196687,-0.0198502157908098,-0.0198502157908098,-0.0198502157908098,-0.0228205128205128,-0.122820512820513,0.0179196924799346,0.0228205128205128,0.0198502157908098,0.0198502157908098,0.0198502157908098,0.125210071864202
"HA",0.0197296553649286,-0.0753882986327685,-0.0753882986327685,-0.0191443334378687,-0.0191443334378687,-0.0191443334378687,-0.0198502157908098,-0.0198502157908098,0.0181761027363448,0.0198502157908098,0.0191443334378687,0.0191443334378687,0.0191443334378687,0.124970263710724
"GRHL2",0.0325449187837064,-0.0126098211003508,-0.0126098211003508,-0.0331636097638432,-0.0331636097638432,-0.0331636097638432,-0.0334238005704347,-0.0334238005704347,-0.00859997035938871,-0.0665761994295653,0.0331636097638432,0.0331636097638432,0.0331636097638432,-0.0868812665094718
"TGFB",0.198977931488828,0.106097089911258,0.106097089911258,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.170128140094963,0.199395388794331,0.199395388794331,0.199395388794331,0.199395388794331,-0.311796874553936
"MIR34",0.198977931488828,0.106097089911258,0.106097089911258,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.170128140094963,0.199395388794331,0.199395388794331,0.199395388794331,0.199395388794331,-0.311796874553936
"MIR190",0.199395388794331,0.106097089911258,0.106097089911258,-0.199395388794331,-0.199395388794331,-0.199395388794331,-0.198032990974167,-0.198032990974167,-0.0701281400949626,0.198032990974167,0.199395388794331,0.199395388794331,0.199395388794331,-0.312067510548523
