"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0828412900087344,0.150256219235621,-0.00573706966772665,0.0908935603414175,-0.182293390290986,-0.150256219235621,-0.150256219235621,0.182293390290986,0.182293390290986,-0.182293390290986,0.181888167418406,-0.182293390290986,0,-0.182293390290986,0.161998604953737,-0.174259423851577,-0.181888167418406,-0.181888167418406
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.122892744725951,-0.109400861340071,-0.0639169284246282,-0.0103411864694979,0.122475287420448,0.109400861340071,0.109400861340071,-0.122475287420448,-0.122475287420448,0.122475287420448,-0.122271205787795,0.122475287420448,0,0.122475287420448,-0.0633738919740545,0.0176076788009974,0.122271205787795,0.122271205787795
"SNAIL1",-0.122991993272669,-0.109522427107151,-0.0640760374142861,-0.110240023090641,0.122892744725951,0.109522427107151,0.109522427107151,-0.122892744725951,-0.122892744725951,0.122892744725951,-0.122475287420448,0.122892744725951,0,0.122892744725951,-0.0635042700705343,0.0180210024090694,0.122475287420448,0.122475287420448
"MIR340",-0.182293390290986,-0.149795389742533,0.00532098090212333,-0.0903552828294557,0.181888167418406,0.149795389742533,0.149795389742533,-0.181888167418406,-0.181888167418406,0.181888167418406,-0.180005814477229,0.181888167418406,0,0.181888167418406,-0.160780021556936,0.174201820164941,0.180005814477229,0.180005814477229
"MIR34",0.122892744725951,0.109400861340071,0.0639169284246282,0.0103411864694979,-0.122475287420448,-0.109400861340071,-0.109400861340071,0.122475287420448,0.122475287420448,-0.122475287420448,0.122271205787795,-0.122475287420448,0,-0.122475287420448,0.0633738919740545,-0.0176076788009974,-0.122271205787795,-0.122271205787795
"MIR200",-0.137301804555342,-0.0312395464621608,-0.00397833660257703,-0.0903112948896443,0.137083122893361,0.0312395464621608,0.0312395464621608,-0.137083122893361,-0.137083122893361,0.137083122893361,-0.136179260937732,0.137083122893361,0,0.137083122893361,-0.125016090345289,0.219957888465704,0.136179260937732,0.136179260937732
"MIR190",0.122475287420448,0.109009727050632,-0.0356584431252656,0.00993523247761698,-0.122271205787795,-0.109009727050632,-0.109009727050632,0.122271205787795,0.122271205787795,-0.122271205787795,0.120908807967631,-0.122271205787795,0,-0.122271205787795,0.0625043267566632,-0.0177380568974772,-0.120908807967631,-0.120908807967631
"MIR1199",0.182293390290986,0.149795389742533,-0.00532098090212333,0.0903552828294557,-0.181888167418406,-0.149795389742533,-0.149795389742533,0.181888167418406,0.181888167418406,-0.181888167418406,0.180005814477229,-0.181888167418406,0,-0.181888167418406,0.160780021556936,-0.174201820164941,-0.180005814477229,-0.180005814477229
"HAS2",0.181888167418406,0.149262259506433,-0.00583380141494384,0.0909148351875692,-0.180005814477229,-0.149262259506433,-0.149262259506433,0.180005814477229,0.180005814477229,-0.180005814477229,0.0790157154673284,-0.180005814477229,0,-0.180005814477229,0.160151090739326,-0.17229778360744,-0.179015715467328,-0.179015715467328
"HA",-0.182293390290986,-0.149795389742533,0.00532098090212333,-0.0903552828294557,0.181888167418406,0.149795389742533,0.149795389742533,-0.181888167418406,-0.181888167418406,0.181888167418406,-0.180005814477229,0.181888167418406,0,0.181888167418406,-0.160780021556936,0.174201820164941,0.180005814477229,0.180005814477229
"GRHL2",0.0406049939572827,0.0245584535945982,-0.00439917420566491,0.0701285633415026,-0.0408329327394384,-0.0245584535945982,-0.0245584535945982,0.0408329327394384,0.0408329327394384,-0.0408329327394384,0.0397054392442085,-0.0408329327394384,0,-0.0408329327394384,0.0335121894170087,-0.0439184392058997,-0.0397054392442085,0.0602945607557915
"EXTGFB",0.122892744725951,0.109400861340071,0.0639169284246282,0.0103411864694979,-0.122475287420448,-0.109400861340071,-0.109400861340071,0.122475287420448,0.122475287420448,-0.122475287420448,0.122271205787795,-0.122475287420448,0,-0.122475287420448,0.0633738919740545,-0.0176076788009974,-0.122271205787795,-0.122271205787795
"ESRP1",-0.181888167418406,-0.149262259506433,0.00583380141494384,-0.0909148351875692,0.180005814477229,0.149262259506433,0.149262259506433,-0.180005814477229,-0.180005814477229,0.180005814477229,-0.179015715467328,0.180005814477229,0,0.180005814477229,-0.160151090739326,0.17229778360744,0.279015715467328,0.179015715467328
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.182293390290986,-0.149795389742533,0.00532098090212333,-0.0903552828294557,0.181888167418406,0.149795389742533,0.149795389742533,-0.181888167418406,-0.181888167418406,0.181888167418406,-0.180005814477229,0.181888167418406,0,0.181888167418406,-0.160780021556936,0.174201820164941,0.180005814477229,0.180005814477229
"CD24",-0.182293390290986,-0.149795389742533,0.00532098090212333,-0.0903552828294557,0.181888167418406,0.149795389742533,0.149795389742533,-0.181888167418406,-0.181888167418406,0.181888167418406,-0.180005814477229,0.181888167418406,0,0.181888167418406,-0.160780021556936,0.174201820164941,0.180005814477229,0.180005814477229
