"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0110680578851977,-0.122352242706111,-0.0881113806158934,-0.0318265117909708,-0.0873546550485562,0.122352242706111,0.087108192474197,-0.0873546550485562,0.0873546550485562,0.0873546550485562,0.0890205713024959,-0.0873546550485562,0,0.0873546550485562,0,-0.122352242706111,0.0890205713024959,0.0890205713024959
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.101036876930804,0.00277795636491863,-0.136332126223879,-0.007620261700447,-0.100088110327389,-0.00277795636491863,0.10221296270298,-0.100088110327389,0.100088110327389,0.100088110327389,0.101312600123307,-0.100088110327389,0,0.100088110327389,0,0.00277795636491863,0.101312600123307,0.101312600123307
"SNAIL1",-0.100682417835384,-0.00289952213199862,0.1347410363273,-0.0935431171564068,0.101036876930804,0.00289952213199862,-0.10355018614086,0.101036876930804,-0.101036876930804,-0.101036876930804,-0.100088110327389,0.101036876930804,0,-0.101036876930804,0,-0.00289952213199862,-0.100088110327389,-0.100088110327389
"MIR340",-0.0873546550485562,0.121603394779843,0.0834419400241227,0.02847722949432,0.0890205713024959,-0.121603394779843,-0.0899883768059942,0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.08549115953779,0.0890205713024959,0,-0.0890205713024959,0,0.121603394779843,-0.08549115953779,-0.08549115953779
"MIR34",0.101036876930804,0.00277795636491863,-0.136332126223879,-0.007620261700447,-0.100088110327389,-0.00277795636491863,0.10221296270298,-0.100088110327389,0.100088110327389,0.100088110327389,0.101312600123307,-0.100088110327389,0,0.100088110327389,0,0.00277795636491863,0.101312600123307,0.101312600123307
"MIR200",0.0794803112274226,-0.186896912409119,-0.0873950899699755,0.0464650621120319,-0.0802613171630677,0.186896912409119,-0.00183646248080555,-0.0802613171630677,0.0802613171630677,0.0802613171630677,0.07820708544573,-0.0802613171630677,0,0.0802613171630677,0,-0.186896912409119,0.07820708544573,0.07820708544573
"MIR190",0.100088110327389,0.00303871255787821,-0.0342089839733483,-0.0055904917410424,-0.101312600123307,-0.00303871255787821,0.104038256053697,-0.101312600123307,0.101312600123307,0.101312600123307,0.0999502023031435,-0.101312600123307,0,0.101312600123307,0,0.00303871255787821,0.0999502023031435,0.0999502023031435
"MIR1199",-0.0873546550485562,0.121603394779843,0.0834419400241227,0.02847722949432,0.0890205713024959,-0.121603394779843,-0.0899883768059942,0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.08549115953779,0.0890205713024959,0,-0.0890205713024959,0,0.121603394779843,-0.08549115953779,-0.08549115953779
"HAS2",-0.0890205713024959,0.122441170865144,0.0911342477164304,0.0335132007173416,0.08549115953779,-0.122441170865144,-0.0845809129826888,0.08549115953779,-0.08549115953779,-0.08549115953779,0.00823821339950372,0.08549115953779,0,-0.08549115953779,0,0.122441170865144,-0.0917617866004963,-0.0917617866004963
"HA",-0.0873546550485562,0.121603394779843,0.0834419400241227,0.02847722949432,0.0890205713024959,-0.121603394779843,-0.0899883768059942,0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.08549115953779,0.0890205713024959,0,-0.0890205713024959,0,0.121603394779843,-0.08549115953779,-0.08549115953779
"GRHL2",-0.00343833532328503,0.0108513737188301,0.00287026856810449,0.0393287941251804,0.00562003509534625,-0.0108513737188301,-0.0111080181490897,0.00562003509534625,-0.00562003509534625,-0.00562003509534625,-0.00137025192101841,0.00562003509534625,0,-0.00562003509534625,0,0.0108513737188301,-0.00137025192101841,-0.101370251921018
"EXTGFB",0.101036876930804,0.00277795636491863,-0.136332126223879,-0.007620261700447,-0.100088110327389,-0.00277795636491863,0.10221296270298,-0.100088110327389,0.100088110327389,0.100088110327389,0.101312600123307,-0.100088110327389,0,0.100088110327389,0,0.00277795636491863,0.101312600123307,0.101312600123307
"ESRP1",-0.0890205713024959,0.122441170865144,0.0911342477164304,0.0335132007173416,0.08549115953779,-0.122441170865144,-0.0845809129826888,0.08549115953779,-0.08549115953779,-0.08549115953779,-0.0917617866004963,0.08549115953779,0,-0.08549115953779,0,0.122441170865144,0.00823821339950372,-0.0917617866004963
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.0873546550485562,0.121603394779843,0.0834419400241227,0.02847722949432,0.0890205713024959,-0.121603394779843,-0.0899883768059942,0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.08549115953779,0.0890205713024959,0,-0.0890205713024959,0,0.121603394779843,-0.08549115953779,-0.08549115953779
"CD24",-0.0873546550485562,0.121603394779843,0.0834419400241227,0.02847722949432,0.0890205713024959,-0.121603394779843,-0.0899883768059942,0.0890205713024959,-0.0890205713024959,-0.0890205713024959,-0.08549115953779,0.0890205713024959,0,-0.0890205713024959,0,0.121603394779843,-0.08549115953779,-0.08549115953779
