"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00851622476380136,0.159749057294198,0.0925309611590992,-0.15900731979338,-0.107071761871555,0.159749057294198,-0.0764510435327213,0.107071761871555,0.107071761871555,0.107071761871555,-0.109458074343414,-0.107071761871555,0,-0.107071761871555,-0.161246753146732,0.159749057294198,0.109458074343414,0.109458074343414
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0384102654373206,0.0643939852871273,-0.114447512780521,-0.0315231730118138,0.0219776278661631,0.0643939852871273,0.0894136218474816,-0.0219776278661631,-0.0219776278661631,-0.0219776278661631,0.0442225258253468,0.0219776278661631,0,0.0219776278661631,-0.0432727336574011,0.0643939852871273,-0.0442225258253468,-0.0442225258253468
"SNAIL1",0.0264011912844779,-0.0491010117884646,0.101321021133743,-0.0594227045804978,-0.0384102654373206,-0.0491010117884646,-0.0951758392070731,0.0384102654373206,0.0384102654373206,0.0384102654373206,-0.0219776278661631,-0.0384102654373206,0,-0.0384102654373206,0.0643939852871273,-0.0491010117884646,0.0219776278661631,0.0219776278661631
"MIR340",-0.107071761871555,-0.161246753146732,-0.0894334114596078,0.15906712840582,0.109458074343414,-0.161246753146732,0.0780063430718918,-0.109458074343414,-0.109458074343414,-0.109458074343414,0.105458074343414,0.109458074343414,0,0.109458074343414,0.15858110196623,-0.161246753146732,-0.105458074343414,-0.105458074343414
"MIR34",-0.0384102654373206,0.0643939852871273,-0.114447512780521,-0.0315231730118138,0.0219776278661631,0.0643939852871273,0.0894136218474816,-0.0219776278661631,-0.0219776278661631,-0.0219776278661631,0.0442225258253468,0.0219776278661631,0,0.0219776278661631,-0.0432727336574011,0.0643939852871273,-0.0442225258253468,-0.0442225258253468
"MIR200",0.101321935392586,0.0524888729494454,0.0916098808712018,-0.0195376326449197,-0.109788039734979,0.0524888729494454,-0.186558807125379,0.109788039734979,0.109788039734979,0.109788039734979,-0.0980378343118069,-0.109788039734979,0,-0.109788039734979,-0.0418956526104624,0.0524888729494454,0.0980378343118069,0.0980378343118069
"MIR190",-0.0219776278661631,0.0432727336574011,0.00274993944877824,-0.0447843367465905,0.0442225258253468,0.0432727336574011,0.0967147952503499,-0.0442225258253468,-0.0442225258253468,-0.0442225258253468,0.0145222533457828,0.0442225258253468,0,0.0442225258253468,-0.0719683858313142,0.0432727336574011,-0.0145222533457828,-0.0145222533457828
"MIR1199",0.107071761871555,0.161246753146732,0.0894334114596078,-0.15906712840582,-0.109458074343414,0.161246753146732,-0.0780063430718918,0.109458074343414,0.109458074343414,0.109458074343414,-0.105458074343414,-0.109458074343414,0,-0.109458074343414,-0.15858110196623,0.161246753146732,0.105458074343414,0.105458074343414
"HAS2",0.109458074343414,0.15858110196623,0.0940487960749924,-0.158987192354661,-0.105458074343414,0.15858110196623,-0.0754930148159893,0.105458074343414,0.105458074343414,0.105458074343414,-0.211728701406121,-0.105458074343414,0,-0.105458074343414,-0.1629836176895,0.15858110196623,0.111728701406121,0.111728701406121
"HA",-0.107071761871555,-0.161246753146732,-0.0894334114596078,0.15906712840582,0.109458074343414,-0.161246753146732,0.0780063430718918,-0.109458074343414,-0.109458074343414,-0.109458074343414,0.105458074343414,0.109458074343414,0,0.109458074343414,0.15858110196623,-0.161246753146732,-0.105458074343414,-0.105458074343414
"GRHL2",-0.0125161715740088,-0.0383889620733533,-0.00219502289256363,0.10319546920727,0.0153491250093719,-0.0383889620733533,-0.00316130031822298,-0.0153491250093719,-0.0153491250093719,-0.0153491250093719,0.0107524207595887,0.0153491250093719,0,0.0153491250093719,0.0352604704532415,-0.0383889620733533,-0.0107524207595887,-0.110752420759589
"EXTGFB",0.0384102654373206,-0.0643939852871273,0.114447512780521,0.0315231730118138,-0.0219776278661631,-0.0643939852871273,-0.0894136218474816,0.0219776278661631,0.0219776278661631,0.0219776278661631,-0.0442225258253468,-0.0219776278661631,0,-0.0219776278661631,0.0432727336574011,-0.0643939852871273,0.0442225258253468,0.0442225258253468
"ESRP1",0.109458074343414,0.15858110196623,0.0940487960749924,-0.158987192354661,-0.105458074343414,0.15858110196623,-0.0754930148159893,0.105458074343414,0.105458074343414,0.105458074343414,-0.111728701406121,-0.105458074343414,0,-0.105458074343414,-0.1629836176895,0.15858110196623,0.0117287014061208,0.111728701406121
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.107071761871555,-0.161246753146732,-0.0894334114596078,0.15906712840582,0.109458074343414,-0.161246753146732,0.0780063430718918,-0.109458074343414,-0.109458074343414,-0.109458074343414,0.105458074343414,0.109458074343414,0,0.109458074343414,0.15858110196623,-0.161246753146732,-0.105458074343414,-0.105458074343414
"CD24",-0.107071761871555,-0.161246753146732,-0.0894334114596078,0.15906712840582,0.109458074343414,-0.161246753146732,0.0780063430718918,-0.109458074343414,-0.109458074343414,-0.109458074343414,0.105458074343414,0.109458074343414,0,0.109458074343414,0.15858110196623,-0.161246753146732,-0.105458074343414,-0.105458074343414
