"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0748940453803781,-0.0234665423413296,0.0141334683639173,0.0987694068817589,-0.0239603461188748,0.0234665423413296,-0.0709382931577433,0.0239603461188748,0.0239603461188748,0.0239603461188748,-0.0238252718280148,-0.0239603461188748,0,-0.0239603461188748,-0.0241102993713405,-0.0709382931577433,0.0238252718280148,0.0238252718280148
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.157480212168271,0.215157183414789,0.126758496331168,0.172205422562129,0.159415696039239,-0.215157183414789,-0.0628637003908321,-0.159415696039239,-0.159415696039239,-0.159415696039239,0.159823859304545,0.159415696039239,0,0.159415696039239,-0.139662332385209,-0.0628637003908321,-0.159823859304545,-0.159823859304545
"SNAIL1",-0.156757115613614,0.213187817988093,0.126360723857023,0.0720030958044152,0.157480212168271,-0.213187817988093,-0.0633742766125681,-0.157480212168271,-0.157480212168271,-0.157480212168271,0.159415696039239,0.157480212168271,0,0.157480212168271,-0.13901044190281,-0.0633742766125681,-0.159415696039239,-0.159415696039239
"MIR340",0.0239603461188748,-0.0230057128482421,0.013717379598314,0.0999057705181225,-0.0238252718280148,0.0230057128482421,-0.071226311590923,0.0238252718280148,0.0238252718280148,0.0238252718280148,-0.0268840953574266,-0.0238252718280148,0,-0.0238252718280148,-0.0234248462106398,-0.071226311590923,0.0268840953574266,0.0268840953574266
"MIR34",-0.157480212168271,0.215157183414789,0.126758496331168,0.172205422562129,0.159415696039239,-0.215157183414789,-0.0628637003908321,-0.159415696039239,-0.159415696039239,-0.159415696039239,0.159823859304545,0.159415696039239,0,0.159415696039239,-0.139662332385209,-0.0628637003908321,-0.159823859304545,-0.159823859304545
"MIR200",0.084966472117198,-0.183701865259983,-0.19645206219351,-0.0910039973692481,-0.0849977123546238,0.183701865259983,0.00569688416517313,0.0849977123546238,0.0849977123546238,0.0849977123546238,-0.0855728972354783,-0.0849977123546238,0,-0.0849977123546238,0.094752340814273,0.00569688416517313,0.0855728972354783,0.0855728972354783
"MIR190",0.159415696039239,-0.216069830090147,-0.225909239430956,-0.174235192521534,-0.159823859304545,0.216069830090147,0.0632548346802715,0.159823859304545,0.159823859304545,0.159823859304545,-0.154646747587924,-0.159823859304545,0,-0.159823859304545,0.138271028037383,0.0632548346802715,0.154646747587924,0.154646747587924
"MIR1199",-0.0239603461188748,0.0230057128482421,-0.013717379598314,-0.0999057705181225,0.0238252718280148,-0.0230057128482421,0.071226311590923,-0.0238252718280148,-0.0238252718280148,-0.0238252718280148,0.0268840953574266,0.0238252718280148,0,0.0238252718280148,0.0234248462106398,0.071226311590923,-0.0268840953574266,-0.0268840953574266
"HAS2",0.0238252718280148,-0.0256713640287447,0.0124353283162627,0.10094493918319,-0.0268840953574266,0.0256713640287447,-0.0725210564500243,0.0268840953574266,0.0268840953574266,0.0268840953574266,-0.131174524400331,-0.0268840953574266,0,-0.0268840953574266,-0.0213284101519396,-0.0725210564500243,0.0311745244003309,0.0311745244003309
"HA",-0.0239603461188748,0.0230057128482421,-0.013717379598314,-0.0999057705181225,0.0238252718280148,-0.0230057128482421,0.071226311590923,-0.0238252718280148,-0.0238252718280148,-0.0238252718280148,0.0268840953574266,0.0238252718280148,0,0.0238252718280148,0.0234248462106398,0.071226311590923,-0.0268840953574266,-0.0268840953574266
"GRHL2",0.0308636881801374,-0.0400937460197472,-0.00672861702382124,-0.0745813343893368,-0.0318080059919251,0.0400937460197472,-0.0150330960282902,0.0318080059919251,0.0318080059919251,0.0318080059919251,-0.0306805124966953,-0.0318080059919251,0,-0.0318080059919251,0.0125861909175162,-0.0150330960282902,0.0306805124966953,-0.0693194875033047
"EXTGFB",0.157480212168271,-0.215157183414789,-0.126758496331168,-0.172205422562129,-0.159415696039239,0.215157183414789,0.0628637003908321,0.159415696039239,0.159415696039239,0.159415696039239,-0.159823859304545,-0.159415696039239,0,-0.159415696039239,0.139662332385209,0.0628637003908321,0.159823859304545,0.159823859304545
"ESRP1",0.0238252718280148,-0.0256713640287447,0.0124353283162627,0.10094493918319,-0.0268840953574266,0.0256713640287447,-0.0725210564500243,0.0268840953574266,0.0268840953574266,0.0268840953574266,-0.0311745244003309,-0.0268840953574266,0,-0.0268840953574266,-0.0213284101519396,-0.0725210564500243,-0.0688254755996691,0.0311745244003309
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0239603461188748,0.0230057128482421,-0.013717379598314,-0.0999057705181225,0.0238252718280148,-0.0230057128482421,0.071226311590923,-0.0238252718280148,-0.0238252718280148,-0.0238252718280148,0.0268840953574266,0.0238252718280148,0,0.0238252718280148,0.0234248462106398,0.071226311590923,-0.0268840953574266,-0.0268840953574266
"CD24",-0.0239603461188748,0.0230057128482421,-0.013717379598314,-0.0999057705181225,0.0238252718280148,-0.0230057128482421,0.071226311590923,-0.0238252718280148,-0.0238252718280148,-0.0238252718280148,0.0268840953574266,0.0238252718280148,0,0.0238252718280148,0.0234248462106398,0.071226311590923,-0.0268840953574266,-0.0268840953574266
