"","MIR200","MIR340","MIR190","GRHL2","HA","CD44s","SNAIL1","MIR34","TGFB","ZEB1","CD24","MIR1199","HAS2","ESRP1"
"SNAIL1",0.258237533382328,0.220633116860468,0.220633116860468,0.220633116860468,0.220443363539785,0.220443363539785,0.0915268368614923,-0.0335334620476138,-0.130657240032669,-0.220704008679552,-0.220443363539785,-0.220633116860468,-0.220633116860468,-0.220633116860468
"TGFB",0.258115967615248,0.220443363539785,0.220443363539785,0.220443363539785,0.219831118641825,0.219831118641825,0.191425673482636,-0.0336550278146937,-0.130657240032669,-0.220633116860468,-0.219831118641825,-0.220443363539785,-0.220443363539785,-0.220443363539785
"MIR34",0.258115967615248,0.220443363539785,0.220443363539785,0.220443363539785,0.219831118641825,0.219831118641825,0.191425673482636,-0.0336550278146937,-0.130657240032669,-0.220633116860468,-0.219831118641825,-0.220443363539785,-0.220443363539785,-0.220443363539785
"MIR190",0.257724833325809,0.219831118641825,0.219831118641825,0.219831118641825,0.218468720821662,0.218468720821662,0.191425673482636,-0.0340461621041331,-0.0304449258076162,-0.220443363539785,-0.218468720821662,-0.219831118641825,-0.219831118641825,-0.219831118641825
"MIR1199",0.174772927927619,0.165637693035104,0.165637693035104,0.165637693035104,0.16516710479981,0.16516710479981,0.136957816525615,0.103836437442332,-0.0207799738667906,-0.165952866380444,-0.16516710479981,-0.165637693035104,-0.165637693035104,-0.165637693035104
"HA",0.174772927927619,0.165637693035104,0.165637693035104,0.165637693035104,0.16516710479981,0.16516710479981,0.136957816525615,0.103836437442332,-0.0207799738667906,-0.165952866380444,-0.16516710479981,-0.165637693035104,-0.165637693035104,-0.165637693035104
"CD44s",0.174772927927619,0.165637693035104,0.165637693035104,0.165637693035104,0.16516710479981,0.16516710479981,0.136957816525615,0.103836437442332,-0.0207799738667906,-0.165952866380444,-0.16516710479981,-0.165637693035104,-0.165637693035104,-0.165637693035104
"CD24",0.174772927927619,0.165637693035104,0.165637693035104,0.165637693035104,0.16516710479981,0.16516710479981,0.136957816525615,0.103836437442332,-0.0207799738667906,-0.165952866380444,-0.16516710479981,-0.165637693035104,-0.165637693035104,-0.165637693035104
"MIR200",0.000735745822109672,0.085947348971351,0.085947348971351,0.085947348971351,0.0860295182400446,0.0860295182400446,-0.0734629817591708,0.178483699694197,-0.00706058266104182,-0.0859785892087769,-0.0860295182400446,-0.085947348971351,-0.085947348971351,-0.085947348971351
"GRHL2",0.0339235593734752,0.0242395039846126,0.0242395039846126,0.0242395039846126,0.0241527737157488,0.0241527737157488,0.0926374429959888,-0.00157509157509158,-0.00974998563589345,-0.0243371920341079,-0.124152773715749,-0.0242395039846126,-0.0242395039846126,-0.0242395039846126
"ZEB1",-0.175060946360798,-0.165952866380444,-0.165952866380444,-0.165952866380444,-0.165637693035104,-0.165637693035104,-0.137017625138056,-0.103951644815604,0.0209186701219917,0.0661022935761937,0.165637693035104,0.165952866380444,0.165952866380444,0.165952866380444
"HAS2",-0.174239797691518,-0.16516710479981,-0.16516710479981,-0.16516710479981,-0.264177005789909,-0.164177005789909,-0.136718008372138,-0.103760275980032,0.0205235636103803,0.165637693035104,0.164177005789909,0.16516710479981,0.16516710479981,0.16516710479981
"ESRP1",-0.174239797691518,-0.16516710479981,-0.16516710479981,-0.16516710479981,-0.164177005789909,-0.264177005789909,-0.136718008372138,-0.103760275980032,0.0205235636103803,0.165637693035104,0.164177005789909,0.16516710479981,0.16516710479981,0.16516710479981
"MIR340",-0.174772927927619,-0.165637693035104,-0.165637693035104,-0.165637693035104,-0.16516710479981,-0.16516710479981,-0.136957816525615,-0.103836437442332,0.0207799738667906,0.165952866380444,0.16516710479981,0.165637693035104,0.165637693035104,0.165637693035104
