"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0332167657564237,0.0983871377901725,-0.054078773994362,0.106098494338746,0.0672647218743251,-0.0983871377901725,0.0463110440854163,0.0672647218743251,-0.0672647218743251,-0.0672647218743251,0.0667694494745052,-0.0672647218743251,0,-0.0672647218743251,-0.0720322706612967,0.0463110440854163,0.0667694494745052,-0.0667694494745052
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0138950405394351,-0.0722695080681981,-0.0939581356377057,-0.0395580158196688,0.0106692340878222,0.0722695080681981,0.085025804039957,0.0106692340878222,-0.0106692340878222,-0.0106692340878222,0.0143427034755773,-0.0106692340878222,0,-0.0106692340878222,-0.00872495372251569,0.085025804039957,0.0143427034755773,-0.0143427034755773
"SNAIL1",-0.0118958912412641,0.0666531696291026,0.0944354626066795,-0.053309965970923,-0.0138950405394351,-0.0666531696291026,-0.0835427016815811,-0.0138950405394351,0.0138950405394351,0.0138950405394351,-0.0106692340878222,0.0138950405394351,0,0.0138950405394351,0.00637814798587944,-0.0835427016815811,-0.0106692340878222,0.0106692340878222
"MIR340",-0.0672647218743251,-0.0983295341035366,0.0524606510170157,-0.105978877113866,-0.0667694494745052,0.0983295341035366,-0.0457350072190568,-0.0667694494745052,0.0667694494745052,0.0667694494745052,-0.0651223906509758,0.0667694494745052,0,0.0667694494745052,0.0709660101890957,-0.0457350072190568,-0.0651223906509758,0.0651223906509758
"MIR34",0.0138950405394351,-0.0722695080681981,-0.0939581356377057,-0.0395580158196688,0.0106692340878222,0.0722695080681981,0.085025804039957,0.0106692340878222,-0.0106692340878222,-0.0106692340878222,0.0143427034755773,-0.0106692340878222,0,-0.0106692340878222,-0.00872495372251569,0.085025804039957,0.0143427034755773,-0.0143427034755773
"MIR200",-0.0616588801444592,0.000279887807814343,0.0603604078170991,0.0148257126837442,-0.0624398860801043,-0.000279887807814343,-0.157014611389722,-0.0624398860801043,0.0624398860801043,0.0624398860801043,-0.0598926387506056,0.0624398860801043,0,0.0624398860801043,0.0767254126384116,-0.157014611389722,-0.0598926387506056,0.0598926387506056
"MIR190",-0.0106692340878222,0.0644468222794106,-0.00434335056186964,0.0494362296221045,-0.0143427034755773,-0.0644468222794106,-0.081896729724442,-0.0143427034755773,0.0143427034755773,0.0143427034755773,-0.00971055088702148,0.0143427034755773,0,0.0143427034755773,0.00576843198338525,-0.081896729724442,-0.00971055088702148,0.00971055088702148
"MIR1199",-0.0672647218743251,-0.0983295341035366,0.0524606510170157,-0.105978877113866,-0.0667694494745052,0.0983295341035366,-0.0457350072190568,-0.0667694494745052,0.0667694494745052,0.0667694494745052,-0.0651223906509758,0.0667694494745052,0,0.0667694494745052,0.0709660101890957,-0.0457350072190568,-0.0651223906509758,0.0651223906509758
"HAS2",-0.0667694494745052,-0.0977964038674361,0.0539991125554772,-0.106698301574298,-0.0651223906509758,0.0977964038674361,-0.0441356165107552,-0.0651223906509758,0.0651223906509758,0.0651223906509758,-0.166112489660877,0.0651223906509758,0,0.0651223906509758,0.0715949410067057,-0.0441356165107552,-0.0661124896608768,0.0661124896608768
"HA",0.0672647218743251,0.0983295341035366,-0.0524606510170157,0.105978877113866,0.0667694494745052,-0.0983295341035366,0.0457350072190568,0.0667694494745052,-0.0667694494745052,-0.0667694494745052,0.0651223906509758,-0.0667694494745052,0,-0.0667694494745052,-0.0709660101890957,0.0457350072190568,0.0651223906509758,-0.0651223906509758
"GRHL2",0.145038752034697,0.18752778406893,-0.13255862392599,0.132265509764787,0.14422468495557,-0.18752778406893,0.125300833711172,0.14422468495557,-0.14422468495557,-0.14422468495557,0.143270651998068,-0.14422468495557,0,-0.14422468495557,-0.155799783750386,0.125300833711172,0.143270651998068,-0.0432706519980678
"EXTGFB",0.0138950405394351,-0.0722695080681981,-0.0939581356377057,-0.0395580158196688,0.0106692340878222,0.0722695080681981,0.085025804039957,0.0106692340878222,-0.0106692340878222,-0.0106692340878222,0.0143427034755773,-0.0106692340878222,0,-0.0106692340878222,-0.00872495372251569,0.085025804039957,0.0143427034755773,-0.0143427034755773
"ESRP1",-0.0667694494745052,-0.0977964038674361,0.0539991125554772,-0.106698301574298,-0.0651223906509758,0.0977964038674361,-0.0441356165107552,-0.0651223906509758,0.0651223906509758,0.0651223906509758,-0.0661124896608768,0.0651223906509758,0,0.0651223906509758,0.0715949410067057,-0.0441356165107552,-0.166112489660877,0.0661124896608768
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0672647218743251,0.0983295341035366,-0.0524606510170157,0.105978877113866,0.0667694494745052,-0.0983295341035366,0.0457350072190568,0.0667694494745052,-0.0667694494745052,-0.0667694494745052,0.0651223906509758,-0.0667694494745052,0,-0.0667694494745052,-0.0709660101890957,0.0457350072190568,0.0651223906509758,-0.0651223906509758
"CD24",0.0672647218743251,0.0983295341035366,-0.0524606510170157,0.105978877113866,0.0667694494745052,-0.0983295341035366,0.0457350072190568,0.0667694494745052,-0.0667694494745052,-0.0667694494745052,0.0651223906509758,-0.0667694494745052,0,-0.0667694494745052,-0.0709660101890957,0.0457350072190568,0.0651223906509758,-0.0651223906509758
