"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0382252235613297,0.0918198107069419,0.0792616333964227,-0.0927647024457073,0.061060846503422,-0.0454382778365517,0.0918198107069419,-0.061060846503422,0.061060846503422,-0.061060846503422,0.0620063665394419,-0.061060846503422,0,0.061060846503422,0.0692338829814242,-0.0454382778365517,0.0620063665394419,0.0620063665394419
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.00866690906925406,0.0671264712141761,0.0824120305941361,-0.0272685292010436,0.0106023929402218,0.0543507110819328,0.0671264712141761,-0.0106023929402218,0.0106023929402218,-0.0106023929402218,0.0101942296749157,-0.0106023929402218,0,0.0106023929402218,0.00612712387316207,0.0543507110819328,0.0101942296749157,0.0101942296749157
"SNAIL1",-0.00939000562391165,-0.0670535317539281,-0.0815369311510175,-0.0722762355941006,-0.00866690906925406,-0.0567577132701166,-0.0670535317539281,0.00866690906925406,-0.00866690906925406,0.00866690906925406,-0.0106023929402218,0.00866690906925406,0,-0.00866690906925406,-0.00638788006612165,-0.0567577132701166,-0.0106023929402218,-0.0106023929402218
"MIR340",-0.061060846503422,-0.0915317922737621,-0.0803249713529646,0.0931235541203484,-0.0620063665394419,0.0469359736890863,-0.0915317922737621,0.0620063665394419,-0.0620063665394419,0.0620063665394419,-0.062712248892383,0.0620063665394419,0,-0.0620063665394419,-0.0696908517552247,0.0469359736890863,-0.062712248892383,-0.062712248892383
"MIR34",-0.00866690906925406,-0.0671264712141761,-0.0824120305941361,0.0272685292010436,-0.0106023929402218,-0.0543507110819328,-0.0671264712141761,0.0106023929402218,-0.0106023929402218,0.0106023929402218,-0.0101942296749157,0.0106023929402218,0,-0.0106023929402218,-0.00612712387316207,-0.0543507110819328,-0.0101942296749157,-0.0101942296749157
"MIR200",-0.0776785429934582,-0.00535457999015309,0.104434166898684,-0.0152131123001158,-0.0784595489291033,0.153912941420793,-0.00535457999015309,0.0784595489291033,-0.0784595489291033,0.0784595489291033,-0.0805137806464411,0.0784595489291033,0,-0.0784595489291033,-0.080957913247846,0.153912941420793,-0.0805137806464411,-0.0805137806464411
"MIR190",-0.0106023929402218,-0.0688213864684134,-0.179015002993287,0.0240208972659962,-0.0101942296749157,-0.0565671387220893,-0.0688213864684134,0.0101942296749157,-0.0101942296749157,0.0101942296749157,-0.00501711795829443,0.0101942296749157,0,-0.0101942296749157,-0.00282277604707511,-0.0565671387220893,-0.00501711795829443,-0.00501711795829443
"MIR1199",-0.061060846503422,-0.0915317922737621,-0.0803249713529646,0.0931235541203484,-0.0620063665394419,0.0469359736890863,-0.0915317922737621,0.0620063665394419,-0.0620063665394419,0.0620063665394419,-0.062712248892383,0.0620063665394419,0,-0.0620063665394419,-0.0696908517552247,0.0469359736890863,-0.062712248892383,-0.062712248892383
"HAS2",0.0620063665394419,0.0928265371328634,0.0785300995580928,-0.0906455365344171,0.062712248892383,-0.0465551663775859,0.0928265371328634,-0.062712248892383,0.062712248892383,-0.062712248892383,-0.0409181141439206,-0.062712248892383,0,0.062712248892383,0.0673847720906544,-0.0465551663775859,0.0590818858560794,0.0590818858560794
"HA",-0.061060846503422,-0.0915317922737621,-0.0803249713529646,0.0931235541203484,-0.0620063665394419,0.0469359736890863,-0.0915317922737621,0.0620063665394419,-0.0620063665394419,0.0620063665394419,-0.062712248892383,0.0620063665394419,0,-0.0620063665394419,-0.0696908517552247,0.0469359736890863,-0.062712248892383,-0.062712248892383
"GRHL2",-0.140260906554453,-0.18078313593252,-0.163972141277708,0.119178170831113,-0.141140098999911,0.128005568741908,-0.18078313593252,0.141140098999911,-0.141140098999911,0.141140098999911,-0.140706447655592,0.141140098999911,0,-0.141140098999911,-0.154115022728276,0.128005568741908,-0.140706447655592,-0.240706447655592
"EXTGFB",-0.00866690906925406,-0.0671264712141761,-0.0824120305941361,0.0272685292010436,-0.0106023929402218,-0.0543507110819328,-0.0671264712141761,0.0106023929402218,-0.0106023929402218,0.0106023929402218,-0.0101942296749157,0.0106023929402218,0,-0.0106023929402218,-0.00612712387316207,-0.0543507110819328,-0.0101942296749157,-0.0101942296749157
"ESRP1",-0.0620063665394419,-0.0928265371328634,-0.0785300995580928,0.0906455365344171,-0.062712248892383,0.0465551663775859,-0.0928265371328634,0.062712248892383,-0.062712248892383,0.062712248892383,-0.0590818858560794,0.062712248892383,0,-0.062712248892383,-0.0673847720906544,0.0465551663775859,0.0409181141439206,-0.0590818858560794
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.061060846503422,-0.0915317922737621,-0.0803249713529646,0.0931235541203484,-0.0620063665394419,0.0469359736890863,-0.0915317922737621,0.0620063665394419,-0.0620063665394419,0.0620063665394419,-0.062712248892383,0.0620063665394419,0,-0.0620063665394419,-0.0696908517552247,0.0469359736890863,-0.062712248892383,-0.062712248892383
"CD24",0.061060846503422,0.0915317922737621,0.0803249713529646,-0.0931235541203484,0.0620063665394419,-0.0469359736890863,0.0915317922737621,-0.0620063665394419,0.0620063665394419,-0.0620063665394419,0.062712248892383,-0.0620063665394419,0,0.0620063665394419,0.0696908517552247,-0.0469359736890863,0.062712248892383,0.062712248892383
