"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00475223354000766,-0.114845318549928,0.00550164166530836,0.0892695240132955,0.104204333822259,-0.114845318549928,0.0925269842195055,0.104204333822259,-0.104204333822259,-0.104204333822259,-0.105059804331039,-0.104204333822259,0,-0.104204333822259,-0.0118216095615245,-0.0925269842195055,-0.105059804331039,0.105059804331039
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.0295111519943205,-0.0731010635323704,0.0910334297612086,0.067840337585659,-0.0271202601537133,-0.0731010635323704,-0.104614447106475,-0.0271202601537133,0.0271202601537133,0.0271202601537133,0.0309978111741215,0.0271202601537133,0,0.0271202601537133,-0.0857286810039079,0.104614447106475,0.0309978111741215,-0.0309978111741215
"SNAIL1",-0.0279940670659213,-0.0695756562870507,0.0929427376371035,-0.0286189441543512,-0.0295111519943205,-0.0695756562870507,-0.104152497191571,-0.0295111519943205,0.0295111519943205,0.0295111519943205,0.0271202601537133,0.0295111519943205,0,0.0295111519943205,-0.0888577553194229,0.104152497191571,0.0271202601537133,-0.0271202601537133
"MIR340",0.104204333822259,-0.116054995969283,0.00480816038930281,0.0880733517644917,0.105059804331039,-0.116054995969283,0.0924117768462336,0.105059804331039,-0.105059804331039,-0.105059804331039,-0.103883333742804,-0.105059804331039,0,-0.105059804331039,-0.0106791876270234,-0.0924117768462336,-0.103883333742804,0.103883333742804
"MIR34",0.0295111519943205,0.0731010635323704,-0.0910334297612086,-0.067840337585659,0.0271202601537133,0.0731010635323704,0.104614447106475,0.0271202601537133,-0.0271202601537133,-0.0271202601537133,-0.0309978111741215,-0.0271202601537133,0,-0.0271202601537133,0.0857286810039079,-0.104614447106475,-0.0309978111741215,0.0309978111741215
"MIR200",-0.111021577916596,0.211461366407021,-0.206724979756157,-0.121047406281553,-0.110428013405505,0.211461366407021,0.00781906078999112,-0.110428013405505,0.110428013405505,0.110428013405505,0.111496213898521,0.110428013405505,0,0.110428013405505,0.11032877292054,-0.00781906078999112,0.111496213898521,-0.111496213898521
"MIR190",-0.0271202601537133,-0.0674948053837394,0.194005828911952,0.0733883754746982,-0.0309978111741215,-0.0674948053837394,-0.103962556624076,-0.0309978111741215,0.0309978111741215,0.0309978111741215,0.0247307812013694,0.0309978111741215,0,0.0309978111741215,-0.0905982462212992,0.103962556624076,0.0247307812013694,-0.0247307812013694
"MIR1199",0.104204333822259,-0.116054995969283,0.00480816038930281,0.0880733517644917,0.105059804331039,-0.116054995969283,0.0924117768462336,0.105059804331039,-0.105059804331039,-0.105059804331039,-0.103883333742804,-0.105059804331039,0,-0.105059804331039,-0.0106791876270234,-0.0924117768462336,-0.103883333742804,0.103883333742804
"HAS2",-0.105059804331039,0.114150959411781,-0.00583380141494384,-0.0899118809411503,-0.103883333742804,0.114150959411781,-0.092792584157734,-0.103883333742804,0.103883333742804,0.103883333742804,0.205533498759305,0.103883333742804,0,0.103883333742804,0.0123563364739835,0.092792584157734,0.105533498759305,-0.105533498759305
"HA",-0.104204333822259,0.116054995969283,-0.00480816038930281,-0.0880733517644917,-0.105059804331039,0.116054995969283,-0.0924117768462336,-0.105059804331039,0.105059804331039,0.105059804331039,0.103883333742804,0.105059804331039,0,0.105059804331039,0.0106791876270234,0.0924117768462336,0.103883333742804,-0.103883333742804
"GRHL2",-0.00240214347368753,0.0121385897448225,-0.00403253809200771,-0.068727111083262,-0.00334646128547522,0.0121385897448225,0.00713389502512475,-0.00334646128547522,0.00334646128547522,0.00334646128547522,0.00204550725251772,0.00334646128547522,0,0.00334646128547522,0.00835132618385631,-0.00713389502512475,0.00204550725251772,-0.102045507252518
"EXTGFB",0.0295111519943205,0.0731010635323704,-0.0910334297612086,-0.067840337585659,0.0271202601537133,0.0731010635323704,0.104614447106475,0.0271202601537133,-0.0271202601537133,-0.0271202601537133,-0.0309978111741215,-0.0271202601537133,0,-0.0271202601537133,0.0857286810039079,-0.104614447106475,-0.0309978111741215,0.0309978111741215
"ESRP1",-0.105059804331039,0.114150959411781,-0.00583380141494384,-0.0899118809411503,-0.103883333742804,0.114150959411781,-0.092792584157734,-0.103883333742804,0.103883333742804,0.103883333742804,0.105533498759305,0.103883333742804,0,0.103883333742804,0.0123563364739835,0.092792584157734,0.205533498759305,-0.105533498759305
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.104204333822259,0.116054995969283,-0.00480816038930281,-0.0880733517644917,-0.105059804331039,0.116054995969283,-0.0924117768462336,-0.105059804331039,0.105059804331039,0.105059804331039,0.103883333742804,0.105059804331039,0,0.105059804331039,0.0106791876270234,0.0924117768462336,0.103883333742804,-0.103883333742804
"CD24",-0.104204333822259,0.116054995969283,-0.00480816038930281,-0.0880733517644917,-0.105059804331039,0.116054995969283,-0.0924117768462336,-0.105059804331039,0.105059804331039,0.105059804331039,0.103883333742804,0.105059804331039,0,0.105059804331039,0.0106791876270234,0.0924117768462336,0.103883333742804,-0.103883333742804
