"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.162663012574662,0.153671443752213,0.195172797455953,0.197186351745632,-0.260753665073417,-0.263907012332797,0.153671443752213,-0.260753665073417,0.260753665073417,-0.260753665073417,-0.258367352601557,-0.260753665073417,0,-0.260753665073417,0.054109719774163,-0.263907012332797,0.258367352601557,-0.258367352601557
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.0537332395675448,-0.063874420269547,-0.049645351836145,0.0706383017352157,-0.0462569587326302,-0.118186629939131,-0.063874420269547,-0.0462569587326302,0.0462569587326302,-0.0462569587326302,-0.0558487954673241,-0.0462569587326302,0,-0.0462569587326302,0.0862065355345865,-0.118186629939131,0.0558487954673241,-0.0558487954673241
"SNAIL1",0.0490118444165452,-0.0559726454093476,-0.0600669906587385,-0.0228366603285172,-0.0537332395675448,-0.119864237524834,-0.0559726454093476,-0.0537332395675448,0.0537332395675448,-0.0537332395675448,-0.0462569587326302,-0.0537332395675448,0,-0.0537332395675448,0.0910305251043387,-0.119864237524834,0.0462569587326302,-0.0462569587326302
"MIR340",0.260753665073417,0.153153010572489,0.192352640266864,0.195870562271948,-0.258367352601557,-0.261372450120816,0.153153010572489,-0.258367352601557,0.258367352601557,-0.258367352601557,-0.253896764366263,-0.258367352601557,0,-0.258367352601557,0.0529672978396619,-0.261372450120816,0.253896764366263,-0.253896764366263
"MIR34",-0.0537332395675448,0.063874420269547,0.049645351836145,-0.0706383017352157,0.0462569587326302,0.118186629939131,0.063874420269547,0.0462569587326302,-0.0462569587326302,0.0462569587326302,0.0558487954673241,0.0462569587326302,0,0.0462569587326302,-0.0862065355345865,0.118186629939131,-0.0558487954673241,0.0558487954673241
"MIR200",0.21284912271301,0.0416536637440907,0.162592245089777,0.190661728195735,-0.214129972447468,-0.316299949897965,0.0416536637440907,-0.214129972447468,0.214129972447468,-0.214129972447468,-0.206323891921585,-0.214129972447468,0,-0.214129972447468,0.138435431212531,-0.316299949897965,0.206323891921585,-0.206323891921585
"MIR190",-0.0462569587326302,0.0529226601652445,-0.0344310812848741,-0.0792986535620087,0.0558487954673241,0.119490410903928,0.0529226601652445,0.0558487954673241,-0.0558487954673241,0.0558487954673241,0.0403174603174603,0.0558487954673241,0,0.0558487954673241,-0.0924674050998038,0.119490410903928,-0.0403174603174603,0.0403174603174603
"MIR1199",0.260753665073417,0.153153010572489,0.192352640266864,0.195870562271948,-0.258367352601557,-0.261372450120816,0.153153010572489,-0.258367352601557,0.258367352601557,-0.258367352601557,-0.253896764366263,-0.258367352601557,0,-0.258367352601557,0.0529672978396619,-0.261372450120816,0.253896764366263,-0.253896764366263
"HAS2",-0.258367352601557,-0.151401296939588,-0.189019306933531,-0.19307280048138,0.253896764366263,0.257335892618911,-0.151401296939588,0.253896764366263,-0.253896764366263,0.253896764366263,0.347626137303557,0.253896764366263,0,0.253896764366263,-0.0504515745692216,0.257335892618911,-0.247626137303557,0.247626137303557
"HA",-0.260753665073417,-0.153153010572489,-0.192352640266864,-0.195870562271948,0.258367352601557,0.261372450120816,-0.153153010572489,0.258367352601557,-0.258367352601557,0.258367352601557,0.253896764366263,0.258367352601557,0,0.258367352601557,-0.0529672978396619,0.261372450120816,-0.253896764366263,0.253896764366263
"GRHL2",-0.370467292169256,-0.258517012121172,-0.300400685334334,-0.220696322022668,0.367504088001233,0.377517257488423,-0.258517012121172,0.367504088001233,-0.367504088001233,0.367504088001233,0.362560462675994,0.367504088001233,0,0.367504088001233,-0.0579917427953573,0.377517257488423,-0.362560462675994,0.462560462675994
"EXTGFB",-0.0537332395675448,0.063874420269547,0.049645351836145,-0.0706383017352157,0.0462569587326302,0.118186629939131,0.063874420269547,0.0462569587326302,-0.0462569587326302,0.0462569587326302,0.0558487954673241,0.0462569587326302,0,0.0462569587326302,-0.0862065355345865,0.118186629939131,-0.0558487954673241,0.0558487954673241
"ESRP1",0.258367352601557,0.151401296939588,0.189019306933531,0.19307280048138,-0.253896764366263,-0.257335892618911,0.151401296939588,-0.253896764366263,0.253896764366263,-0.253896764366263,-0.247626137303557,-0.253896764366263,0,-0.253896764366263,0.0504515745692216,-0.257335892618911,0.147626137303557,-0.247626137303557
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.260753665073417,-0.153153010572489,-0.192352640266864,-0.195870562271948,0.258367352601557,0.261372450120816,-0.153153010572489,0.258367352601557,-0.258367352601557,0.258367352601557,0.253896764366263,0.258367352601557,0,0.258367352601557,-0.0529672978396619,0.261372450120816,-0.253896764366263,0.253896764366263
"CD24",-0.260753665073417,-0.153153010572489,-0.192352640266864,-0.195870562271948,0.258367352601557,0.261372450120816,-0.153153010572489,0.258367352601557,-0.258367352601557,0.258367352601557,0.253896764366263,0.258367352601557,0,0.258367352601557,-0.0529672978396619,0.261372450120816,-0.253896764366263,0.253896764366263
