"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0522837909950719,-0.0745956901376914,-0.00179955273327733,-0.0649229533005955,-0.0480980785051772,0.0644553445686152,0.0745956901376914,-0.0480980785051772,0.0480980785051772,-0.0480980785051772,0.048863499486717,-0.0480980785051772,0,-0.0480980785051772,0.0753445380639587,0.0745956901376914,-0.048863499486717,0.048863499486717
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0132294186120533,0.0678707466133504,0.0725082801121495,0.0253407310674367,0.0124324546651843,0.0535468985430854,-0.0678707466133504,0.0124324546651843,-0.0124324546651843,0.0124324546651843,-0.0138610260937557,0.0124324546651843,0,0.0124324546651843,-0.0672188561309515,-0.0678707466133504,0.0138610260937557,-0.0138610260937557
"SNAIL1",-0.0128466027889993,0.0683813228350864,0.073462934050097,-0.0760755562365592,0.0132294186120533,0.0530363223213494,-0.0683813228350864,0.0132294186120533,-0.0132294186120533,0.0132294186120533,-0.0124324546651843,0.0132294186120533,0,0.0132294186120533,-0.0678707466133504,-0.0683813228350864,0.0124324546651843,-0.0124324546651843
"MIR340",-0.0480980785051772,0.0753445380639587,0.00156839230794215,0.0645641016259543,0.048863499486717,-0.064685759315159,-0.0753445380639587,0.048863499486717,-0.048863499486717,0.048863499486717,-0.0483929112514229,0.048863499486717,0,0.048863499486717,-0.074659084903258,-0.0753445380639587,0.0483929112514229,-0.0483929112514229
"MIR34",0.0132294186120533,-0.0678707466133504,-0.0725082801121495,-0.0253407310674367,-0.0124324546651843,-0.0535468985430854,0.0678707466133504,-0.0124324546651843,0.0124324546651843,-0.0124324546651843,0.0138610260937557,-0.0124324546651843,0,-0.0124324546651843,0.0672188561309515,0.0678707466133504,-0.0138610260937557,0.0138610260937557
"MIR200",-0.075025677081329,-0.000878514785427661,-0.191362007614245,-0.0327329300741655,0.0751193977936064,-0.165334095966709,0.000878514785427661,0.0751193977936064,-0.0751193977936064,0.0751193977936064,-0.0748728899875259,0.0751193977936064,0,0.0751193977936064,0.00225563342949546,0.000878514785427661,0.0748728899875259,-0.0748728899875259
"MIR190",0.0124324546651843,-0.0672188561309515,-0.174419108137627,-0.0253407310674367,-0.0138610260937557,-0.0510697147099693,0.0672188561309515,-0.0138610260937557,0.0138610260937557,-0.0138610260937557,0.013588546529723,-0.0138610260937557,0,-0.0138610260937557,0.0701753778700819,0.0672188561309515,-0.013588546529723,0.013588546529723
"MIR1199",-0.0480980785051772,0.0753445380639587,0.00156839230794215,0.0645641016259543,0.048863499486717,-0.064685759315159,-0.0753445380639587,0.048863499486717,-0.048863499486717,0.048863499486717,-0.0483929112514229,0.048863499486717,0,0.048863499486717,-0.074659084903258,-0.0753445380639587,0.0483929112514229,-0.0483929112514229
"HAS2",0.048863499486717,-0.074659084903258,-0.00105557179512163,-0.065283526086386,-0.0483929112514229,0.0647619207774591,0.074659084903258,-0.0483929112514229,0.0483929112514229,-0.0483929112514229,-0.0525971877584781,-0.0483929112514229,0,-0.0483929112514229,0.0731915796621679,0.074659084903258,-0.0474028122415219,0.0474028122415219
"HA",-0.0480980785051772,0.0753445380639587,0.00156839230794215,0.0645641016259543,0.048863499486717,-0.064685759315159,-0.0753445380639587,0.048863499486717,-0.048863499486717,0.048863499486717,-0.0483929112514229,0.048863499486717,0,0.048863499486717,-0.074659084903258,-0.0753445380639587,0.0483929112514229,-0.0483929112514229
"GRHL2",0.0181474317647267,-0.00566534569735754,0.00272124731243251,0.0579364027975353,-0.0174636154182598,0.0178664636568251,0.00566534569735754,-0.0174636154182598,0.0174636154182598,-0.0174636154182598,0.0175503456871236,-0.0174636154182598,0,-0.0174636154182598,0.00577707754093296,0.00566534569735754,-0.0175503456871236,-0.0824496543128764
"EXTGFB",-0.0132294186120533,0.0678707466133504,0.0725082801121495,0.0253407310674367,0.0124324546651843,0.0535468985430854,-0.0678707466133504,0.0124324546651843,-0.0124324546651843,0.0124324546651843,-0.0138610260937557,0.0124324546651843,0,0.0124324546651843,-0.0672188561309515,-0.0678707466133504,0.0138610260937557,-0.0138610260937557
"ESRP1",0.048863499486717,-0.074659084903258,-0.00105557179512163,-0.065283526086386,-0.0483929112514229,0.0647619207774591,0.074659084903258,-0.0483929112514229,0.0483929112514229,-0.0483929112514229,0.0474028122415219,-0.0483929112514229,0,-0.0483929112514229,0.0731915796621679,0.074659084903258,0.0525971877584781,0.0474028122415219
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",0.0480980785051772,-0.0753445380639587,-0.00156839230794215,-0.0645641016259543,-0.048863499486717,0.064685759315159,0.0753445380639587,-0.048863499486717,0.048863499486717,-0.048863499486717,0.0483929112514229,-0.048863499486717,0,-0.048863499486717,0.074659084903258,0.0753445380639587,-0.0483929112514229,0.0483929112514229
"CD24",-0.0480980785051772,0.0753445380639587,0.00156839230794215,0.0645641016259543,0.048863499486717,-0.064685759315159,-0.0753445380639587,0.048863499486717,-0.048863499486717,0.048863499486717,-0.0483929112514229,0.048863499486717,0,0.048863499486717,-0.074659084903258,-0.0753445380639587,0.0483929112514229,-0.0483929112514229
