"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.178771124516809,-0.196886648122204,-0.0164735182085626,-0.159835243324906,-0.233461478161172,0.232871525163789,-0.232871525163789,-0.233461478161172,-0.233461478161172,-0.233461478161172,-0.274929285455184,0.233461478161172,0,-0.233461478161172,0,0.196886648122204,0.274929285455184,-0.274929285455184
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0926500641568045,0.101846325533114,-0.0778699849201916,-0.0130218946546608,0.0297658136824212,0.0684811567282383,-0.0684811567282383,0.0297658136824212,0.0297658136824212,0.0297658136824212,0.0965005075599722,-0.0297658136824212,0,0.0297658136824212,0,-0.101846325533114,-0.0965005075599722,0.0965005075599722
"SNAIL1",0.0360642141638937,-0.123120334772112,0.0905191495979959,-0.0392289905249042,-0.0926500641568045,-0.00918137554661905,0.00918137554661905,-0.0926500641568045,-0.0926500641568045,-0.0926500641568045,-0.0297658136824212,0.0926500641568045,0,-0.0926500641568045,0,0.123120334772112,0.0297658136824212,-0.0297658136824212
"MIR340",-0.233461478161172,0.210481118168286,0.0069959407698201,0.12371084141103,0.274929285455184,-0.272330050509411,0.272330050509411,0.274929285455184,0.274929285455184,0.274929285455184,0.217988108984596,-0.274929285455184,0,0.274929285455184,0,-0.210481118168286,-0.217988108984596,0.217988108984596
"MIR34",-0.0926500641568045,0.101846325533114,-0.0778699849201916,-0.0130218946546608,0.0297658136824212,0.0684811567282383,-0.0684811567282383,0.0297658136824212,0.0297658136824212,0.0297658136824212,0.0965005075599722,-0.0297658136824212,0,0.0297658136824212,0,-0.101846325533114,-0.0965005075599722,0.0965005075599722
"MIR200",-0.199120612732507,0.286019754940815,0.004350724474947,-0.0088778906038639,0.248323986678149,-0.144367822473108,0.144367822473108,0.248323986678149,0.248323986678149,0.248323986678149,0.185957511739776,-0.248323986678149,0,0.248323986678149,0,-0.286019754940815,-0.185957511739776,0.185957511739776
"MIR190",0.0297658136824212,-0.123749845741719,-0.00790496200125215,0.065931231596474,-0.0965005075599722,-0.0051174018390597,0.0051174018390597,-0.0965005075599722,-0.0965005075599722,-0.0965005075599722,-0.0215686274509804,0.0965005075599722,0,-0.0965005075599722,0,0.123749845741719,0.0215686274509804,-0.0215686274509804
"MIR1199",-0.233461478161172,0.210481118168286,0.0069959407698201,0.12371084141103,0.274929285455184,-0.272330050509411,0.272330050509411,0.274929285455184,0.274929285455184,0.274929285455184,0.217988108984596,-0.274929285455184,0,0.274929285455184,0,-0.210481118168286,-0.217988108984596,0.217988108984596
"HAS2",0.274929285455184,-0.189232070186565,-0.0159702997441791,-0.159602128381454,-0.217988108984596,0.219854802984659,-0.219854802984659,-0.217988108984596,-0.217988108984596,-0.217988108984596,-0.163862696443342,0.217988108984596,0,-0.217988108984596,0,0.189232070186565,0.263862696443342,-0.263862696443342
"HA",0.233461478161172,-0.210481118168286,-0.0069959407698201,-0.12371084141103,-0.274929285455184,0.272330050509411,-0.272330050509411,-0.274929285455184,-0.274929285455184,-0.274929285455184,-0.217988108984596,0.274929285455184,0,-0.274929285455184,0,0.210481118168286,0.217988108984596,-0.217988108984596
"GRHL2",0.43774667399983,-0.339415351232421,-0.0197642234862636,-0.153879631819674,-0.451976566542975,0.423737201220623,-0.423737201220623,-0.451976566542975,-0.451976566542975,-0.451976566542975,-0.422054623784953,0.451976566542975,0,-0.451976566542975,0,0.339415351232421,0.422054623784953,-0.522054623784953
"EXTGFB",0.0926500641568045,-0.101846325533114,0.0778699849201916,0.0130218946546608,-0.0297658136824212,-0.0684811567282383,0.0684811567282383,-0.0297658136824212,-0.0297658136824212,-0.0297658136824212,-0.0965005075599722,0.0297658136824212,0,-0.0297658136824212,0,0.101846325533114,0.0965005075599722,-0.0965005075599722
"ESRP1",0.274929285455184,-0.189232070186565,-0.0159702997441791,-0.159602128381454,-0.217988108984596,0.219854802984659,-0.219854802984659,-0.217988108984596,-0.217988108984596,-0.217988108984596,-0.263862696443342,0.217988108984596,0,-0.217988108984596,0,0.189232070186565,0.163862696443342,-0.263862696443342
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.233461478161172,0.210481118168286,0.0069959407698201,0.12371084141103,0.274929285455184,-0.272330050509411,0.272330050509411,0.274929285455184,0.274929285455184,0.274929285455184,0.217988108984596,-0.274929285455184,0,0.274929285455184,0,-0.210481118168286,-0.217988108984596,0.217988108984596
"CD24",-0.233461478161172,0.210481118168286,0.0069959407698201,0.12371084141103,0.274929285455184,-0.272330050509411,0.272330050509411,0.274929285455184,0.274929285455184,0.274929285455184,0.217988108984596,-0.274929285455184,0,0.274929285455184,0,-0.210481118168286,-0.217988108984596,0.217988108984596
