"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0328680284319208,-0.0593162538748594,-0.0352024256265517,-0.218222369557891,0.131191123235175,-0.182000872398835,-0.0593162538748594,-0.131191123235175,-0.131191123235175,-0.131191123235175,0.128984909817795,0.131191123235175,0,-0.131191123235175,-0.0591821710131399,0.182000872398835,0.128984909817795,-0.128984909817795
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.356786321806564,-0.154138852538672,0.249632353080294,0.697146248493454,-0.348095619719277,0.535204044418929,-0.154138852538672,0.348095619719277,0.348095619719277,0.348095619719277,-0.336667048290706,-0.348095619719277,0,0.348095619719277,0.333458932181538,-0.535204044418929,-0.336667048290706,0.336667048290706
"SNAIL1",-0.36343597443665,-0.157129370408839,0.256474039635584,0.615355656687687,-0.356786321806564,0.549329986553624,-0.157129370408839,0.356786321806564,0.356786321806564,0.356786321806564,-0.348095619719277,-0.356786321806564,0,0.356786321806564,0.3446714484788,-0.549329986553624,-0.348095619719277,0.348095619719277
"MIR340",0.131191123235175,-0.0600651018011267,-0.0334918384790713,-0.213617106399996,0.128984909817795,-0.178429443827406,-0.0600651018011267,-0.128984909817795,-0.128984909817795,-0.128984909817795,0.126161380406031,0.128984909817795,0,-0.128984909817795,-0.0563641969080371,0.178429443827406,0.126161380406031,-0.126161380406031
"MIR34",-0.356786321806564,-0.154138852538672,0.249632353080294,0.697146248493454,-0.348095619719277,0.535204044418929,-0.154138852538672,0.348095619719277,0.348095619719277,0.348095619719277,-0.336667048290706,-0.348095619719277,0,0.348095619719277,0.333458932181538,-0.535204044418929,-0.336667048290706,0.336667048290706
"MIR200",0.218695317932305,0.0427479608234916,-0.265866959008696,-0.438954993948296,0.21366563970675,-0.385584165835639,0.0427479608234916,-0.21366563970675,-0.21366563970675,-0.21366563970675,0.207174267479963,0.21366563970675,0,-0.21366563970675,-0.207757165024481,0.385584165835639,0.207174267479963,-0.207174267479963
"MIR190",-0.348095619719277,-0.150227509644278,0.340715155628065,0.673330280969773,-0.336667048290706,0.516690354718799,-0.150227509644278,0.336667048290706,0.336667048290706,0.336667048290706,-0.321680672268908,-0.336667048290706,0,0.336667048290706,0.318850236529364,-0.516690354718799,-0.321680672268908,0.321680672268908
"MIR1199",-0.131191123235175,0.0600651018011267,0.0334918384790713,0.213617106399996,-0.128984909817795,0.178429443827406,0.0600651018011267,0.128984909817795,0.128984909817795,0.128984909817795,-0.126161380406031,-0.128984909817795,0,0.128984909817795,0.0563641969080371,-0.178429443827406,-0.126161380406031,0.126161380406031
"HAS2",0.128984909817795,-0.0610552008110277,-0.031184146171379,-0.207621902563066,0.126161380406031,-0.173783594627102,-0.0610552008110277,-0.126161380406031,-0.126161380406031,-0.126161380406031,0.022531017369727,0.126161380406031,0,-0.126161380406031,-0.0525906120023767,0.173783594627102,0.122531017369727,-0.122531017369727
"HA",-0.131191123235175,0.0600651018011267,0.0334918384790713,0.213617106399996,-0.128984909817795,0.178429443827406,0.0600651018011267,0.128984909817795,0.128984909817795,0.128984909817795,-0.126161380406031,-0.128984909817795,0,0.128984909817795,0.0563641969080371,-0.178429443827406,-0.126161380406031,0.126161380406031
"GRHL2",-0.0149812601468274,-0.0199793634110387,0.0161749447074371,0.130085271608977,-0.0141671930677001,0.0389642751002783,-0.0199793634110387,0.0141671930677001,0.0141671930677001,0.0141671930677001,-0.0130396995724703,-0.0141671930677001,0,0.0141671930677001,0.028410366741692,-0.0389642751002783,-0.0130396995724703,-0.0869603004275297
"EXTGFB",-0.356786321806564,-0.154138852538672,0.249632353080294,0.697146248493454,-0.348095619719277,0.535204044418929,-0.154138852538672,0.348095619719277,0.348095619719277,0.348095619719277,-0.336667048290706,-0.348095619719277,0,0.348095619719277,0.333458932181538,-0.535204044418929,-0.336667048290706,0.336667048290706
"ESRP1",0.128984909817795,-0.0610552008110277,-0.031184146171379,-0.207621902563066,0.126161380406031,-0.173783594627102,-0.0610552008110277,-0.126161380406031,-0.126161380406031,-0.126161380406031,0.122531017369727,0.126161380406031,0,-0.126161380406031,-0.0525906120023767,0.173783594627102,0.022531017369727,-0.122531017369727
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.131191123235175,0.0600651018011267,0.0334918384790713,0.213617106399996,-0.128984909817795,0.178429443827406,0.0600651018011267,0.128984909817795,0.128984909817795,0.128984909817795,-0.126161380406031,-0.128984909817795,0,0.128984909817795,0.0563641969080371,-0.178429443827406,-0.126161380406031,0.126161380406031
"CD24",-0.131191123235175,0.0600651018011267,0.0334918384790713,0.213617106399996,-0.128984909817795,0.178429443827406,0.0600651018011267,0.128984909817795,0.128984909817795,0.128984909817795,-0.126161380406031,-0.128984909817795,0,0.128984909817795,0.0563641969080371,-0.178429443827406,-0.126161380406031,0.126161380406031
