"","MIR340","MIR1199","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","TGFB","ZEB1","SNAIL1","CD44s","MIR190","HAS2"
"MIR340",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0952047743711571,0.0952047743711571,-0.00234174542856215,-0.102279094324422,-0.0679580494814269,-0.102234069560802,-0.102234069560802,-0.102234069560802
"HA",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0952047743711571,0.0952047743711571,-0.00234174542856215,-0.102279094324422,-0.0679580494814269,-0.102234069560802,-0.102234069560802,-0.102234069560802
"CD44s",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0952047743711571,0.0952047743711571,-0.00234174542856215,-0.102279094324422,-0.0679580494814269,-0.102234069560802,-0.102234069560802,-0.102234069560802
"CD24",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0952047743711571,0.0952047743711571,-0.00234174542856215,-0.102279094324422,-0.0679580494814269,-0.102234069560802,-0.102234069560802,-0.102234069560802
"SNAIL1",0.0879772002362028,0.0879772002362028,0.0879772002362028,0.0879772002362028,0.0879392495720662,0.0879392495720662,0.0907857682310478,0.0907857682310478,0.065150882757083,-0.0880197353276533,-0.105064365752063,-0.0879392495720662,-0.0879772002362028,-0.0879772002362028
"MIR200",0.0845122093613147,0.0845122093613147,0.0845122093613147,0.0845122093613147,0.0844300400926212,0.0844300400926212,-0.00194919606223569,-0.00194919606223569,0.00590439724622044,-0.0846059300735921,-0.0781515675357891,-0.0844300400926212,-0.0845122093613147,-0.0845122093613147
"GRHL2",-0.000933956553115058,-0.000933956553115058,-0.000933956553115058,-0.000933956553115058,-0.000847226284251225,0.0991527737157488,0.00577984324799967,0.00577984324799967,0.00295649808753943,0.000966519236280151,0.0596614075787238,0.000847226284251225,0.000933956553115058,0.000933956553115058
"ZEB1",-0.102279094324422,-0.102279094324422,-0.102279094324422,-0.102279094324422,-0.102234069560802,-0.102234069560802,-0.0952623780577931,-0.0952623780577931,0.00229551334349511,0.00229569734617218,0.0680178580938671,0.102234069560802,0.102279094324422,0.102279094324422
"MIR190",-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.088415810768752,-0.088415810768752,-0.0907128287707998,-0.0907128287707998,0.0347163575126929,0.0879392495720662,0.00519968374935701,0.088415810768752,0.0881433312047193,0.0881433312047193
"TGFB",-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0881433312047193,-0.0881433312047193,-0.0907128287707998,-0.0907128287707998,-0.065071328262254,0.0879772002362028,0.00506436575206337,0.0881433312047193,0.0879392495720662,0.0879392495720662
"MIR34",-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0881433312047193,-0.0881433312047193,-0.0907128287707998,-0.0907128287707998,-0.065071328262254,0.0879772002362028,0.00506436575206337,0.0881433312047193,0.0879392495720662,0.0879392495720662
"HAS2",-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.202564102564103,-0.102564102564103,-0.0951286129088571,-0.0951286129088571,0.00234174542856215,0.102234069560802,0.068037985532586,0.102564102564103,0.102234069560802,0.102234069560802
"ESRP1",-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102564102564103,-0.102564102564103,-0.0951286129088571,-0.0951286129088571,0.00234174542856215,0.102234069560802,0.068037985532586,0.00256410256410256,0.102234069560802,0.102234069560802
"MIR1199",-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.0952047743711571,-0.0952047743711571,0.00234174542856215,0.102279094324422,0.0679580494814269,0.102234069560802,0.102234069560802,0.102234069560802
