"","MIR190","HAS2","ESRP1","CD24","MIR34","MIR200","TGFB","ZEB1","SNAIL1","HA","CD44s","MIR340","MIR1199","GRHL2"
"GRHL2",0.238126429841334,0.238126429841334,0.238126429841334,0.13803969957247,0.249596860374151,0.249596860374151,0.0132574415319215,-0.23841949398982,-0.11210280443785,-0.23803969957247,-0.23803969957247,-0.238126429841334,-0.238126429841334,-0.238126429841334
"MIR1199",0.154931810682163,0.154931810682163,0.154931810682163,0.15516710479981,0.143678789254442,0.143678789254442,0.00480816038930281,-0.155427083081983,-0.0881855730026199,-0.15516710479981,-0.15516710479981,-0.154931810682163,-0.154931810682163,-0.154931810682163
"HAS2",0.15516710479981,0.15516710479981,0.15516710479981,0.154177005789909,0.142536367319941,0.142536367319941,0.00583380141494384,-0.154931810682163,-0.0903438463839149,-0.254177005789909,-0.154177005789909,-0.15516710479981,-0.15516710479981,-0.15516710479981
"ESRP1",0.15516710479981,0.15516710479981,0.15516710479981,0.154177005789909,0.142536367319941,0.142536367319941,0.00583380141494384,-0.154931810682163,-0.0903438463839149,-0.154177005789909,-0.254177005789909,-0.15516710479981,-0.15516710479981,-0.15516710479981
"MIR34",0.119377752917698,0.119377752917698,0.119377752917698,0.120398161080963,0.151297067854225,0.151297067854225,0.0911818672136812,-0.12025061819284,-0.0690360984081841,-0.120398161080963,-0.120398161080963,-0.119377752917698,-0.119377752917698,-0.119377752917698
"MIR190",0.120398161080963,0.120398161080963,0.120398161080963,0.117945845004669,0.14816799353871,0.14816799353871,-0.00542110518546953,-0.119377752917698,-0.0758019982728661,-0.117945845004669,-0.117945845004669,-0.120398161080963,-0.120398161080963,-0.120398161080963
"MIR200",0.111278588081183,0.111278588081183,0.111278588081183,0.112182450036812,0.0118654421297186,0.0118654421297186,0.00214346869172936,-0.111934633067125,0.035710196003709,-0.112182450036812,-0.112182450036812,-0.111278588081183,-0.111278588081183,-0.111278588081183
"ZEB1",-0.155427083081983,-0.155427083081983,-0.155427083081983,-0.154931810682163,-0.143217959761355,-0.143217959761355,-0.00559410583544243,0.0553108619297331,0.0896807883136247,0.154931810682163,0.154931810682163,0.155427083081983,0.155427083081983,0.155427083081983
"SNAIL1",-0.12025061819284,-0.12025061819284,-0.12025061819284,-0.119377752917698,-0.149424955041193,-0.149424955041193,-0.093488947563721,0.119782732186885,-0.0264115495432575,0.119377752917698,0.119377752917698,0.12025061819284,0.12025061819284,0.12025061819284
"TGFB",-0.119377752917698,-0.119377752917698,-0.119377752917698,-0.120398161080963,-0.151297067854225,-0.151297067854225,-0.0911818672136812,0.12025061819284,0.0690360984081841,0.120398161080963,0.120398161080963,0.119377752917698,0.119377752917698,0.119377752917698
"MIR340",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.143678789254442,-0.143678789254442,-0.00480816038930281,0.155427083081983,0.0881855730026199,0.15516710479981,0.15516710479981,0.154931810682163,0.154931810682163,0.154931810682163
"HA",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.143678789254442,-0.143678789254442,-0.00480816038930281,0.155427083081983,0.0881855730026199,0.15516710479981,0.15516710479981,0.154931810682163,0.154931810682163,0.154931810682163
"CD44s",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.143678789254442,-0.143678789254442,-0.00480816038930281,0.155427083081983,0.0881855730026199,0.15516710479981,0.15516710479981,0.154931810682163,0.154931810682163,0.154931810682163
"CD24",-0.154931810682163,-0.154931810682163,-0.154931810682163,-0.15516710479981,-0.143678789254442,-0.143678789254442,-0.00480816038930281,0.155427083081983,0.0881855730026199,0.15516710479981,0.15516710479981,0.154931810682163,0.154931810682163,0.154931810682163
