"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.141108521026743,0.179971014146362,-0.0161817731080816,0.155182229438206,-0.216851506250053,-0.225583838110717,-0.179971014146362,-0.216851506250053,0.216851506250053,-0.216851506250053,-0.242830794858788,-0.216851506250053,0,-0.216851506250053,0,0.179971014146362,-0.242830794858788,0.242830794858788
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.214083890468281,0.188589860068718,0.0844467459390658,-0.0363729609527007,-0.199017476806042,-0.0302946202129759,-0.188589860068718,-0.199017476806042,0.199017476806042,-0.199017476806042,-0.211670538030532,-0.199017476806042,0,-0.199017476806042,0,0.188589860068718,-0.211670538030532,0.211670538030532
"SNAIL1",-0.204144857432693,-0.193914440666821,-0.0869129352787635,-0.0554328053598942,0.214083890468281,0.0442746834271748,0.193914440666821,0.214083890468281,-0.214083890468281,0.214083890468281,0.199017476806042,0.214083890468281,0,0.214083890468281,0,-0.193914440666821,0.199017476806042,-0.199017476806042
"MIR340",-0.216851506250053,-0.189072396634841,0.00984797745389763,-0.135505195945383,0.242830794858788,0.249719782811177,0.189072396634841,0.242830794858788,-0.242830794858788,0.242830794858788,0.206595500741141,0.242830794858788,0,0.242830794858788,0,-0.189072396634841,0.206595500741141,-0.206595500741141
"MIR34",0.214083890468281,0.188589860068718,0.0844467459390658,-0.0363729609527007,-0.199017476806042,-0.0302946202129759,-0.188589860068718,-0.199017476806042,0.199017476806042,-0.199017476806042,-0.211670538030532,-0.199017476806042,0,-0.199017476806042,0,0.188589860068718,-0.211670538030532,0.211670538030532
"MIR200",-0.244379544920983,-0.295613207600179,-0.192146956112433,-0.00220605048283308,0.266278951356472,0.147603064561308,0.295613207600179,0.266278951356472,-0.266278951356472,0.266278951356472,0.233657751685149,0.266278951356472,0,0.266278951356472,0,-0.295613207600179,0.233657751685149,-0.233657751685149
"MIR190",0.199017476806042,0.192631581059591,0.188693030440127,-0.0484162627118346,-0.211670538030532,-0.0424197831855965,-0.192631581059591,-0.211670538030532,0.211670538030532,-0.211670538030532,-0.187419856831622,-0.211670538030532,0,-0.211670538030532,0,0.192631581059591,-0.187419856831622,0.187419856831622
"MIR1199",0.216851506250053,0.189072396634841,-0.00984797745389763,0.135505195945383,-0.242830794858788,-0.249719782811177,-0.189072396634841,-0.242830794858788,0.242830794858788,-0.242830794858788,-0.206595500741141,-0.242830794858788,0,-0.242830794858788,0,0.189072396634841,-0.206595500741141,0.206595500741141
"HAS2",-0.242830794858788,-0.176048786581528,0.0160018236077438,-0.156368505297901,0.206595500741141,0.215827932087644,0.176048786581528,0.206595500741141,-0.206595500741141,0.206595500741141,0.341248966087676,0.206595500741141,0,0.206595500741141,0,-0.176048786581528,0.241248966087676,-0.241248966087676
"HA",-0.216851506250053,-0.189072396634841,0.00984797745389763,-0.135505195945383,0.242830794858788,0.249719782811177,0.189072396634841,0.242830794858788,-0.242830794858788,0.242830794858788,0.206595500741141,0.242830794858788,0,0.242830794858788,0,-0.189072396634841,0.206595500741141,-0.206595500741141
"GRHL2",-0.0627014398311937,-0.0546957160584138,0.00554327714193488,-0.0857474972208716,0.0915194144323008,0.0976707719329648,0.0546957160584138,0.0915194144323008,-0.0915194144323008,0.0915194144323008,0.0556998133915376,0.0915194144323008,0,0.0915194144323008,0,-0.0546957160584138,0.0556998133915376,-0.155699813391538
"EXTGFB",-0.214083890468281,-0.188589860068718,-0.0844467459390658,0.0363729609527007,0.199017476806042,0.0302946202129759,0.188589860068718,0.199017476806042,-0.199017476806042,0.199017476806042,0.211670538030532,0.199017476806042,0,0.199017476806042,0,-0.188589860068718,0.211670538030532,-0.211670538030532
"ESRP1",0.242830794858788,0.176048786581528,-0.0160018236077438,0.156368505297901,-0.206595500741141,-0.215827932087644,-0.176048786581528,-0.206595500741141,0.206595500741141,-0.206595500741141,-0.241248966087676,-0.206595500741141,0,-0.206595500741141,0,0.176048786581528,-0.141248966087676,0.241248966087676
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.216851506250053,0.189072396634841,-0.00984797745389763,0.135505195945383,-0.242830794858788,-0.249719782811177,-0.189072396634841,-0.242830794858788,0.242830794858788,-0.242830794858788,-0.206595500741141,-0.242830794858788,0,-0.242830794858788,0,0.189072396634841,-0.206595500741141,0.206595500741141
"CD24",-0.216851506250053,-0.189072396634841,0.00984797745389763,-0.135505195945383,0.242830794858788,0.249719782811177,0.189072396634841,0.242830794858788,-0.242830794858788,0.242830794858788,0.206595500741141,0.242830794858788,0,0.242830794858788,0,-0.189072396634841,0.206595500741141,-0.206595500741141
