"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0475091966263316,-0.112642404544898,-0.00631093145227007,-0.0927351863521897,-0.147293357343582,-0.139255067520569,-0.112642404544898,-0.147293357343582,-0.147293357343582,-0.147293357343582,0.147878679270642,-0.147293357343582,0,0.147293357343582,-0.113276045097893,0.112642404544898,-0.147878679270642,0.147878679270642
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.0327192953690613,-0.0755299577034621,0.0968229856018058,0.0879265976617928,0.0330608513462909,0.113833855055668,-0.0755299577034621,0.0330608513462909,0.0330608513462909,0.0330608513462909,-0.0314281982850664,0.0330608513462909,0,-0.0330608513462909,-0.0769641167647398,0.0755299577034621,0.0314281982850664,-0.0314281982850664
"SNAIL1",-0.0325633333670763,-0.0756515234705421,0.0965843221173189,-0.0114664220650661,0.0327192953690613,0.11351778406126,-0.0756515234705421,0.0327192953690613,0.0327192953690613,0.0327192953690613,-0.0330608513462909,0.0327192953690613,0,-0.0327192953690613,-0.0755299577034621,0.0756515234705421,0.0330608513462909,-0.0330608513462909
"MIR340",0.147293357343582,-0.113276045097893,-0.00663455604773933,-0.0927351863521897,-0.147878679270642,-0.139370274893841,-0.113276045097893,-0.147878679270642,-0.147878679270642,-0.147878679270642,0.146702208682407,-0.147878679270642,0,0.147878679270642,-0.111981300238792,0.113276045097893,-0.146702208682407,0.146702208682407
"MIR34",-0.0327192953690613,-0.0755299577034621,0.0968229856018058,0.0879265976617928,0.0330608513462909,0.113833855055668,-0.0755299577034621,0.0330608513462909,0.0330608513462909,0.0330608513462909,-0.0314281982850664,0.0330608513462909,0,-0.0330608513462909,-0.0769641167647398,0.0755299577034621,0.0314281982850664,-0.0314281982850664
"MIR200",-0.136192327815909,0.207184505496531,-0.196479986917794,-0.0388635881991307,0.137098294701258,0.0230123801602498,0.207184505496531,0.137098294701258,0.137098294701258,0.137098294701258,-0.135208401521307,0.137098294701258,0,-0.137098294701258,0.205065861428734,-0.207184505496531,0.135208401521307,-0.135208401521307
"MIR190",-0.0330608513462909,-0.0769641167647398,0.19576141447654,0.08819723365638,0.0314281982850664,0.113181964573269,-0.0769641167647398,0.0314281982850664,0.0314281982850664,0.0314281982850664,-0.0349704326174914,0.0314281982850664,0,-0.0314281982850664,-0.0729641167647398,0.0769641167647398,0.0349704326174914,-0.0349704326174914
"MIR1199",0.147293357343582,-0.113276045097893,-0.00663455604773933,-0.0927351863521897,-0.147878679270642,-0.139370274893841,-0.113276045097893,-0.147878679270642,-0.147878679270642,-0.147878679270642,0.146702208682407,-0.147878679270642,0,0.147878679270642,-0.111981300238792,0.113276045097893,-0.146702208682407,0.146702208682407
"HAS2",0.147878679270642,-0.111981300238792,-0.00586532527850856,-0.092015761891758,-0.146702208682407,-0.13914179050694,-0.111981300238792,-0.146702208682407,-0.146702208682407,-0.146702208682407,0.0476923076923077,-0.146702208682407,0,0.146702208682407,-0.113868092691622,0.111981300238792,-0.147692307692308,0.147692307692308
"HA",-0.147293357343582,0.113276045097893,0.00663455604773933,0.0927351863521897,0.147878679270642,0.139370274893841,0.113276045097893,0.147878679270642,0.147878679270642,0.147878679270642,-0.146702208682407,0.147878679270642,0,-0.147878679270642,0.111981300238792,-0.113276045097893,0.146702208682407,-0.146702208682407
"GRHL2",-0.228342253771923,0.193552730807816,0.0143555240901479,0.116260888687984,0.228439941821418,0.244256913170516,0.193552730807816,0.228439941821418,0.228439941821418,0.228439941821418,-0.227832829939371,0.228439941821418,0,-0.228439941821418,0.193105803433514,-0.193552730807816,0.227832829939371,-0.327832829939371
"EXTGFB",0.0327192953690613,0.0755299577034621,-0.0968229856018058,-0.0879265976617928,-0.0330608513462909,-0.113833855055668,0.0755299577034621,-0.0330608513462909,-0.0330608513462909,-0.0330608513462909,0.0314281982850664,-0.0330608513462909,0,0.0330608513462909,0.0769641167647398,-0.0755299577034621,-0.0314281982850664,0.0314281982850664
"ESRP1",0.147878679270642,-0.111981300238792,-0.00586532527850856,-0.092015761891758,-0.146702208682407,-0.13914179050694,-0.111981300238792,-0.146702208682407,-0.146702208682407,-0.146702208682407,0.147692307692308,-0.146702208682407,0,0.146702208682407,-0.113868092691622,0.111981300238792,-0.247692307692308,0.147692307692308
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.147293357343582,0.113276045097893,0.00663455604773933,0.0927351863521897,0.147878679270642,0.139370274893841,0.113276045097893,0.147878679270642,0.147878679270642,0.147878679270642,-0.146702208682407,0.147878679270642,0,-0.147878679270642,0.111981300238792,-0.113276045097893,0.146702208682407,-0.146702208682407
"CD24",0.147293357343582,-0.113276045097893,-0.00663455604773933,-0.0927351863521897,-0.147878679270642,-0.139370274893841,-0.113276045097893,-0.147878679270642,-0.147878679270642,-0.147878679270642,0.146702208682407,-0.147878679270642,0,0.147878679270642,-0.111981300238792,0.113276045097893,-0.146702208682407,0.146702208682407
