"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.0169409697846267,0.0583441365145705,-0.121277585719361,0.16040364385635,0.0819466277581261,0.144023312075432,-0.144023312075432,-0.0819466277581261,-0.0819466277581261,-0.0819466277581261,0.0832523459031058,-0.0819466277581261,0,-0.0819466277581261,0,-0.0583441365145705,0.0832523459031058,0.0832523459031058
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",0.13284081993916,0.142310776498785,-0.00918918421138499,-0.0359501568863609,0.132043855992291,-0.00531612113020617,0.00531612113020617,-0.132043855992291,-0.132043855992291,-0.132043855992291,0.13530916211474,-0.132043855992291,0,-0.132043855992291,0,-0.142310776498785,0.13530916211474,0.13530916211474
"SNAIL1",-0.131975939746334,-0.143015857947849,0.00656388588202938,-0.0638980980453538,-0.13284081993916,0.00500005013579819,-0.00500005013579819,0.13284081993916,0.13284081993916,0.13284081993916,-0.132043855992291,0.13284081993916,0,0.13284081993916,0,0.143015857947849,-0.132043855992291,-0.132043855992291
"MIR340",0.0819466277581261,0.0590929844408377,-0.120676568613489,0.161599816105154,0.0832523459031058,0.144944971061607,-0.144944971061607,-0.0832523459031058,-0.0832523459031058,-0.0832523459031058,0.0816052870795764,-0.0832523459031058,0,-0.0832523459031058,0,-0.0590929844408377,0.0816052870795764,0.0816052870795764
"MIR34",-0.13284081993916,-0.142310776498785,0.00918918421138499,0.0359501568863609,-0.132043855992291,0.00531612113020617,-0.00531612113020617,0.132043855992291,0.132043855992291,0.132043855992291,-0.13530916211474,0.132043855992291,0,0.132043855992291,0,0.142310776498785,-0.13530916211474,-0.13530916211474
"MIR200",0.12240090365768,0.191215848104149,0.0564920733041097,0.0218243356511641,0.124306558140654,0.057665404917683,-0.057665404917683,-0.124306558140654,-0.124306558140654,-0.124306558140654,0.122581003498091,-0.124306558140654,0,-0.124306558140654,0,-0.191215848104149,0.122581003498091,0.122581003498091
"MIR190",0.132043855992291,0.144266447945982,0.0929339580391458,-0.0354088848971863,0.13530916211474,-0.00309969349004971,0.00309969349004971,-0.13530916211474,-0.13530916211474,-0.13530916211474,0.133401805166511,-0.13530916211474,0,-0.13530916211474,0,-0.144266447945982,0.133401805166511,0.133401805166511
"MIR1199",-0.0819466277581261,-0.0590929844408377,0.120676568613489,-0.161599816105154,-0.0832523459031058,-0.144944971061607,0.144944971061607,0.0832523459031058,0.0832523459031058,0.0832523459031058,-0.0816052870795764,0.0832523459031058,0,0.0832523459031058,0,0.0590929844408377,-0.0816052870795764,-0.0816052870795764
"HAS2",0.0832523459031058,0.0568843020341355,-0.126061183998105,0.161839624258631,0.0816052870795764,0.145021132523907,-0.145021132523907,-0.0816052870795764,-0.0816052870795764,-0.0816052870795764,-0.0114640198511166,-0.0816052870795764,0,-0.0816052870795764,0,-0.0568843020341355,0.0885359801488834,0.0885359801488834
"HA",-0.0819466277581261,-0.0590929844408377,0.120676568613489,-0.161599816105154,-0.0832523459031058,-0.144944971061607,0.144944971061607,0.0832523459031058,0.0832523459031058,0.0832523459031058,-0.0816052870795764,0.0832523459031058,0,0.0832523459031058,0,0.0590929844408377,-0.0816052870795764,-0.0816052870795764
"GRHL2",-0.00102001230003369,0.0120709785917567,0.0166189541598823,-0.104409902774151,-0.00242020767613268,-0.0298685342881749,0.0298685342881749,0.00242020767613268,0.00242020767613268,0.00242020767613268,0.00061535173410149,0.00242020767613268,0,0.00242020767613268,0,-0.0120709785917567,0.00061535173410149,-0.0993846482658985
"EXTGFB",0.13284081993916,0.142310776498785,-0.00918918421138499,-0.0359501568863609,0.132043855992291,-0.00531612113020617,0.00531612113020617,-0.132043855992291,-0.132043855992291,-0.132043855992291,0.13530916211474,-0.132043855992291,0,-0.132043855992291,0,-0.142310776498785,0.13530916211474,0.13530916211474
"ESRP1",-0.0832523459031058,-0.0568843020341355,0.126061183998105,-0.161839624258631,-0.0816052870795764,-0.145021132523907,0.145021132523907,0.0816052870795764,0.0816052870795764,0.0816052870795764,-0.0885359801488834,0.0816052870795764,0,0.0816052870795764,0,0.0568843020341355,-0.188535980148883,-0.0885359801488834
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0819466277581261,0.0590929844408377,-0.120676568613489,0.161599816105154,0.0832523459031058,0.144944971061607,-0.144944971061607,-0.0832523459031058,-0.0832523459031058,-0.0832523459031058,0.0816052870795764,-0.0832523459031058,0,-0.0832523459031058,0,-0.0590929844408377,0.0816052870795764,0.0816052870795764
"CD24",-0.0819466277581261,-0.0590929844408377,0.120676568613489,-0.161599816105154,-0.0832523459031058,-0.144944971061607,0.144944971061607,0.0832523459031058,0.0832523459031058,0.0832523459031058,-0.0816052870795764,0.0832523459031058,0,0.0832523459031058,0,0.0590929844408377,-0.0816052870795764,-0.0816052870795764
