"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00600066690631059,0.131749960841875,0.0875162836798586,-0.111403695538414,0.105884445754061,0.075388335096947,-0.075388335096947,-0.105884445754061,-0.105884445754061,-0.105884445754061,0.105749371463201,-0.105884445754061,0,0.105884445754061,-0.131922771901783,-0.131749960841875,-0.105749371463201,-0.105749371463201
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0157300779540474,0.039257086598386,-0.0767809958291335,0.0023191906042491,-0.0156921272899108,-0.0576749544769572,0.0576749544769572,0.0156921272899108,0.0156921272899108,0.0156921272899108,-0.0150798823919516,0.0156921272899108,0,-0.0156921272899108,-0.0396482208878254,-0.039257086598386,0.0150798823919516,0.0150798823919516
"SNAIL1",0.0157726130454979,-0.03947590497913,0.0772583227981072,-0.102369772293678,0.0157300779540474,0.0579423991645332,-0.0579423991645332,-0.0157300779540474,-0.0157300779540474,-0.0157300779540474,0.0156921272899108,-0.0157300779540474,0,0.0157300779540474,0.039257086598386,0.03947590497913,-0.0156921272899108,-0.0156921272899108
"MIR340",-0.105884445754061,-0.131922771901783,-0.0874700515947915,0.111284078313534,-0.105749371463201,-0.0750427129771313,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,-0.105749371463201,0.105749371463201,0,-0.105749371463201,0.131998933364083,0.131922771901783,0.105749371463201,0.105749371463201
"MIR34",-0.0157300779540474,0.039257086598386,-0.0767809958291335,0.0023191906042491,-0.0156921272899108,-0.0576749544769572,0.0576749544769572,0.0156921272899108,0.0156921272899108,0.0156921272899108,-0.0150798823919516,0.0156921272899108,0,-0.0156921272899108,-0.0396482208878254,-0.039257086598386,0.0150798823919516,0.0150798823919516
"MIR200",0.0947680769496563,0.0349739653157672,0.0793762813001342,-0.00858653393287584,0.0944869148128241,0.167197645714806,-0.167197645714806,-0.0944869148128241,-0.0944869148128241,-0.0944869148128241,0.0950620996936786,-0.0944869148128241,0,0.0944869148128241,-0.0353976941293266,-0.0349739653157672,-0.0950620996936786,-0.0950620996936786
"MIR190",0.0156921272899108,-0.0396482208878254,-0.021732804595495,-0.0029957805907173,0.0150798823919516,0.0572838201875179,-0.0572838201875179,-0.0150798823919516,-0.0150798823919516,-0.0150798823919516,0.0169872393401805,-0.0150798823919516,0,0.0150798823919516,0.0384308295834776,0.0396482208878254,-0.0169872393401805,-0.0169872393401805
"MIR1199",-0.105884445754061,-0.131922771901783,-0.0874700515947915,0.111284078313534,-0.105749371463201,-0.0750427129771313,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,-0.105749371463201,0.105749371463201,0,-0.105749371463201,0.131998933364083,0.131922771901783,0.105749371463201,0.105749371463201
"HAS2",0.105749371463201,0.131998933364083,0.0882392823640223,-0.112003502773965,0.105749371463201,0.0749665515148312,-0.0749665515148312,-0.105749371463201,-0.105749371463201,-0.105749371463201,0.00607940446650124,-0.105749371463201,0,0.105749371463201,-0.131370002546473,-0.131998933364083,-0.106079404466501,-0.106079404466501
"HA",-0.105884445754061,-0.131922771901783,-0.0874700515947915,0.111284078313534,-0.105749371463201,-0.0750427129771313,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,-0.105749371463201,0.105749371463201,0,-0.105749371463201,0.131998933364083,0.131922771901783,0.105749371463201,0.105749371463201
"GRHL2",-0.205006624363446,-0.236121361571277,-0.185151018914508,0.13780574787985,-0.204908936313951,-0.170256698720722,0.170256698720722,0.204908936313951,0.204908936313951,0.204908936313951,-0.204995666582815,0.204908936313951,0,-0.204908936313951,0.236009629727702,0.236121361571277,0.204995666582815,0.304995666582815
"EXTGFB",0.0157300779540474,-0.039257086598386,0.0767809958291335,-0.0023191906042491,0.0156921272899108,0.0576749544769572,-0.0576749544769572,-0.0156921272899108,-0.0156921272899108,-0.0156921272899108,0.0150798823919516,-0.0156921272899108,0,0.0156921272899108,0.0396482208878254,0.039257086598386,-0.0150798823919516,-0.0150798823919516
"ESRP1",0.105749371463201,0.131998933364083,0.0882392823640223,-0.112003502773965,0.105749371463201,0.0749665515148312,-0.0749665515148312,-0.105749371463201,-0.105749371463201,-0.105749371463201,0.106079404466501,-0.105749371463201,0,0.105749371463201,-0.131370002546473,-0.131998933364083,-0.206079404466501,-0.106079404466501
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.105884445754061,-0.131922771901783,-0.0874700515947915,0.111284078313534,-0.105749371463201,-0.0750427129771313,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,-0.105749371463201,0.105749371463201,0,-0.105749371463201,0.131998933364083,0.131922771901783,0.105749371463201,0.105749371463201
"CD24",-0.105884445754061,-0.131922771901783,-0.0874700515947915,0.111284078313534,-0.105749371463201,-0.0750427129771313,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,-0.105749371463201,0.105749371463201,0,-0.105749371463201,0.131998933364083,0.131922771901783,0.105749371463201,0.105749371463201
