"","MIR34","MIR200","HA","CD44s","CD24","MIR340","MIR190","ZEB1","TGFB","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1"
"SNAIL1",-0.0403662530163621,-0.0403662530163621,0.089697581727211,0.089697581727211,0.089697581727211,0.0901150390327139,0.0901150390327139,-0.0900157904859962,-0.0904947369491992,-0.0901150390327139,-0.0901150390327139,-0.0901150390327139,-0.0901150390327139,-0.0360509310019395
"MIR190",-0.0403066905453469,-0.0403066905453469,0.0908558979147215,0.0908558979147215,0.0908558979147215,0.089493500094558,0.089493500094558,-0.089697581727211,-0.190946221375267,-0.089493500094558,-0.089493500094558,-0.089493500094558,-0.089493500094558,0.0642880142295214
"HAS2",0.0755292580153845,0.0755292580153845,-0.0390157154673284,0.0609842845326716,0.0609842845326716,0.0619743835425726,0.0619743835425726,-0.0638567364837491,0.00298483224528241,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,-0.0689137381324765
"MIR340",0.0766716799498857,0.0766716799498857,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,-0.0634515136111692,0.00247201173246189,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0691535462859537
"MIR1199",0.0766716799498857,0.0766716799498857,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,-0.0634515136111692,0.00247201173246189,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0691535462859537
"CD44s",0.0766716799498857,0.0766716799498857,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,-0.0634515136111692,0.00247201173246189,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0691535462859537
"CD24",0.0766716799498857,0.0766716799498857,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0638567364837491,0.0638567364837491,-0.0634515136111692,0.00247201173246189,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0691535462859537
"ZEB1",-0.0764988688899779,-0.0764988688899779,-0.0638567364837491,-0.0638567364837491,-0.0638567364837491,-0.0634515136111692,-0.0634515136111692,-0.0370631800630795,-0.00242577964739486,0.0634515136111692,0.0634515136111692,0.0634515136111692,0.0634515136111692,0.0693927807357145
"GRHL2",-0.0113125268216336,-0.0113125268216336,-0.0185262757199492,-0.0185262757199492,-0.118526275719949,-0.0173987822247193,-0.0173987822247193,0.0182128493038466,0.00289080541826429,0.0173987822247193,0.0173987822247193,0.0173987822247193,0.0173987822247193,-0.0602899282976073
"HA",-0.0766716799498857,-0.0766716799498857,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,-0.0638567364837491,-0.0638567364837491,0.0634515136111692,-0.00247201173246189,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0638567364837491,0.0691535462859537
"ESRP1",-0.0755292580153845,-0.0755292580153845,-0.0609842845326716,-0.160984284532672,-0.0609842845326716,-0.0619743835425726,-0.0619743835425726,0.0638567364837491,-0.00298483224528241,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0689137381324765
"MIR200",0.00267672318783565,0.00267672318783565,-0.0869562032936222,-0.0869562032936222,-0.0869562032936222,-0.0878600652492508,-0.0878600652492508,0.0876413835872702,0.198386477076354,0.0878600652492508,0.0878600652492508,0.0878600652492508,0.0878600652492508,-0.0434092111250654
"TGFB",0.0408282029312661,0.0408282029312661,-0.089493500094558,-0.089493500094558,-0.089493500094558,-0.089697581727211,-0.089697581727211,0.0901150390327139,0.0900969644750545,0.089697581727211,0.089697581727211,0.089697581727211,0.089697581727211,-0.0637467422403468
"MIR34",0.0408282029312661,0.0408282029312661,-0.089493500094558,-0.089493500094558,-0.089493500094558,-0.089697581727211,-0.089697581727211,0.0901150390327139,0.0900969644750545,0.089697581727211,0.089697581727211,0.089697581727211,0.089697581727211,-0.0637467422403468
