"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.00349656206461792,-0.103925631988769,-0.00666471171912252,-0.10212731995515,0.0996280579968776,0.123117175000193,-0.103925631988769,0.0996280579968776,-0.0996280579968776,0.0996280579968776,0.104805905813177,0.0996280579968776,0,-0.0996280579968776,0,-0.103925631988769,0.104805905813177,0.104805905813177
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.131143081591724,0.14048727208041,-0.07931216897489,-0.0238236061542843,-0.124577616696088,0.012205183655111,0.14048727208041,-0.124577616696088,0.124577616696088,-0.124577616696088,-0.13335312690017,-0.124577616696088,0,0.124577616696088,0,0.14048727208041,-0.13335312690017,-0.13335312690017
"SNAIL1",0.126109762436754,-0.13769125943757,0.085040092602575,-0.0613053771537582,0.131143081591724,-0.000996819930335899,-0.13769125943757,0.131143081591724,-0.131143081591724,0.131143081591724,0.124577616696088,0.131143081591724,0,-0.131143081591724,0,-0.13769125943757,0.124577616696088,0.124577616696088
"MIR340",0.0996280579968776,-0.102543143509507,-0.00310484116896071,-0.0920794730651976,0.104805905813177,0.131124087442589,-0.102543143509507,0.104805905813177,-0.104805905813177,0.104805905813177,0.0979823764014118,0.104805905813177,0,-0.104805905813177,0,-0.102543143509507,0.0979823764014118,0.0979823764014118
"MIR34",-0.131143081591724,0.14048727208041,-0.07931216897489,-0.0238236061542843,-0.124577616696088,0.012205183655111,0.14048727208041,-0.124577616696088,0.124577616696088,-0.124577616696088,-0.13335312690017,-0.124577616696088,0,0.124577616696088,0,0.14048727208041,-0.13335312690017,-0.13335312690017
"MIR200",-0.0828277275999491,-0.0115019824845723,0.00389836011566419,0.110037240236558,-0.0837336944852974,-0.200806785662522,-0.0115019824845723,-0.0837336944852974,0.0837336944852974,-0.0837336944852974,-0.0821724783801208,-0.0837336944852974,0,0.0837336944852974,0,-0.0115019824845723,-0.0821724783801208,-0.0821724783801208
"MIR190",0.124577616696088,-0.136706307282496,-0.0132568331482522,0.0433093977645684,0.13335312690017,0.00278829744006501,-0.136706307282496,0.13335312690017,-0.13335312690017,0.13335312690017,0.122726423902894,0.13335312690017,0,-0.13335312690017,0,-0.136706307282496,0.122726423902894,0.122726423902894
"MIR1199",-0.0996280579968776,0.102543143509507,0.00310484116896071,0.0920794730651976,-0.104805905813177,-0.131124087442589,0.102543143509507,-0.104805905813177,0.104805905813177,-0.104805905813177,-0.0979823764014118,-0.104805905813177,0,0.104805905813177,0,0.102543143509507,-0.0979823764014118,-0.0979823764014118
"HAS2",-0.104805905813177,0.103990211293208,0.00797663604075558,0.105109049404126,-0.0979823764014118,-0.120842290032079,0.103990211293208,-0.0979823764014118,0.0979823764014118,-0.0979823764014118,-0.00821339950372208,-0.0979823764014118,0,0.0979823764014118,0,0.103990211293208,-0.108213399503722,-0.108213399503722
"HA",-0.0996280579968776,0.102543143509507,0.00310484116896071,0.0920794730651976,-0.104805905813177,-0.131124087442589,0.102543143509507,-0.104805905813177,0.104805905813177,-0.104805905813177,-0.0979823764014118,-0.104805905813177,0,0.104805905813177,0,0.102543143509507,-0.0979823764014118,-0.0979823764014118
"GRHL2",-0.249430621406634,0.214375974621058,0.013783527365904,0.117361741427702,-0.251286694347045,-0.267959863667328,0.214375974621058,-0.251286694347045,0.251286694347045,-0.251286694347045,-0.248944977087721,-0.251286694347045,0,0.251286694347045,0,0.214375974621058,-0.248944977087721,-0.148944977087721
"EXTGFB",-0.131143081591724,0.14048727208041,-0.07931216897489,-0.0238236061542843,-0.124577616696088,0.012205183655111,0.14048727208041,-0.124577616696088,0.124577616696088,-0.124577616696088,-0.13335312690017,-0.124577616696088,0,0.124577616696088,0,0.14048727208041,-0.13335312690017,-0.13335312690017
"ESRP1",-0.104805905813177,0.103990211293208,0.00797663604075558,0.105109049404126,-0.0979823764014118,-0.120842290032079,0.103990211293208,-0.0979823764014118,0.0979823764014118,-0.0979823764014118,-0.108213399503722,-0.0979823764014118,0,0.0979823764014118,0,0.103990211293208,-0.208213399503722,-0.108213399503722
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.0996280579968776,-0.102543143509507,-0.00310484116896071,-0.0920794730651976,0.104805905813177,0.131124087442589,-0.102543143509507,0.104805905813177,-0.104805905813177,0.104805905813177,0.0979823764014118,0.104805905813177,0,-0.104805905813177,0,-0.102543143509507,0.0979823764014118,0.0979823764014118
"CD24",-0.0996280579968776,0.102543143509507,0.00310484116896071,0.0920794730651976,-0.104805905813177,-0.131124087442589,0.102543143509507,-0.104805905813177,0.104805905813177,-0.104805905813177,-0.0979823764014118,-0.104805905813177,0,0.104805905813177,0,0.102543143509507,-0.0979823764014118,-0.0979823764014118
