"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.0834838672293885,0.114419447616116,0.142498647020468,0.177595163094455,-0.183168409816139,-0.211206160911722,-0.114419447616116,-0.183168409816139,-0.183168409816139,0.183168409816139,-0.182312939307359,-0.183168409816139,0,0.183168409816139,-0.114419447616116,-0.114419447616116,0.182312939307359,0.182312939307359
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0449127357133706,-0.0959649575206891,-0.117588355810127,0.0293658737277502,0.0348558097171657,-0.0553653619445303,0.0959649575206891,0.0348558097171657,0.0348558097171657,-0.0348558097171657,0.04914152400288,0.0348558097171657,0,-0.0348558097171657,0.0988332756432445,0.0959649575206891,-0.04914152400288,-0.04914152400288
"SNAIL1",-0.0381496561727496,-0.0980802018678809,-0.110269342285863,-0.0626928010319867,0.0449127357133706,-0.0445946349812432,0.0980802018678809,0.0449127357133706,0.0449127357133706,-0.0449127357133706,0.0348558097171657,0.0449127357133706,0,-0.0449127357133706,0.0959649575206891,0.0980802018678809,-0.0348558097171657,-0.0348558097171657
"MIR340",-0.183168409816139,-0.114419447616116,-0.141435309063926,-0.177475545869574,0.182312939307359,0.210111690865639,0.114419447616116,0.182312939307359,0.182312939307359,-0.182312939307359,0.18066588048383,0.182312939307359,0,-0.182312939307359,0.113733994455415,0.114419447616116,-0.18066588048383,-0.18066588048383
"MIR34",0.0449127357133706,0.0959649575206891,0.117588355810127,-0.0293658737277502,-0.0348558097171657,0.0553653619445303,-0.0959649575206891,-0.0348558097171657,-0.0348558097171657,0.0348558097171657,-0.04914152400288,-0.0348558097171657,0,0.0348558097171657,-0.0988332756432445,-0.0959649575206891,0.04914152400288,0.04914152400288
"MIR200",0.156716732532179,0.210803361477828,0.128921968529195,0.033045604135385,-0.160496801260702,-0.0856332602967131,-0.210803361477828,-0.160496801260702,-0.160496801260702,0.160496801260702,-0.153019397809592,-0.160496801260702,0,0.160496801260702,-0.209108446223591,-0.210803361477828,0.153019397809592,0.153019397809592
"MIR190",0.0348558097171657,0.0988332756432445,0.00697264455747339,-0.0414091754868842,-0.04914152400288,0.0399807465599149,-0.0988332756432445,-0.04914152400288,-0.04914152400288,0.04914152400288,-0.0281605975723623,-0.04914152400288,0,0.04914152400288,-0.0948332756432445,-0.0988332756432445,0.0281605975723623,0.0281605975723623
"MIR1199",-0.183168409816139,-0.114419447616116,-0.141435309063926,-0.177475545869574,0.182312939307359,0.210111690865639,0.114419447616116,0.182312939307359,0.182312939307359,-0.182312939307359,0.18066588048383,0.182312939307359,0,-0.182312939307359,0.113733994455415,0.114419447616116,-0.18066588048383,-0.18066588048383
"HAS2",0.182312939307359,0.113733994455415,0.140922488551106,0.175956760897552,-0.18066588048383,-0.208664623081937,-0.113733994455415,-0.18066588048383,-0.18066588048383,0.18066588048383,-0.279015715467328,-0.18066588048383,0,0.18066588048383,-0.113943638061285,-0.113733994455415,0.179015715467328,0.179015715467328
"HA",-0.183168409816139,-0.114419447616116,-0.141435309063926,-0.177475545869574,0.182312939307359,0.210111690865639,0.114419447616116,0.182312939307359,0.182312939307359,-0.182312939307359,0.18066588048383,0.182312939307359,0,-0.182312939307359,0.113733994455415,0.114419447616116,-0.18066588048383,-0.18066588048383
"GRHL2",-0.311429655470472,-0.2266053809689,-0.260513812845432,-0.202444400020155,0.310355086926023,0.333812673889123,0.2266053809689,0.310355086926023,0.310355086926023,-0.310355086926023,0.308707211817611,0.310355086926023,0,-0.310355086926023,0.226158453594598,0.2266053809689,-0.308707211817611,-0.408707211817611
"EXTGFB",-0.0449127357133706,-0.0959649575206891,-0.117588355810127,0.0293658737277502,0.0348558097171657,-0.0553653619445303,0.0959649575206891,0.0348558097171657,0.0348558097171657,-0.0348558097171657,0.04914152400288,0.0348558097171657,0,-0.0348558097171657,0.0988332756432445,0.0959649575206891,-0.04914152400288,-0.04914152400288
"ESRP1",-0.182312939307359,-0.113733994455415,-0.140922488551106,-0.175956760897552,0.18066588048383,0.208664623081937,0.113733994455415,0.18066588048383,0.18066588048383,-0.18066588048383,0.179015715467328,0.18066588048383,0,-0.18066588048383,0.113943638061285,0.113733994455415,-0.0790157154673284,-0.179015715467328
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.183168409816139,-0.114419447616116,-0.141435309063926,-0.177475545869574,0.182312939307359,0.210111690865639,0.114419447616116,0.182312939307359,0.182312939307359,-0.182312939307359,0.18066588048383,0.182312939307359,0,-0.182312939307359,0.113733994455415,0.114419447616116,-0.18066588048383,-0.18066588048383
"CD24",0.183168409816139,0.114419447616116,0.141435309063926,0.177475545869574,-0.182312939307359,-0.210111690865639,-0.114419447616116,-0.182312939307359,-0.182312939307359,0.182312939307359,-0.18066588048383,-0.182312939307359,0,0.182312939307359,-0.113733994455415,-0.114419447616116,0.18066588048383,0.18066588048383
