"","ZEB1","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","TGFB","ESRP1","HA","CD24","MIR34","MIR200","SNAIL1"
"MIR34",-0.101725163418038,0.102010955154087,0.0995619755622503,0.0995619755622503,0.0995619755622503,0.0995619755622503,0.0995619755622503,-0.0683465657509715,-0.0995619755622503,-0.102010955154087,-0.102010955154087,-0.102786038994576,-0.102786038994576,0.00717045040941774
"SNAIL1",-0.100491645765975,0.0995619755622503,0.101725163418038,0.101725163418038,0.101725163418038,0.101725163418038,0.101725163418038,-0.0688238927199453,-0.101725163418038,-0.0995619755622503,-0.0995619755622503,-0.103880130898296,-0.103880130898296,-0.0924248960751548
"ZEB1",-0.0550162417614388,-0.0466183896451242,-0.0391893036478257,-0.0391893036478257,-0.0391893036478257,-0.0391893036478257,-0.0391893036478257,-0.00332641160315654,0.0391893036478257,0.0466183896451242,0.0466183896451242,0.0719606950311319,0.0719606950311319,0.0798749908649931
"ESRP1",-0.0466183896451242,-0.0507196029776675,0.0350889778804183,0.0350889778804183,0.0350889778804183,0.0350889778804183,0.0350889778804183,0.00387301710121835,-0.0350889778804183,-0.0492803970223325,-0.0492803970223325,-0.0698366413460753,-0.0698366413460753,-0.0807220644023355
"MIR340",-0.0391893036478257,0.0350889778804183,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.00207814530634655,-0.0466183896451242,-0.0350889778804183,-0.0350889778804183,-0.0752441051693807,-0.0752441051693807,-0.0766453257932228
"HA",-0.0391893036478257,0.0350889778804183,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.00207814530634655,-0.0466183896451242,-0.0350889778804183,-0.0350889778804183,-0.0752441051693807,-0.0752441051693807,-0.0766453257932228
"CD24",-0.0391893036478257,0.0350889778804183,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.0466183896451242,0.00207814530634655,-0.0466183896451242,-0.0350889778804183,-0.0350889778804183,-0.0752441051693807,-0.0752441051693807,-0.0766453257932228
"GRHL2",0.0127281701923237,-0.0163931524297048,-0.00416418451990433,-0.00416418451990433,-0.00416418451990433,-0.00416418451990433,-0.00416418451990433,0.00263351208939924,0.00416418451990433,0.0163931524297048,-0.0836068475702952,0.00347445199793587,0.00347445199793587,-0.0627363394841951
"MIR1199",0.0391893036478257,-0.0350889778804183,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.00207814530634655,0.0466183896451242,0.0350889778804183,0.0350889778804183,0.0752441051693807,0.0752441051693807,0.0766453257932228
"CD44s",0.0391893036478257,-0.0350889778804183,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.0466183896451242,-0.00207814530634655,0.0466183896451242,0.0350889778804183,0.0350889778804183,0.0752441051693807,0.0752441051693807,0.0766453257932228
"HAS2",0.0466183896451242,-0.0492803970223325,-0.0350889778804183,-0.0350889778804183,-0.0350889778804183,-0.0350889778804183,-0.0350889778804183,-0.00387301710121835,0.0350889778804183,-0.0507196029776675,0.0492803970223325,0.0698366413460753,0.0698366413460753,0.0807220644023355
"MIR200",0.0865143854239812,-0.0832980014724788,-0.0924187902974582,-0.0924187902974582,-0.0924187902974582,-0.0924187902974582,-0.0924187902974582,0.189610719348716,0.0924187902974582,0.0832980014724788,0.0832980014724788,0.186850108984632,0.186850108984632,-0.0182709945292627
"MIR190",0.0995619755622503,-0.098468720821662,-0.102010955154087,-0.102010955154087,-0.102010955154087,-0.102010955154087,-0.102010955154087,0.169195822651184,0.102010955154087,0.098468720821662,0.098468720821662,0.103568307573455,0.103568307573455,-0.00798235839317958
"TGFB",0.101725163418038,-0.102010955154087,-0.0995619755622503,-0.0995619755622503,-0.0995619755622503,-0.0995619755622503,-0.0995619755622503,0.0683465657509715,0.0995619755622503,0.102010955154087,0.102010955154087,0.102786038994576,0.102786038994576,-0.00717045040941774
