"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",-0.00519285674795511,-0.0829038500857979,0.0853884808683261,0.0318754539224114,-0.0932298561857988,-0.0880546320797013,-0.0829038500857979,-0.0932298561857988,-0.0932298561857988,0.0932298561857988,-0.0944455248035386,0.0932298561857988,0,-0.0932298561857988,-0.00329543707990098,-0.0880546320797013,-0.0944455248035386,-0.0944455248035386
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"TGFB",-0.0623881988215676,0.155846057269786,-0.156364295797805,-0.143093670065863,0.0633369654249832,-0.0979825861153832,0.155846057269786,0.0633369654249832,0.0633369654249832,-0.0633369654249832,0.0606839042004934,-0.0633369654249832,0,0.0633369654249832,-0.126392809306665,-0.0979825861153832,0.0606839042004934,0.0606839042004934
"SNAIL1",0.0616083888116428,-0.155238228434386,0.158750930642674,0.042840761618721,-0.0623881988215676,0.0985904149507831,-0.155238228434386,-0.0623881988215676,-0.0623881988215676,0.0623881988215676,-0.0633369654249832,0.0623881988215676,0,-0.0623881988215676,0.126914321692585,0.0985904149507831,-0.0633369654249832,-0.0633369654249832
"MIR340",0.0932298561857988,-0.0829614537724339,0.0875613888664768,0.0334304778458564,-0.0944455248035386,-0.0895523279322358,-0.0829614537724339,-0.0944455248035386,-0.0944455248035386,0.0944455248035386,-0.0977396424505974,0.0944455248035386,0,-0.0944455248035386,-0.00398089024060167,-0.0895523279322358,-0.0977396424505974,-0.0977396424505974
"MIR34",-0.0623881988215676,0.155846057269786,-0.156364295797805,-0.143093670065863,0.0633369654249832,-0.0979825861153832,0.155846057269786,0.0633369654249832,0.0633369654249832,-0.0633369654249832,0.0606839042004934,-0.0633369654249832,0,0.0633369654249832,-0.126392809306665,-0.0979825861153832,0.0606839042004934,0.0606839042004934
"MIR200",0.100028611569138,-0.201459539369225,0.0999005901161752,0.140364480103803,-0.100059851806564,0.0100248895572265,-0.201459539369225,-0.100059851806564,-0.100059851806564,0.100059851806564,-0.101949744986515,0.100059851806564,0,-0.100059851806564,0.104312129717463,0.0100248895572265,-0.101949744986515,-0.101949744986515
"MIR190",0.0633369654249832,-0.15362962962963,0.0533918966470618,0.143093670065863,-0.0606839042004934,0.0991559889837013,-0.15362962962963,-0.0606839042004934,-0.0606839042004934,0.0606839042004934,-0.0593215063803299,0.0606839042004934,0,-0.0606839042004934,0.123262374524057,0.0991559889837013,-0.0593215063803299,-0.0593215063803299
"MIR1199",-0.0932298561857988,0.0829614537724339,-0.0875613888664768,-0.0334304778458564,0.0944455248035386,0.0895523279322358,0.0829614537724339,0.0944455248035386,0.0944455248035386,-0.0944455248035386,0.0977396424505974,-0.0944455248035386,0,0.0944455248035386,0.00398089024060167,0.0895523279322358,0.0977396424505974,0.0977396424505974
"HAS2",0.0944455248035386,-0.0844085215561353,0.0824331837382717,0.0314320765668796,-0.0977396424505974,-0.0923703020373386,-0.0844085215561353,-0.0977396424505974,-0.0977396424505974,0.0977396424505974,-0.19014888337469,0.0977396424505974,0,-0.0977396424505974,-0.00272302860538154,-0.0923703020373386,-0.0901488833746898,-0.0901488833746898
"HA",-0.0932298561857988,0.0829614537724339,-0.0875613888664768,-0.0334304778458564,0.0944455248035386,0.0895523279322358,0.0829614537724339,0.0944455248035386,0.0944455248035386,-0.0944455248035386,0.0977396424505974,-0.0944455248035386,0,0.0944455248035386,0.00398089024060167,0.0895523279322358,0.0977396424505974,0.0977396424505974
"GRHL2",-0.155833361317739,0.171856678059774,-0.165216282016854,-0.0583741121864842,0.157624308891819,0.159189720315358,0.171856678059774,0.157624308891819,0.157624308891819,-0.157624308891819,0.158057960236139,-0.157624308891819,0,0.157624308891819,-0.00616588110684496,0.159189720315358,0.158057960236139,0.0580579602361386
"EXTGFB",-0.0623881988215676,0.155846057269786,-0.156364295797805,-0.143093670065863,0.0633369654249832,-0.0979825861153832,0.155846057269786,0.0633369654249832,0.0633369654249832,-0.0633369654249832,0.0606839042004934,-0.0633369654249832,0,0.0633369654249832,-0.126392809306665,-0.0979825861153832,0.0606839042004934,0.0606839042004934
"ESRP1",-0.0944455248035386,0.0844085215561353,-0.0824331837382717,-0.0314320765668796,0.0977396424505974,0.0923703020373386,0.0844085215561353,0.0977396424505974,0.0977396424505974,-0.0977396424505974,0.0901488833746898,-0.0977396424505974,0,0.0977396424505974,0.00272302860538154,0.0923703020373386,0.19014888337469,0.0901488833746898
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"CD44s",-0.0932298561857988,0.0829614537724339,-0.0875613888664768,-0.0334304778458564,0.0944455248035386,0.0895523279322358,0.0829614537724339,0.0944455248035386,0.0944455248035386,-0.0944455248035386,0.0977396424505974,-0.0944455248035386,0,0.0944455248035386,0.00398089024060167,0.0895523279322358,0.0977396424505974,0.0977396424505974
"CD24",0.0932298561857988,-0.0829614537724339,0.0875613888664768,0.0334304778458564,-0.0944455248035386,-0.0895523279322358,-0.0829614537724339,-0.0944455248035386,-0.0944455248035386,0.0944455248035386,-0.0977396424505974,0.0944455248035386,0,-0.0944455248035386,-0.00398089024060167,-0.0895523279322358,-0.0977396424505974,-0.0977396424505974
