"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.271624681555397,-0.294660964180393,-0.011981034586661,-0.120048328726341,-0.365431754442663,-0.249755511004933,-0.294660964180393,-0.365431754442663,-0.365431754442663,-0.365431754442663,-0.356561876009525,-0.365431754442663,0,-0.365431754442663,-0.0222511136845045,-0.249755511004933,-0.356561876009525,0.356561876009525
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",-0.17478688915821,0.160743496836418,0.0770913071964541,0.0458815445230589,0.170650266767318,0.0251491735280788,0.160743496836418,0.170650266767318,0.170650266767318,0.170650266767318,0.168201287175482,0.170650266767318,0,0.170650266767318,0.0664933806893715,0.0251491735280788,0.168201287175482,-0.168201287175482
"SNAIL1",-0.177721810468291,0.164366156695401,0.0778868521447437,-0.0554335794020802,0.17478688915821,0.0268267811137827,0.164366156695401,0.17478688915821,0.17478688915821,0.17478688915821,0.170650266767318,0.17478688915821,0,0.17478688915821,0.0677971616541694,0.0268267811137827,0.170650266767318,-0.170650266767318
"MIR340",-0.365431754442663,0.288785388143527,0.0111950891405213,0.116998089491892,0.356561876009525,0.244283160774518,0.288785388143527,0.356561876009525,0.356561876009525,0.356561876009525,0.343620699538936,0.356561876009525,0,0.356561876009525,0.0209563688254032,0.244283160774518,0.343620699538936,-0.343620699538936
"MIR34",-0.17478688915821,0.160743496836418,0.0770913071964541,0.0458815445230589,0.170650266767318,0.0251491735280788,0.160743496836418,0.170650266767318,0.170650266767318,0.170650266767318,0.168201287175482,0.170650266767318,0,0.170650266767318,0.0664933806893715,0.0251491735280788,0.168201287175482,-0.168201287175482
"MIR200",-0.328895547899043,0.347050703896565,0.203746096891588,0.129703082575146,0.32199145542794,0.13305809731608,0.347050703896565,0.32199145542794,0.32199145542794,0.32199145542794,0.310241250004768,0.32199145542794,0,0.32199145542794,0.106943337188547,0.13305809731608,0.310241250004768,-0.310241250004768
"MIR190",0.170650266767318,-0.157875178713862,-0.178789820996879,-0.0431751845771861,-0.168201287175482,-0.0248884173351192,-0.157875178713862,-0.168201287175482,-0.168201287175482,-0.168201287175482,-0.159209461562403,-0.168201287175482,0,-0.168201287175482,-0.0692759893850236,-0.0248884173351192,-0.159209461562403,0.159209461562403
"MIR1199",-0.365431754442663,0.288785388143527,0.0111950891405213,0.116998089491892,0.356561876009525,0.244283160774518,0.288785388143527,0.356561876009525,0.356561876009525,0.356561876009525,0.343620699538936,0.356561876009525,0,0.356561876009525,0.0209563688254032,0.244283160774518,0.343620699538936,-0.343620699538936
"HAS2",-0.356561876009525,0.279112882431417,0.00914380708923928,0.116438537133778,0.343620699538936,0.237200144780611,0.279112882431417,0.343620699538936,0.343620699538936,0.343620699538936,0.429429280397022,0.343620699538936,0,0.343620699538936,0.0176020711314829,0.237200144780611,0.329429280397022,-0.329429280397022
"HA",-0.365431754442663,0.288785388143527,0.0111950891405213,0.116998089491892,0.356561876009525,0.244283160774518,0.288785388143527,0.356561876009525,0.356561876009525,0.356561876009525,0.343620699538936,0.356561876009525,0,0.356561876009525,0.0209563688254032,0.244283160774518,0.343620699538936,-0.343620699538936
"GRHL2",0.113017680140521,-0.093677712285695,-0.0075757964927907,-0.0830671831978735,-0.110184726705158,-0.0652379606707264,-0.093677712285695,-0.110184726705158,-0.110184726705158,-0.110184726705158,-0.104373798691281,-0.110184726705158,0,-0.110184726705158,-0.0141640098856966,-0.0652379606707264,-0.104373798691281,0.00437379869128122
"EXTGFB",-0.17478688915821,0.160743496836418,0.0770913071964541,0.0458815445230589,0.170650266767318,0.0251491735280788,0.160743496836418,0.170650266767318,0.170650266767318,0.170650266767318,0.168201287175482,0.170650266767318,0,0.170650266767318,0.0664933806893715,0.0251491735280788,0.168201287175482,-0.168201287175482
"ESRP1",-0.356561876009525,0.279112882431417,0.00914380708923928,0.116438537133778,0.343620699538936,0.237200144780611,0.279112882431417,0.343620699538936,0.343620699538936,0.343620699538936,0.329429280397022,0.343620699538936,0,0.343620699538936,0.0176020711314829,0.237200144780611,0.429429280397022,-0.329429280397022
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.365431754442663,0.288785388143527,0.0111950891405213,0.116998089491892,0.356561876009525,0.244283160774518,0.288785388143527,0.356561876009525,0.356561876009525,0.356561876009525,0.343620699538936,0.356561876009525,0,0.356561876009525,0.0209563688254032,0.244283160774518,0.343620699538936,-0.343620699538936
"CD24",0.365431754442663,-0.288785388143527,-0.0111950891405213,-0.116998089491892,-0.356561876009525,-0.244283160774518,-0.288785388143527,-0.356561876009525,-0.356561876009525,-0.356561876009525,-0.343620699538936,-0.356561876009525,0,-0.356561876009525,-0.0209563688254032,-0.244283160774518,-0.343620699538936,0.343620699538936
